id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
111,0.0,-116.299299918,-116.299299918,-66.6687452676,-66.6687452676
111,0.0909090909091,0.0,0.0,0.0,0.0
111,0.181818181818,116.299299918,116.299299918,66.6687452676,66.6687452676
111,0.272727272727,232.598599836,232.598599836,133.337490535,1975.02348561
111,0.363636363636,348.897899755,348.897899755,200.006235803,1975.02348561
111,0.454545454545,465.197199673,465.197199673,309.362532181,1975.02348561
111,0.545454545455,581.496499591,581.496499591,604.402248107,1975.02348561
111,0.636363636364,697.795799509,697.795799509,889.386947326,1975.02348561
111,0.727272727273,814.095099427,814.095099427,1097.64715875,1975.02348561
111,0.818181818182,930.394399345,930.394399345,1241.98695102,1975.02348561
111,0.909090909091,1046.69369926,1046.69369926,1351.90684372,1975.02348561
111,1.0,1162.99299918,1162.99299918,1441.43130793,1975.02348561
112,0.0,-106.607693305,-106.607691778,-61.1130078563,-61.1130078563
112,0.0833333333333,0.0,0.0,0.0,0.0
112,0.166666666667,106.607691778,106.607691778,61.1130155725,61.1130155725
112,0.25,213.215383557,213.215383557,122.226031145,122.226031145
112,0.333333333333,319.823075335,319.823075335,183.339046718,2009.65402827
112,0.416666666667,426.430767114,426.430767114,244.45206229,2009.65402827
112,0.5,533.038458892,533.038458892,462.438114345,2009.65402827
112,0.583333333333,639.646150671,639.646150671,732.872693396,2009.65402827
112,0.666666666667,746.253842449,746.253842449,974.046893376,2009.65402827
112,0.75,852.861534228,852.861534228,1143.77008385,2009.65402827
112,0.833333333333,959.469226006,959.469226006,1267.73947246,2009.65402827
112,0.916666666667,1066.07691778,1066.07691778,1365.57513092,2009.65402827
112,1.0,1172.68460956,1172.68460956,1446.98703323,2009.65402827
113,0.0,-98.4070999308,-98.4070999308,-56.4120152264,-56.4120152264
113,0.0769230769231,0.0,0.0,0.0,0.0
113,0.153846153846,98.4070999308,98.4070999308,56.4120152264,56.4120152264
113,0.230769230769,196.814199862,196.814199862,112.824030453,112.824030453
113,0.307692307692,295.221299792,295.221299792,169.236045679,169.236045679
113,0.384615384615,393.628399723,393.628399723,225.648060906,2038.95681562
113,0.461538461538,492.035499654,492.035499654,342.314624985,2038.95681562
113,0.538461538462,590.442599585,590.442599585,591.963615385,2038.95681562
113,0.615384615385,688.849699515,688.849699515,838.595555754,2038.95681562
113,0.692307692308,787.256799446,787.256799446,1037.63783389,2038.95681562
113,0.769230769231,885.663899377,885.663899377,1180.19687374,2038.95681562
113,0.846153846154,984.070999308,984.070999308,1288.87179307,2038.95681562
113,0.923076923077,1082.47809924,1082.47809924,1377.03659403,2038.95681562
113,1.0,1180.88519917,1180.88519917,1451.68803797,2038.95681562
309,0.0,-122.986186153,-122.986186153,-122.986186153,-122.986186153
