id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,11,11.0,NA,NA,1111,111,1.0,-4.74461180427,187.481709677,666.01100963,1026.43536241
1,4,T1,9,9.0,NA,NA,4091,409,1.0,301.933261487,483.093754395,746.295353371,1085.97127757
1,5,T2,8,3.22033368208,1014.0,1614.0,5040,508,NA,718.55828324,843.272317788,959.931964879,1193.77077966
1,6,T1.0,7,6.3193926005,1298.0,1898.0,6070,607,NA,400.022920726,608.206772981,948.433192411,1338.77791539
1,6,T3,7,6.3193926005,1298.0,1898.0,6070,607,NA,400.022920726,608.206772981,948.433192411,1338.77791539
1,7,T4,6,4.30575681182,1168.0,1768.0,7050,706,NA,537.497007147,743.896816065,1072.57986015,1459.57950187
2,1,MS,11,11.0,NA,NA,1111,111,1.0,0.175816371264,192.402137853,670.931437805,1031.35579058
2,4,T1,8,8.0,NA,NA,4081,408,1.0,298.361791558,502.167346079,798.269144927,1180.40455966
2,6,T1.0,7,6.05039959555,1263.0,1863.0,6070,607,NA,404.943348902,613.127201156,953.353620586,1343.69834356
2,6,T3,7,6.04271408112,1262.0,1862.0,6070,607,NA,404.943348902,613.127201156,953.353620586,1343.69834356
3,1,MS,11,11.0,NA,NA,1111,111,1.0,-20.5233030389,171.703018442,650.232318395,1010.65667117
3,4,T1,8,8.0,NA,NA,4081,408,1.0,277.662672147,481.468226669,777.570025517,1159.70544024
3,5,T2,7,3.54746125347,1079.0,1679.0,5040,507,NA,696.098483011,838.628808209,983.433335477,1250.67769522
3,6,T1.0,7,6.91886272582,1376.0,1976.0,6070,607,NA,384.244229492,592.428081746,932.654501176,1322.99922415
3,6,T3,7,6.91886272582,1376.0,1976.0,6070,607,NA,384.244229492,592.428081746,932.654501176,1322.99922415
3,7,T1.1,6,4.60033072795,1206.0,1806.0,7050,706,NA,521.718315912,728.11812483,1056.80116891,1443.80081063
3,7,T2.0,7,5.60857552593,1184.0,1784.0,7060,707,NA,532.775448532,709.689570463,983.433335477,1315.1473141
4,1,MS,11,11.0,NA,NA,1111,111,1.0,-0.971975792222,191.254345689,669.783645642,1030.20799842
4,4,T1,8,8.0,NA,NA,4081,408,1.0,297.213999394,501.019553916,797.121352764,1179.25676749
4,6,T3,7,6.12725473982,1273.0,1873.0,6070,607,NA,403.795556738,611.979408993,952.205828423,1342.5505514
4,7,T1.1,7,4.44457104177,1104.0,1704.0,7050,707,NA,552.326775779,729.240897709,1002.98466272,1334.69864134
4,7,T4,7,4.43552710574,1103.0,1703.0,7050,707,NA,552.326775779,729.240897709,1002.98466272,1334.69864134
5,1,MS,11,11.0,NA,NA,1111,111,1.0,2.17450231382,194.400823795,672.930123748,1033.35447653
5,4,T1,8,8.0,NA,NA,4081,408,1.0,300.3604775,504.166032022,800.26783087,1182.4032456
5,5,T2,7,2.80656629057,1013.0,1613.0,5030,507,NA,718.796288364,861.326613562,1006.13114083,1273.37550058
5,7,T1.1,6,4.08095040215,1139.0,1739.0,7050,706,NA,544.416121265,750.815930183,1079.49897426,1466.49861599
6,1,MS,11,11.0,NA,NA,1111,111,1.0,-1.86236141301,190.363960068,668.893260021,1029.3176128
6,4,T1,8,8.0,NA,NA,4081,408,1.0,296.323613773,500.129168295,796.230967143,1178.36638187
6,5,T2,7,2.99740287192,1030.0,1630.0,5030,507,NA,714.759424637,857.289749835,1002.0942771,1269.33863685
6,6,T1.0,7,6.18873885524,1281.0,1881.0,6070,607,NA,402.905171117,611.089023372,951.315442802,1341.66016578
6,6,T3,7,6.18105334081,1280.0,1880.0,6070,607,NA,402.905171117,611.089023372,951.315442802,1341.66016578
6,7,T1.1,7,4.48979072187,1109.0,1709.0,7050,707,NA,551.436390158,728.350512089,1002.0942771,1333.80825572
6,7,T2.0,7,5.08650928367,1108.0,1708.0,7060,707,NA,551.436390158,728.350512089,1002.0942771,1333.80825572
6,7,T4,6,4.22048541505,1157.0,1757.0,7050,706,NA,540.379257538,746.779066456,1075.46211054,1462.46175226
7,1,MS,11,11.0,NA,NA,1111,111,1.0,-10.1963762645,182.029945217,660.559245169,1020.98359795
7,4,T1,8,8.0,NA,NA,4081,408,1.0,287.989598922,491.795153443,787.896952291,1170.03236702
7,5,T2,7,3.31172194709,1058.0,1658.0,5040,507,NA,706.425409786,848.955734984,993.760262252,1261.004622
7,6,T1.0,7,6.59607111988,1334.0,1934.0,6070,607,NA,394.571156266,602.755008521,942.981427951,1333.32615093
7,6,T3,7,6.59607111988,1334.0,1934.0,6070,607,NA,394.571156266,602.755008521,942.981427951,1333.32615093
7,7,T1.1,7,4.78824061057,1142.0,1742.0,7050,707,NA,543.102375307,720.016497237,993.760262252,1325.47424087
8,1,MS,10,10.0,NA,NA,1101,110,1.0,-1.73618591138,209.712767718,681.654131607,1078.12091966
8,4,T1,7,7.0,NA,NA,4071,407,1.0,292.740121624,525.660755363,877.239843497,1313.96603176
8,5,T2,6,2.60769051167,1034.0,1634.0,5030,506,NA,713.18594187,879.471321267,1082.7967731,1394.58185947
8,6,T1.0,6,5.5351987373,1316.0,1916.0,6060,606,NA,397.228342909,640.109503872,1082.7967731,1538.1989499
8,6,T3,7,5.82751967716,1234.0,1834.0,6060,607,NA,410.239833675,618.423685929,958.650105359,1348.99482834
8,7,T1.1,6,3.95691927957,1123.0,1723.0,7040,706,NA,547.713920095,754.113729014,1082.7967731,1469.79641482
8,7,T2.0,6,4.44818457736,1123.0,1723.0,7050,706,NA,547.713920095,754.113729014,1082.7967731,1469.79641482
8,7,T4,5,3.72378971684,1189.0,1789.0,7040,705,NA,532.233934426,779.913705128,1268.63655069,1733.03612076
9,1,MS,11,11.0,NA,NA,1111,111,1.0,-1.8685911742,190.357730307,668.88703026,1029.31138304
9,4,T1,8,8.0,NA,NA,4081,408,1.0,296.317384012,500.122938534,796.224737382,1178.36015211
9,5,T2,8,3.09204018201,1004.0,1604.0,5040,508,NA,721.43430387,846.148338418,962.807985509,1196.64680029
9,6,T3,7,6.19642436966,1282.0,1882.0,6070,607,NA,402.898941356,611.082793611,951.309213041,1341.65393602
10,1,MS,11,11.0,NA,NA,1111,111,1.0,6.816322442,199.042643923,677.571943876,1037.99629665
10,4,T1,8,8.0,NA,NA,4081,408,1.0,305.002297628,508.80785215,804.909650998,1187.04506573
10,5,T2,7,2.63818107172,998.0,1598.0,5030,507,NA,723.438108492,865.96843369,1010.77296096,1278.0173207
10,6,T1.0,7,5.7814065906,1228.0,1828.0,6060,607,NA,411.583854972,619.767707227,959.994126657,1350.33884963
10,6,T3,7,5.7814065906,1228.0,1828.0,6060,607,NA,411.583854972,619.767707227,959.994126657,1350.33884963
10,7,T2.0,6,4.41285678653,1117.0,1717.0,7050,706,NA,549.057941393,755.457750311,1084.14079439,1471.14043612
11,1,MS,11,11.0,NA,NA,1111,111,1.0,-18.5844547825,173.641866699,652.171166651,1012.59551943
11,4,T1,9,9.0,NA,NA,4091,409,1.0,288.093418509,469.253911417,732.455510393,1072.1314346
