Site: Boigneville, Unité d'acquisition: Boigneville, Dep: 91, Com: 69, Num: 2
Date;01/09/2011;T(°C);HR(%);Pluies (mm);Vent (km/h);Rg (j/cm²)
01/09/2011;00:00;14,8;79;0;8;0
01/09/2011;01:00;14,9;78,5;0;9;0
01/09/2011;02:00;14,2;80;0;6;0
01/09/2011;03:00;13,4;84,5;0;7;0
01/09/2011;04:00;13,2;85,5;0;6;0
01/09/2011;05:00;13,6;86;0;4;12
01/09/2011;06:00;16;81,5;0;6;54
01/09/2011;07:00;18,8;74;0;7;104
01/09/2011;08:00;19,3;71;0;9;118
01/09/2011;09:00;19,6;74,5;0;9;66
01/09/2011;10:00;20,3;73;0;9;88
01/09/2011;11:00;20,4;72,5;0;7;66
01/09/2011;12:00;21,4;70;0;6;104
01/09/2011;13:00;22,4;68,5;0;8;108
01/09/2011;14:00;22,5;67,5;0;6;72
01/09/2011;15:00;22,3;71,5;0;4;44
01/09/2011;16:00;21,8;71,5;0;7;24
01/09/2011;17:00;19,9;86;0,6;8;10
01/09/2011;18:00;19,3;88,5;0;2;0
01/09/2011;19:00;18,7;91;0;3;0
01/09/2011;20:00;18,2;92;0;4;0
01/09/2011;21:00;17,5;92,5;0;1;0
01/09/2011;22:00;17,2;93,5;0;3;0
01/09/2011;23:00;17,1;94;0;3;0
02/09/2011;00:00;16,6;94;0;1;0
02/09/2011;01:00;16,1;95;0,2;2;0
02/09/2011;02:00;15,4;95,5;0;0;0
02/09/2011;03:00;14,6;95,5;0;2;0
02/09/2011;04:00;14,4;96,5;0;3;0
02/09/2011;05:00;14,4;96,5;0;2;10
02/09/2011;06:00;17,7;97;0;1;50
02/09/2011;07:00;20,1;95,5;0;2;110
02/09/2011;08:00;22,2;81,5;0;5;168
02/09/2011;09:00;23,8;72,5;0;7;208
02/09/2011;10:00;25,7;66;0;7;252
02/09/2011;11:00;26,7;52,5;0;6;268
02/09/2011;12:00;28;47,5;0;6;250
02/09/2011;13:00;27,7;46;0;6;172
02/09/2011;14:00;28,7;41,5;0;8;188
02/09/2011;15:00;28,8;39;0;7;112
02/09/2011;16:00;28,6;39;0;6;70
02/09/2011;17:00;27,2;46,5;0;5;30
02/09/2011;18:00;24,3;57,5;0;4;4
02/09/2011;19:00;22,2;67;0;4;0
02/09/2011;20:00;21,1;73;0;3;0
02/09/2011;21:00;18,9;81;0;3;0
02/09/2011;22:00;18,5;83,5;0;3;0
02/09/2011;23:00;18,2;85,5;0;2;0
03/09/2011;00:00;17,4;89,5;0;2;0
03/09/2011;01:00;16,4;90,5;0;3;0
03/09/2011;02:00;16,2;91;0;4;0
03/09/2011;03:00;16,1;92;0;3;0
03/09/2011;04:00;15,2;93;0;3;0
03/09/2011;05:00;16;93,5;0;2;12
03/09/2011;06:00;19;87;0;3;56
03/09/2011;07:00;22,5;75,5;0;7;114
03/09/2011;08:00;25;66,5;0;7;164
03/09/2011;09:00;26,7;59,5;0;8;214
03/09/2011;10:00;28,3;54,5;0;10;238
03/09/2011;11:00;29,2;47;0;9;250
03/09/2011;12:00;30,1;41,5;0;12;252
03/09/2011;13:00;30,4;39;0;13;204
03/09/2011;14:00;30;38;0;15;154
03/09/2011;15:00;29,9;43;0;16;102
03/09/2011;16:00;28;49;0;19;54
03/09/2011;17:00;25,4;62,5;0;17;12
03/09/2011;18:00;23,7;70,5;0;10;2
03/09/2011;19:00;22,3;75,5;0;9;0
03/09/2011;20:00;22,1;74;0;14;0
03/09/2011;21:00;21,1;78,5;0;12;0
03/09/2011;22:00;20,7;84;0;15;0
03/09/2011;23:00;19,9;92;1,6;9;0
04/09/2011;00:00;19,7;92;1;8;0
04/09/2011;01:00;19,2;92,5;1,2;9;0
04/09/2011;02:00;19;92,5;0,8;10;0
04/09/2011;03:00;18;92,5;0,4;12;0
04/09/2011;04:00;17,1;92,5;0;13;0
04/09/2011;05:00;16,9;92;0;11;2
04/09/2011;06:00;17,1;91,5;0,2;8;18
04/09/2011;07:00;17,8;90;0;10;56
04/09/2011;08:00;18,8;84,5;0,2;16;106
04/09/2011;09:00;19,2;82,5;0;16;108
04/09/2011;10:00;19,2;81;0;15;104
04/09/2011;11:00;19,2;81,5;0;16;58
04/09/2011;12:00;19,4;84;0,2;19;108
04/09/2011;13:00;21,3;78,5;0;17;168
04/09/2011;14:00;21,4;74,5;0;16;132
04/09/2011;15:00;22,1;73;0;17;110
04/09/2011;16:00;20,4;73;0;18;56
04/09/2011;17:00;18,3;69;0;26;34
04/09/2011;18:00;16,1;76;0;13;2
04/09/2011;19:00;14,6;80,5;0;6;0
04/09/2011;20:00;13;90;0;4;0
04/09/2011;21:00;13,5;90;0;7;0
04/09/2011;22:00;13,5;82;0;10;0
04/09/2011;23:00;12,5;85;0;11;0
05/09/2011;00:00;12,7;84;0;12;0
05/09/2011;01:00;12,6;86;0;11;0
05/09/2011;02:00;13,2;85;0;12;0
05/09/2011;03:00;13,1;89;0;14;0
05/09/2011;04:00;13;90;0;13;0
05/09/2011;05:00;13,5;90;0;16;6
05/09/2011;06:00;14,1;86,5;0;15;42
05/09/2011;07:00;14,9;78,5;0;21;118
05/09/2011;08:00;16;69;0;20;178
05/09/2011;09:00;17,2;64;0;21;216
05/09/2011;10:00;18,3;55;0;22;250
05/09/2011;11:00;18,7;57;0;21;132
05/09/2011;12:00;18,9;55;0;21;132
05/09/2011;13:00;19,5;53;0;21;144
05/09/2011;14:00;20;52;0;21;160
05/09/2011;15:00;19,7;53;0;23;100
05/09/2011;16:00;19,1;56,5;0;21;58
05/09/2011;17:00;18,1;57,5;0;16;28
05/09/2011;18:00;16,2;67;0;12;2
05/09/2011;19:00;14,7;73;0;6;0
05/09/2011;20:00;14,1;79;0;6;0
05/09/2011;21:00;14,1;78,5;0;10;0
05/09/2011;22:00;13,7;79;0;11;0
05/09/2011;23:00;13;80,5;0;11;0
06/09/2011;00:00;12,5;84,5;0;11;0
06/09/2011;01:00;11,9;86;0;12;0
06/09/2011;02:00;11,6;90;0;11;0
06/09/2011;03:00;11,2;91;0;11;0
06/09/2011;04:00;11,5;90,5;0;13;0
06/09/2011;05:00;12,1;90;0;14;6
06/09/2011;06:00;14;86;0;18;60
06/09/2011;07:00;15,7;82;0;20;78
06/09/2011;08:00;17,3;76;0;23;124
06/09/2011;09:00;18,6;65,5;0;27;178
06/09/2011;10:00;19,6;61,5;0;29;192
06/09/2011;11:00;20,2;57,5;0;28;136
06/09/2011;12:00;21,1;55;0;28;166
06/09/2011;13:00;21,8;54,5;0;30;176
06/09/2011;14:00;21,9;54,5;0;30;144
06/09/2011;15:00;21,4;57;0;29;82
06/09/2011;16:00;21,1;54,5;0;30;36
06/09/2011;17:00;20,3;58,5;0;28;18
06/09/2011;18:00;19,4;63;0;28;2
06/09/2011;19:00;19;65,5;0;28;0
06/09/2011;20:00;18,5;69;0;26;0
06/09/2011;21:00;18,1;70,5;0;30;0
06/09/2011;22:00;17,8;73;0;31;0
06/09/2011;23:00;17,6;74,5;0;30;0
07/09/2011;00:00;16,7;81,5;0;28;0
07/09/2011;01:00;16,9;83;0;29;0
07/09/2011;02:00;14;84,5;0,8;23;0
07/09/2011;03:00;14,7;84,5;0;13;0
07/09/2011;04:00;14,4;84;0;11;0
07/09/2011;05:00;14,1;85,5;0;9;4
