variety	Rep	N	Axis	Nflig	1	2	3	4	5	6
Mercia	R1	P1	MB	12	3,64	10,04	11,37	12,00	12,00	12,00
Mercia	R1	P2	MB	mort	3,59	NA	NA	NA	NA	NA
Mercia	R1	P3	MB	11	3,56	9,63	10,60	11,00	11,00	11,00
Mercia	R1	P4	MB	mort	3,71	NA	NA	NA	NA	NA
Mercia	R1	P5	MB	11	3,66	9,56	10,61	11,00	11,00	11,00
Mercia	R1	P6	MB	mort	3,75	NA	NA	NA	NA	NA
Mercia	R1	P7	MB	11	3,67	9,44	10,59	11,00	11,00	11,00
Mercia	R1	P8	MB	12	3,80	9,82	11,33	12,00	12,00	12,00
Mercia	R1	P9	MB	mort	3,70	NA	NA	NA	NA	NA
Mercia	R1	P10	MB	mort	3,67	NA	NA	NA	NA	NA
Mercia	R1	P11	MB	12	3,75	10,20	11,40	12,00	12,00	12,00
Mercia	R1	P12	MB	12	3,75	9,88	NA	12,00	12,00	12,00
Mercia	R2	P13	MB	11	3,72	9,38	10,46	11,00	11,00	11,00
Mercia	R2	P14	MB	12	3,60	9,85	11,28	12,00	12,00	12,00
Mercia	R2	P15	MB	12	3,51	9,63	11,17	12,00	12,00	12,00
Mercia	R2	P16	MB	12	3,65	10,01	11,39	12,00	12,00	12,00
Mercia	R2	P17	MB	12	NA	9,99	11,20	12,00	12,00	12,00
Mercia	R2	P18	MB	12	3,57	9,90	11,28	12,00	12,00	12,00
Mercia	R2	P19	MB	11	3,46	9,17	10,43	11,00	11,00	11,00
Mercia	R2	P20	MB	12	3,71	9,79	11,22	12,00	12,00	12,00
Mercia	R2	P21	MB	11	3,45	9,41	10,59	11,00	11,00	11,00
Mercia	R2	P22	MB	11	3,56	9,47	10,51	11,00	11,00	11,00
Mercia	R2	P23	MB	12	3,65	10,22	11,47	12,00	12,00	12,00
Mercia	R2	P24	MB	11	3,53	9,32	10,45	11,00	11,00	11,00
Mercia	R3	P25	MB	12	3,60	9,95	11,39	12,00	12,00	12,00
Mercia	R3	P26	MB	13	4,43	10,45	11,87	13,00	13,00	13,00
Mercia	R3	P27	MB	11	3,64	9,50	10,53	11,00	11,00	11,00
Mercia	R3	P28	MB	12	3,51	9,97	11,37	12,00	12,00	12,00
Mercia	R3	P29	MB	11	3,58	8,96	10,23	11,00	11,00	11,00
Mercia	R3	P30	MB	11	3,61	9,37	10,51	11,00	11,00	11,00
Mercia	R3	P31	MB	12	3,65	10,02	11,41	12,00	12,00	12,00
Mercia	R3	P32	MB	12	3,57	9,75	11,15	12,00	12,00	12,00
Mercia	R3	P33	MB	12	3,55	9,63	10,83	12,00	12,00	12,00
Mercia	R3	P34	MB	12	3,59	10,25	11,46	12,00	12,00	12,00
Mercia	R3	P35	MB	12	3,45	9,81	11,18	12,00	12,00	12,00
Mercia	R3	P36	MB	12	3,38	9,63	NA	12,00	12,00	12,00
Rht3	R1	P37	MB	11	3,50	9,40	10,41	11,00	11,00	11,00
Rht3	R1	P38	MB	12	4,25	9,86	11,26	12,00	12,00	12,00
Rht3	R1	P39	MB	mort	3,38	8,60	NA	NA	NA	NA
Rht3	R1	P40	MB	mort 	3,65	8,76	NA	NA	NA	NA
Rht3	R1	P41	MB	11	3,50	8,73	9,30	11,00	11,00	11,00
Rht3	R1	P42	MB	12	NA	9,74	11,20	12,00	12,00	12,00
Rht3	R1	P43	MB	mort	3,27	8,40	NA	NA	NA	NA
