"id_dim","rank","TT","index_rel_phytomer","L_blade","W_blade","L_sheath","W_sheath","L_internode","W_internode","N_phytomer","nff","Hcol","rank_phy"
1111,1,99.1363636363636,0.0909,9.2667,0.381,2.9477,NA,NA,0,11,11,2.9477,0.992898013556622
1111,2,199.272727272727,0.1818,9.2,0.3724,2.6969,NA,NA,0,11,11,2.6969,1.99581150455398
1111,3,298.272727272727,0.2727,7.55,0.4528,2.95,NA,NA,0,11,11,2.95,2.98734377118687
1111,4,398.030303030303,0.3636,9.3,0.5496,3.5575,NA,NA,0,11,11,3.5575,3.9864635207294
1111,5,497.787878787879,0.4545,10.35,0.6038,3.6204,NA,NA,0,11,11,3.6204,4.98558327027193
1111,6,589.363636363636,0.5455,11.3,0.7929,4.6,0.4493,NA,0,11,11,4.6,5.90275820439026
1111,7,689.969696969697,0.6364,14.1,1.1722,8.5,0.4604,0.4003,0.349,11,11,8.9003,6.9103759347916
1111,8,789.727272727273,0.7273,17.9,1.2957,9.4,0.4688,2.9083,0.349,11,11,12.7086,7.90949568433414
1111,9,888.727272727273,0.8182,18.5,1.3436,9.5,0.45,5.9003,0.356,11,11,18.7089,8.90102795096702
1111,10,988.863636363636,0.9091,16.8,1.4928,10,0.4478,10.5465,0.368,11,11,29.7554,9.90394144196438
1111,11,1089,1,10.4,1.4643,14.2,0.4524,15.0883,0.374,11,11,49.0437,10.9068549329617
2111,1,98.1363636363636,0.0909,9.8333,0.381,2.7875,NA,NA,0,11,11,2.7875,0.982882536115886
2111,2,197.272727272727,0.1818,8.7,0.3724,2.7028,NA,NA,0,11,11,2.7028,1.97578054967251
2111,3,295.272727272727,0.2727,7.5667,0.4528,3.0451,NA,NA,0,11,11,3.0451,2.95729733886466
2111,4,394.909090909091,0.3636,9.6,0.5592,3.6542,NA,NA,0,11,11,3.6542,3.95520309114165
2111,5,493.636363636364,0.4545,10.55,0.6143,3.6904,NA,NA,0,11,11,3.6904,4.94400386392706
2111,6,584.212121212121,0.5455,11.8,0.8187,4.8,0.435,NA,0,11,11,4.8,5.85116332060465
2111,7,683.090909090909,0.6364,14,1.1691,8.7,0.453,0.7667,0.348,11,11,9.4667,6.84148158997199
2111,8,781.818181818182,0.7273,18,1.2997,9.7,0.511,3.4333,0.348,11,11,13.9,7.8302823627574
2111,9,879.818181818182,0.8182,19.2,1.3436,10.5,0.512,6.1,0.369,11,11,20.8,8.81179915194955
2111,10,979.863636363636,0.9091,18.2,1.5527,11.2,0.458,10.1,0.381,11,11,31.6,9.81380214499775
2111,11,1079,1,13.1,1.6426,16.1,0.456,14.7,0.399,11,11,51.2,10.8067001585544
3111,1,92.0909090909091,0.0909,8.45,0.381,2.4671,NA,NA,0,11,11,2.4671,0.92233442249689
3111,2,191.181818181818,0.1818,7.7,0.3724,2.3694,NA,NA,0,11,11,2.3694,1.91477718707893
3111,3,289.181818181818,0.2727,6.6333,0.4528,2.6645,NA,NA,0,11,11,2.6645,2.89629397627108
3111,4,387.030303030303,0.3636,8.4,0.5209,3.2674,NA,NA,0,11,11,3.2674,3.8762932688813
3111,5,485.636363636364,0.4545,10.4,0.6064,3.6379,NA,NA,0,11,11,3.6379,4.86388004440117
3111,6,576.212121212121,0.5455,10.7,0.762,4.5,0.46,NA,0,11,11,4.5,5.77103950107876
3111,7,674.969696969697,0.6364,14,1.1691,8.5,0.462,0.7333,0.375,11,11,9.2333,6.76014377318056
3111,8,772.818181818182,0.7273,18.6,1.3234,10.2,0.467,3.2667,0.375,11,11,14.2,7.74014306579078
3111,9,870.818181818182,0.8182,20.9,1.3436,11.2,0.476,5.8,0.387,11,11,21,8.72165985498293
3111,10,969.863636363636,0.9091,20.6,1.6554,11.8,0.486,11.1,0.422,11,11,32.7,9.71364737059039
3111,11,1069,1,12.7,1.6162,16.5,0.498,16.5,0.444,11,11,53.9,10.706545384147
4111,1,89.0909090909091,0.0909,8.7,0.381,2.6914,NA,NA,0,11,11,2.6914,0.892287990174681
4111,2,187.272727272727,0.1818,8.4,0.3724,2.5004,NA,NA,0,11,11,2.5004,1.87562577526515
4111,3,285.181818181818,0.2727,7,0.4528,2.7755,NA,NA,0,11,11,2.7755,2.85623206650814
4111,4,382.909090909091,0.3636,8.75,0.532,3.3802,NA,NA,0,11,11,3.3802,3.83501736185281
4111,5,480.787878787879,0.4545,10.35,0.6038,3.6204,NA,NA,0,11,11,3.6204,4.81532015377942
4111,6,571.212121212121,0.5455,12.5,0.8548,4.5,NA,NA,0,11,11,4.5,5.72096211387508
4111,7,669.090909090909,0.6364,14.4,1.1814,7.5,0.416,0.1667,0.41,11,11,7.6667,6.70126490580169
4111,8,767.727272727273,0.7273,19.1,1.3432,10.2,0.442,2.8333,0.41,11,11,13.2,7.68915518063794
4111,9,864.818181818182,0.8182,20.9,1.3436,11.4,0.511,5.5,0.415,11,11,19.9,8.66156699033851
4111,10,962.909090909091,0.9091,20,1.6298,11.8,0.502,10.2,0.446,11,11,30.5,9.64399427747982
4111,11,1062,1,13.1,1.6426,16.8,0.507,15.6,0.47,11,11,51.1,10.6364370420619
5110,1,106,0.1,9,0.381,2.6593,NA,NA,0,10,10,2.6593,1.06164060871804
