id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,12,12.0,NA,NA,1121,112,1.0,52.1879492276,222.760256073,685.201375964,1005.02445836
1,4,T1,9,7.75785741653,1228.0,1828.0,4080,409,NA,214.777478566,411.555376411,721.952025825,1090.91058428
1,5,T2,9,4.4653138475,981.0,1581.0,5050,509,NA,549.133321829,690.185245797,912.679972453,1177.15232989
1,6,T1.0,8,7.03631861291,1259.0,1859.0,6080,608,NA,205.553514604,426.92864968,776.12488027,1191.20325854
1,6,T3,8,7.11992732909,1259.0,1859.0,6080,608,NA,205.553514604,426.92864968,776.12488027,1191.20325854
1,7,T1.1,7,4.82100991314,1096.0,1696.0,7050,707,NA,297.957675604,529.007610347,893.464830275,1326.68345792
1,7,T4,7,5.02801845884,1096.0,1696.0,7060,707,NA,297.957675604,529.007610347,893.464830275,1326.68345792
2,1,MS,12,12.0,NA,NA,1121,112,1.0,35.0506645229,205.622971368,668.06409126,987.887173659
2,4,T1,9,8.51403990262,1321.0,1921.0,4090,409,NA,197.640193861,394.418091706,704.81474112,1073.77329958
2,5,T2,8,4.59431196243,1043.0,1643.0,5050,508,NA,525.384228189,684.067642652,938.657587549,1236.18898967
2,6,T1.0,8,8.0,NA,NA,6081,608,1.0,188.416229899,409.791364975,758.987595566,1174.06597383
2,7,T1.1,7,5.4178543418,1174.0,1774.0,7060,707,NA,280.820390899,511.870325643,876.32754557,1309.54617321
3,1,MS,11,11.0,NA,NA,1111,111,1.0,26.0088641748,212.087744044,670.392978856,1019.29087861
3,4,T1,8,8.0,NA,NA,4081,408,1.0,185.189392194,406.56452727,755.76075786,1170.83913613
3,5,T2,7,4.29352350999,1074.0,1674.0,5050,507,NA,513.65649328,695.008966952,1027.69331836,1367.7292065
3,6,T1.0,7,7.0,NA,NA,6071,607,1.0,173.330009958,426.33016433,825.411570719,1299.78686017
4,1,MS,12,12.0,NA,NA,1121,112,1.0,37.5377755097,208.110082355,670.551202246,990.374284646
4,4,T1,9,8.29450305181,1294.0,1894.0,4090,409,NA,200.127304848,396.905202693,707.301852107,1076.26041057
4,5,T2,9,4.79427072164,1010.0,1610.0,5050,509,NA,534.483148111,675.535072079,898.029798735,1162.50215617
4,6,T1.0,8,7.97019218795,1377.0,1977.0,6080,608,NA,190.903340886,412.278475962,761.474706553,1176.55308482
4,6,T3,8,7.97277830503,1377.0,1977.0,6080,608,NA,190.903340886,412.278475962,761.474706553,1176.55308482
5,1,MS,11,11.0,NA,NA,1111,111,1.0,35.7251004781,221.803980347,680.10921516,1029.00711491
5,4,T1,8,7.71258648186,1341.0,1941.0,4080,408,NA,194.905628497,416.280763573,765.476994163,1180.55537243
5,5,T2,8,4.40273554531,1024.0,1624.0,5050,508,NA,531.873626786,690.55704125,945.146986146,1242.67838827
5,6,T1.0,7,7.0,NA,NA,6071,607,1.0,183.046246261,436.046400633,835.127807022,1309.50309647
5,7,T1.1,7,5.18829879232,1144.0,1744.0,7060,707,NA,287.309789497,518.35972424,882.816944168,1316.03557181
5,7,T4,7,5.35348922811,1143.0,1743.0,7060,707,NA,287.309789497,518.35972424,882.816944168,1316.03557181
6,1,MS,11,11.0,NA,NA,1111,111,1.0,26.037253771,212.11613364,670.421368452,1019.31926821
6,4,T1,8,8.0,NA,NA,4081,408,1.0,185.21778179,406.592916866,755.789147456,1170.86752572
6,5,T2,7,4.28470091184,1073.0,1673.0,5050,507,NA,513.684882876,695.037356549,1027.72170796,1367.75759609
6,6,T1.0,7,7.0,NA,NA,6071,607,1.0,173.358399554,426.358553926,825.439960315,1299.81524976
6,6,T3,7,7.0,NA,NA,6071,607,1.0,173.358399554,426.358553926,825.439960315,1299.81524976
6,7,T1.1,6,4.93245926946,1218.0,1818.0,7050,706,NA,263.181321868,532.739579069,1026.23438162,1531.65611388
6,7,T2.0,6,4.51106489195,1217.0,1817.0,7050,706,NA,263.181321868,532.739579069,1026.23438162,1531.65611388
7,1,MS,12,12.0,NA,NA,1121,112,1.0,24.9887735569,195.561080402,658.002200294,977.825282693
7,4,T1,9,9.0,NA,NA,4091,409,1.0,187.578302895,384.35620074,694.752850154,1063.71140861
7,5,T2,9,5.30472104358,1055.0,1655.0,5060,509,NA,521.934146159,662.986070126,885.480796782,1149.95315422
7,6,T1.0,8,8.0,NA,NA,6081,608,1.0,178.354338933,399.729474009,748.9257046,1164.00408287
8,1,MS,12,12.0,NA,NA,1121,112,1.0,24.9323585642,195.50466541,657.945785301,977.7688677
8,4,T1,9,9.0,NA,NA,4091,409,1.0,187.521887902,384.299785747,694.696435161,1063.65499362
8,5,T2,8,4.85646916481,1069.0,1669.0,5050,508,NA,515.26592223,673.949336694,928.53928159,1226.07068371
8,6,T1.0,8,8.0,NA,NA,6081,608,1.0,178.297923941,399.673059016,748.869289607,1163.94766787
8,6,T3,8,8.0,NA,NA,6081,608,1.0,178.297923941,399.673059016,748.869289607,1163.94766787
8,7,T1.1,8,6.1393636936,1168.0,1768.0,7070,708,NA,281.532550632,483.701243532,802.601310968,1181.66761016
9,1,MS,11,11.0,NA,NA,1111,111,1.0,37.9933848038,224.072264673,682.377499485,1031.27539924
9,4,T1,8,7.59694567157,1325.0,1925.0,4080,408,NA,197.173912823,418.549047899,767.745278489,1182.82365676
9,5,T2,8,4.29182288276,1013.0,1613.0,5050,508,NA,534.141911112,692.825325576,947.415270472,1244.94667259
9,6,T3,7,7.0,NA,NA,6071,607,1.0,185.314530587,438.314684959,837.396091348,1311.7713808
10,1,MS,12,12.0,NA,NA,1121,112,1.0,48.1221264135,218.694433259,681.13555315,1000.95863555
10,4,T1,9,7.82290537232,1236.0,1836.0,4080,409,NA,210.711655751,407.489553597,717.88620301,1086.84476147
10,5,T2,8,4.14057834293,998.0,1598.0,5050,508,NA,538.455690079,697.139104543,951.729049439,1249.26045156
10,6,T3,8,7.31507119646,1286.0,1886.0,6080,608,NA,201.48769179,422.862826866,772.059057456,1187.13743572
10,7,T1.1,7,4.96639509448,1115.0,1715.0,7050,707,NA,293.89185279,524.941787533,889.39900746,1322.6176351
