index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,8.085714286,0.486414667,1.673333333,0.403842105,0,0
2,10.22857143,0.481056667,1.866666667,0.403842105,0,0
3,9.275,0.514792727,2,0.403842105,0,0
4,7.34,0.553892222,1.9625,0.403842105,0,0
5,8.1,0.582145385,2.33,0.403842105,0,0
6,9.26875,0.725104583,3.229411765,0.403842105,0,0
7,11.37894737,0.752372105,5.2875,0.403842105,0,0
8,15.45789474,1.035402857,10.35,0.403842105,1.075,0.403842105
9,20.97894737,1.3,12.04736842,0.403842105,5.016666667,0.403842105
10,24.08947368,1.541176471,13.6,0.403842105,10.28461538,0.403842105
11,22.74736842,1.710526316,14.16842105,0.403842105,13.66153846,0.403842105
12,16.33333333,1.8,18.24736842,0.403842105,18.59411765,0.403842105
