Date	Var	Rep	N	Axis	Nff	MB	TC	T1	T2	T3	T4	T5	T6	T7	TP	TS	TT	FT	TT3F
1	Tremie	1	1	MB	NA	1	0	0	1	1	0	0	0	0	2	0	2	NA	NA
1	Tremie	1	2	MB	NA	1	0	1	1	1	0	0	0	0	3	1	4	NA	NA
1	Tremie	1	3	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	1	4	MB	NA	1	0	1	1	1	0	0	0	0	3	1	4	NA	NA
1	Tremie	1	5	MB	NA	1	0	1	1	1	0	0	0	0	3	1	4	NA	NA
1	Tremie	1	6	MB	NA	1	0	1	1	1	0	0	0	0	3	1	4	NA	NA
1	Tremie	1	7	MB	NA	1	0	1	1	1	1	0	0	0	4	4	8	NA	NA
1	Tremie	1	8	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	1	9	MB	NA	1	0	1	1	1	0	0	0	0	3	2	5	NA	NA
1	Tremie	1	10	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	2	11	MB	NA	1	0	1	1	1	1	0	0	0	4	3	7	NA	NA
1	Tremie	2	12	MB	NA	1	0	1	1	1	1	0	0	0	4	0	4	NA	NA
1	Tremie	2	13	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	2	14	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	2	15	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	2	16	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	2	17	MB	NA	1	0	0	0	1	0	0	0	0	1	0	1	NA	NA
1	Tremie	2	18	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	2	19	MB	NA	1	0	1	0	0	0	0	0	0	1	0	1	NA	NA
1	Tremie	2	20	MB	NA	1	0	0	0	1	0	0	0	0	1	0	1	NA	NA
1	Tremie	3	21	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	3	22	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	3	23	MB	NA	1	0	1	1	0	0	0	0	0	2	0	2	NA	NA
1	Tremie	3	24	MB	NA	1	0	1	1	1	1	0	0	0	4	1	5	NA	NA
1	Tremie	3	25	MB	NA	1	0	1	1	1	0	0	0	0	3	1	4	NA	NA
1	Tremie	3	26	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	3	27	MB	NA	1	0	1	1	1	0	0	0	0	3	1	4	NA	NA
1	Tremie	3	28	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	3	29	MB	NA	1	0	1	1	1	0	0	0	0	3	0	3	NA	NA
1	Tremie	3	30	MB	NA	1	0	1	0	1	1	0	0	0	3	0	3	NA	NA
3	Tremie	1	1	MB	12	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	1	2	MB	12	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	1	3	MB	12	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	1	4	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	1	5	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	1	6	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	1	7	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	1	8	MB	12	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	1	9	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	1	10	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	2	11	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	2	12	MB	12	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	2	13	MB	12	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	2	14	MB	12	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	2	15	MB	12	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	2	16	MB	12	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	2	17	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	2	18	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	2	19	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	2	20	MB	12	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	3	21	MB	13	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
3	Tremie	3	22	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	23	MB	12	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	24	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	25	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	26	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	27	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	28	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	29	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
3	Tremie	3	30	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA
6	Tremie	1	1	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	1	2	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
6	Tremie	1	3	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA
6	Tremie	1	4	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	1	5	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	1	6	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
6	Tremie	1	7	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
6	Tremie	1	8	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	9	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	10	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	11	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA
6	Tremie	2	12	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	13	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
6	Tremie	2	14	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	15	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
6	Tremie	2	16	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	NA
6	Tremie	2	17	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	18	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	19	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	2	20	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
6	Tremie	2	21	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
6	Tremie	2	22	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA
6	Tremie	3	23	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
6	Tremie	3	24	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
6	Tremie	3	25	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	3	26	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
6	Tremie	3	27	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA
6	Tremie	3	28	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	3	29	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
6	Tremie	3	30	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
7	Tremie	1	1	MB	12	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	1	2	MB	12	1	NA	1	1	NA	NA	NA	NA	NA	2	1	3	3	NA
7	Tremie	1	3	MB	12	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	1	4	MB	13	1	NA	1	1	NA	NA	NA	NA	NA	2	3	5	5	NA
7	Tremie	1	5	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA
7	Tremie	1	6	MB	13	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	6	6	NA
7	Tremie	1	7	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA
7	Tremie	1	8	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	1	9	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
7	Tremie	1	10	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	2	11	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	2	12	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
7	Tremie	2	13	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	2	14	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	2	15	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
7	Tremie	2	16	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
7	Tremie	2	17	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	2	18	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA
7	Tremie	2	19	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	2	20	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
7	Tremie	3	21	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	3	22	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA
7	Tremie	3	23	MB	12	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	4	NA
7	Tremie	3	24	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	3	25	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA
7	Tremie	3	26	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	NA
7	Tremie	3	27	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	3	28	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	3	29	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
7	Tremie	3	30	MB	13	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA
8	Tremie	1	1	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3
8	Tremie	1	2	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	3	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
8	Tremie	1	4	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	3
8	Tremie	1	5	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2
8	Tremie	1	6	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2
8	Tremie	1	7	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
8	Tremie	1	8	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2
8	Tremie	1	9	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1
8	Tremie	1	10	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	11	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	4
8	Tremie	1	12	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
8	Tremie	1	13	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	14	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2
8	Tremie	1	15	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	5
8	Tremie	1	16	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	3
8	Tremie	1	17	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	4
8	Tremie	1	18	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	3
8	Tremie	1	19	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
8	Tremie	1	20	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	21	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	22	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
8	Tremie	1	23	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2
8	Tremie	1	24	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	0
8	Tremie	1	25	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
8	Tremie	1	26	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	3
8	Tremie	1	27	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
8	Tremie	1	28	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	29	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
8	Tremie	1	30	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2
8	Tremie	1	31	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	32	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
8	Tremie	1	33	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2
8	Tremie	1	34	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
8	Tremie	1	35	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1
8	Tremie	1	36	MB	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	2
