index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,8.1694,0.50,2.845,0.50,0.00,0.00
2,8.1694,0.50,2.845,0.50,0.00,0.00
3,8.1694,0.50,2.845,0.50,0.00,0.00
4,8.1694,0.50,3.368,0.50,0.00,0.00
5,9.07686,0.50,4.223333333,0.50,0.00,0.00
6,11.20,0.50,5.389655172,0.50,0.00,0.00
7,11.70,0.70,6.533333333,0.50,0.00,0.00
8,13.1,1.00,8.48,0.50,0.83,0.50
9,17.5,1.20,11.78,0.50,2.52,0.50
10,22.1,1.40,11.56,0.50,4.94,0.50
11,22.1,1.60,13.12,0.50,11.17,0.50
12,20.5,1.60,13.96,0.50,15.25,0.50
13,13.6,1.80,15.28,0.50,19.84,0.50
