Date	var	N	axe	Nflig	Nfvis	fertile	Daxe	Hcol	sheath_lenth_F8	sheath_lenth_F9	sheath_lenth_F10	sheath_lenth_F11	sheath_lenth_F12	sheath_lenth_F13	sheath_lenth_F14	internode_length_F8	internode_length_F9	internode_length_F10	internode_length_F11	internode_length_F12	internode_length_F13	internode_length_F14
09/05/2012	Tremie	1	mb	13	0	x	4,04	53		10,5	9,2	11,7	12,1	13				1,7	8,9	13,2	11,2	
09/05/2012	Tremie	1	t1			x	4	51,5														
09/05/2012	Tremie	2	mb	13		x	4,51	57		9,2	12,5	11,5	13,3	13,5				3	6,5	12,5	13,6	
09/05/2012	Tremie	2	t1			x	4,2	53														
09/05/2012	Tremie	3	mb	13		x	43,5	53,5		7,8	12	9,8	13	13,2				3	6,5	12,5	13,6	
09/05/2012	Tremie	3	t1			x	4,8	52														
09/05/2012	Tremie	4	mb	13		x	4,9	60,5		9,2	12	11,5	13,8	13,2			1,5	3,5	6,8	10,6	14,2	
09/05/2012	Tremie	4	t1			x	4,6	56,5														
09/05/2012	Tremie	4	t2			x	3,8	60,2														
09/05/2012	Tremie	5	mb	13		x	5,5	56			11,2	12,5	13,7	14,5				1,7	3,3	7,7	14,8	
09/05/2012	Tremie	5	t1			x	3,8	41,8														
09/05/2012	Tremie	5	t2			x	3,5	39														
09/05/2012	Tremie	5	t7			0	2,8	26,5														
09/05/2012	Tremie	6	mb	14		x	5,5	60,5			9,6	13,1	12,4	14	14,5			1,5	3,3	3	9,7	19,6
09/05/2012	Tremie	7	mb	13		x	4,9	60		8	12	13,9	14,7	14,5				2,1	4	9,4	16,4	14,3
09/05/2012	Tremie	7	t1			x	4,8	56														
09/05/2012	Tremie	7	t2			x	4	53														
09/05/2012	Tremie	8	mb	12		x	4,8	57		11,3	13,2	14	14,2					3	9,5	15,3		
09/05/2012	Tremie	8	t1			x	4,4	51														
09/05/2012	Tremie	9	mb	13		x	5	63		11,2	13,4	12,5	13	13				3,6	8,2	13,3	14,2	
09/05/2012	Tremie	9	t1			x	4,6	58,5														
09/05/2012	Tremie	10	mb	13		x	4,8	56		8	11,2	12,8	14	13				2,8	4,2	8,8	14	
09/05/2012	Tremie	10	t1			x	3,9	57,5														
09/05/2012	Tremie	11	mb	13		x	4,3	55,7		8,1	11,5	1,6	12,2	13				1,1	4,6	14	14,1	
09/05/2012	Tremie	12	mb	13		x	5	56			10,4	12,6	14	13,8				1	3,8	10,3	15,2	
09/05/2012	Tremie	12	t1			x	3,6	48														
09/05/2012	Tremie	13	mb	14		x	5,17	59			10,7	12,5	14	13,8	14,2			1,1	3	10,2	12,6	12,5
09/05/2012	Tremie	13	t1			x	5,5	55,5														
09/05/2012	Tremie	14	mb	13		x	5,3	53			11	13,5	14	14,2				1	4,3	8,2	14	
09/05/2012	Tremie	14	t1			x	4,6	50														
09/05/2012	Tremie	14	t2			x	3,55	39														
09/05/2012	Tremie	15	mb	13		x	4,9	56			12	12,3	13,7	13,2				2,8	4	10,8	14,3	
09/05/2012	Tremie	15	t1			x	3,8	52														
09/05/2012	Tremie	16	mb	13		x	5,14	57			11,8	11,5	14,5	14,6				1,8	4,5	11,2	13,5	
09/05/2012	Tremie	16	t1			x	4,4	47														
09/05/2012	Tremie	16	t2			x	3	36														
09/05/2012	Tremie	17	mb	13		x	4,5	51,5		8,5	10,5	11	12	13				1,5	3,3	13,5	12,7	
09/05/2012	Tremie	17	t1			x	4	43,5														
09/05/2012	Tremie	18	mb	13		x	5,6	60,5		9,7	13	12,7	13,5	14,5				2,2	7,2	12,6	13,7	
09/05/2012	Tremie	18	t1			x	4,7	50,5														
09/05/2012	Tremie	19	mb			x	5,4	57,5		10	13,2	12	13	14,1				2,6	6,4	11,8	13,7	
09/05/2012	Tremie	19	t1			x	5,4	54														
09/05/2012	Tremie	20	mb	13		x	5	55,5		8	12	12	13,5	14				2,8	4,2	10,2	14	
09/05/2012	Tremie	20	t1			x	4,9	53,5														
09/05/2012	Tremie	20	t2			x	4,8	51,5														
09/05/2012	Tremie	21	mb	13		x	5,3	58,5		8,5	12	10,7	14,8	14,5				2	4,5	10,7	14,7	
09/05/2012	Tremie	22	mb	13		x	4,9	54		8,2	11,5	9,8	12,1	13,5				2	3,5	10,5	14,5	
09/05/2012	Tremie	22	t1			x	3,29	38														
09/05/2012	Tremie	23	mb	13		x	4,7	53,5		8,1	12	10,7	11,3	12,8				2	5,2	10,5	13,2	
09/05/2012	Tremie	24	mb	13		x	5,6	57		9,5	12,5	10,2	12,8	13,5				2,9	4,5	11,5	14	
09/05/2012	Tremie	24	t1			x	4,2	55														
09/05/2012	Tremie	25	mb	13		x	5,3	54		9	11,2	10	12	14				1,5	1,7	9	15,3	
09/05/2012	Tremie	25	t1			0	2,8	31,5														
09/05/2012	Tremie	25	t2			0	2,4	23,4														
09/05/2012	Tremie	26	mb	13		x	5,12	60,2		10,5	13	12	14,2	13,7				3	7,5	11,8	14,3	
09/05/2012	Tremie	26	t1			x	4,7	56														
09/05/2012	Tremie	26	t2			x	4,7	55														
09/05/2012	Tremie	27	mb	13		x	5,02	53,5		9,7	11,2	11	13,3	14,2				1,6	4	13	13,5	
09/05/2012	Tremie	27	t1			x	4,9	52,3														
09/05/2012	Tremie	27	t2			x	4	38,5														
09/05/2012	Tremie	28	mb	14		x	4,7	54		7,5	11	10,5	11,6	12,5	12,2			1,2	1,5	5,8	14,5	12,5
09/05/2012	Tremie	28	t1			x	3,7	44														
09/05/2012	Tremie	29	mb	13		x	5,3	54		10,8	9,5	12,1	13,3	14,6			0,8	1,5	6,7	12,7	12,2	
09/05/2012	Tremie	29	t1			x	2,6	26,8														
09/05/2012	Tremie	30	mb	13		x	5,4	55		9	11,5	11,5	13,8	13,8				2,9	4,7	9,8	13	
09/05/2012	Tremie	30	t1			x	5,7	55														
