Date	var	Trt	N	Nflig	Nfvis	blade_length_F7	blade_length_F8	blade_length_F9	blade_length_F10	blade_length_F11	blade_length_F12	blade_length_F13	sheath_length_F7	sheath_length_F8	sheath_length_F9	sheath_length_F10	sheath_length_F11	sheath_length_F12	sheath_length_F13	first_elongated_internode
11/04/2012	Tremie	T1+T2	1	11	1	11	13,6	17,4	23,1	22,1	5,6		4,5	8,5	12,8	11,6				9
11/04/2012	Tremie	T1+T2	2	11	1		c	c	19,3	22,1	17,3			7	10,5	13				9
11/04/2012	Tremie	T1+T2	3	11	1	10,9	14,1	17,2	22	21,4	4,6		4,4	7,9	11,4	10,8				9
11/04/2012	Tremie	T1+T2	4	11	1	c	14,4	16,5	21,3	17,9	10,4		5,2	6,5	11,3	10,1				9
11/04/2012	Tremie	T1+T2	5	10	1	9	12,6	18,2	19,5	16,1			4,5	8,2	8,1					9
11/04/2012	Tremie	T1+T2	6	11	1		c	15,8	18,4	23,2	20,2			5	9,5	12,2				9
11/04/2012	Tremie	T1+T2	7	10	1	8,7	12,6	17,6	22,3	20			3,1	7,8	11,7	12,5				9
11/04/2012	Tremie	T1+T2	8	10	1		16	20,5	22,1	17,2			5,2	9,8	12,8	11,7				9
11/04/2012	Tremie	T1+T2	9	11	1			12,6	19,4	22,3	16,1			6	10	11,5				9
11/04/2012	Tremie	T1+T2	10	10	1		12,5	10,4	19,5					5,2	10	13				9
11/04/2012	Tremie	T1+T2	11	11	1		11,7	15,4	20,4	21	17,4		3,2	6,1	10	11,4				9
11/04/2012	Tremie	T1+T2	12	11	1		11,3	14,6	19,1	21,2	15,4			6,1	9,87	11,2				9
11/04/2012	Tremie	T1+T2	13	11	1		15,2	17,8	21,6	22,5	13,1		5,8	9	10,5	11,8				9
11/04/2012	Tremie	T1+T2	14	11	1			15,1	22	23,7	10,1			6,3	10,2	10,4				9
11/04/2012	Tremie	T1+T2	15	11	1	12,8	15	18,9	23,7	24,3	12		5,8	9,7	12,7	11,2				9
11/04/2012	Tremie	T1+T2	16	11	1			19	23,8	25,4	8,2		5,4	8,8	12,7	12				9
11/04/2012	Tremie	T1+T2	17	11	1		12,8	15,1	19,3	21,9	14,9			6,5	10	11,3				9
11/04/2012	Tremie	T1+T2	18	11	1	12,5	16	18,3	23	22,3	10,2		5,6	9,5	12,8	10,4				9
11/04/2012	Tremie	T1+T2	19	11	1		14,2	19,1	24,7	22,3	10,4		4,5	9,5	13	10,5				9
11/04/2012	Tremie	T1+T2	20	12	1			11,7	15,4	21,4	22,4	7,1			7,5	10,2	11			10
11/04/2012	Tremie	T1+T2	21	11	1		16,6	20	24,8	21,7	3,7		6	10,5	13,3	11,2				8
11/04/2012	Tremie	T1+T2	22	10	1	c	19,4	21,7	26,3	24,1			9,5	12,8	13,5					8
11/04/2012	Tremie	T1+T2	23	11	1				22,6	24,2	15,5			7,8	12	13,3				9
11/04/2012	Tremie	T1+T2	24	11	1			21,6	26,1	27,2	1,5		6	11,4	13,3	12,5				8
11/04/2012	Tremie	T1+T2	25	11	1			17,4	18,2	21,6	21,2				10	13,2				9
11/04/2012	Tremie	T1+T2	26	11	1	16,3	c	20,6	25	25,5	10,5		7,5	11,5	13,2	13,7				8
11/04/2012	Tremie	T1+T2	27	10	1	16,8	11,7	18	20,4	19,1			4,7	7,8	10,3	12				9
11/04/2012	Tremie	T1+T2	28	10	1		20,5	23,7	26,1	17				8,7	12,5	13,5				8
11/04/2012	Tremie	T1+T2	29	10	1	13,8	17,5	21,3	25,2	20,6			6,5	11,7	13	13,2				8
11/04/2012	Tremie	T1+T2	30	10	1		12,5	19	22,6	24,6				8,8	11,9	12,6				9
