Date	var	placette	N	Hcol_F5	Hcol_F6	Hcol_F7	Hcol_F8	Hcol_F9	Hcol_F10	Hcol_F11	Hcol_F12	H_node	Diametre_tige_mm
22/04/2013	Tremie	1	1		5	10	15	12				3,5	6
22/04/2013	Tremie	1	2	3,7	6,2	12,5	16,2	16,2				1,6	4
22/04/2013	Tremie	1	3	4	6,5	13	19	19,2				3,9	4
22/04/2013	Tremie	1	4	3,8	6,6	12,8	15,6	15,6				2,3	3
22/04/2013	Tremie	1	5		5,3	10,3	17,8	17,8				1,3	5
22/04/2013	Tremie	1	6		4,2	8,5	14,9	14,9				3,2	4
22/04/2013	Tremie	1	7		5,5	11,3	13	13				1,2	3
22/04/2013	Tremie	1	8		8	15,5	17,9	17,9				4,2	4
22/04/2013	Tremie	1	9		6,3	13,1	15,5	15,5				2,6	4
22/04/2013	Tremie	1	10		6,6	14,4	14,9	14,9				1,7	4
22/04/2013	Tremie	1	11		5,8	11	16	16				1	4
22/04/2013	Tremie	1	12		3,2	9,8	14,4					Na	4
22/04/2013	Tremie	1	13		5,9	11,7	15,5	15,5				1,5	4
22/04/2013	Tremie	1	14		7,3	13,3	13,3					2,8	3
22/04/2013	Tremie	1	15		4,2	8,7	14,6	14,6				2,3	5
22/04/2013	Tremie	2	16		7,7	13,3	17,2	17,2				2,5	5
22/04/2013	Tremie	2	17		5,6	12,4	14,7	14,7				2,4	4
22/04/2013	Tremie	2	18		6,8	12,5	13	13				1,7	4
22/04/2013	Tremie	2	19		5,5	10,7	15,4	15,4				0,6	4
22/04/2013	Tremie	2	20		5,8	10,8	17	17				1,2	5
22/04/2013	Tremie	2	21		7,3	14,6	18,2	18,2				3,1	4
22/04/2013	Tremie	2	22		4	8,6	14,2	14,2				Na	4
22/04/2013	Tremie	2	23		5	9,9	12,7	12,7				0,5	4
22/04/2013	Tremie	2	24		5,1	10,1	13	13				Na	4
22/04/2013	Tremie	2	25		7,5	14,2	14,2					3	4
22/04/2013	Tremie	2	26	4,7	7,7	14,7	15,9	15,9				3,3	5
22/04/2013	Tremie	2	27		4,5	8,7	14	14				2,8	4
22/04/2013	Tremie	2	28		5,5	11,2	13,6	13,6				1,2	4
22/04/2013	Tremie	2	29		6,7	13,5	14,5	14,5				2,3	4
22/04/2013	Tremie	2	30		5,4	11,6	13,7	13,7				1,2	4
22/04/2013	Tremie	3	31		5,9	12,6	15,8	15,8				2	4
22/04/2013	Tremie	3	32		4,7	8,8	13,8	13,8				Na	4
22/04/2013	Tremie	3	33		6,2	11,6	19,1	19,1				1,4	5
22/04/2013	Tremie	3	34		4,5	8,8	16,1	16,1				4	5
22/04/2013	Tremie	3	35		5,5	10	17,9	17,9				0,8	5
22/04/2013	Tremie	3	36		5,4	10,7	14,1	14,1				0,9	3
22/04/2013	Tremie	3	37		5,6	11,8	15,5	15,5				1,4	4
22/04/2013	Tremie	3	38		6,8	13,8	15,2	15,2				2,8	4
22/04/2013	Tremie	3	39		5,6	11,6	14,8	14,8				1,3	5
22/04/2013	Tremie	3	40	3,3	6,1	12	12,5	12,5				1,6	5
22/04/2013	Tremie	3	41		Na	8,3	14,5	14,5				3,4	4
22/04/2013	Tremie	3	42		4,6	9	15,4	16,2	16,2			3,7	5
22/04/2013	Tremie	3	43		4,2	8	14,3	14,3	14,3			3,2	4
22/04/2013	Tremie	3	44		4,8	9,1	15	15	15			3,3	4
22/04/2013	Tremie	3	45		5,3	10,7	15,4	15,4				1	4
03/05/2013	Tremie	1	1		6,4	13	21,3	28,9	28,9				5
03/05/2013	Tremie	1	2		6,5	11,9	20,7	24,5	24,5				5
03/05/2013	Tremie	1	3		5,8	11,2	19,4	24	24,2				5
03/05/2013	Tremie	1	4		3,5	7,8	14,3	23,5	25	25			4
03/05/2013	Tremie	1	5		6,7	13	20,1	26,2	26,2				4
03/05/2013	Tremie	1	6		5,3	10,2	17,5	23,8	23,8				4
03/05/2013	Tremie	1	7		4	9	15	21,5	21,5				4
03/05/2013	Tremie	1	8		6,7	13,2	20,719	25,5	25,5				5
03/05/2013	Tremie	1	9		5	10,7	19	27,3	27,3				5
03/05/2013	Tremie	1	10		5,8	9,5	17,5	18	18				3
03/05/2013	Tremie	1	11		4,1	7,7	14,8	23,2	24,5	24,5			5
03/05/2013	Tremie	1	12		6,6	13	19,6	24,6	24,6				4
03/05/2013	Tremie	1	13		5,2	9,4	16,2	21,8	22				5
03/05/2013	Tremie	1	14		5,9	10,9	18	25	25				4
03/05/2013	Tremie	1	15		6,9	14,4	24	27	27				5
03/05/2013	Tremie	2	16		6,4	12,2	17	25	25				4
03/05/2013	Tremie	2	17		5	8,3	15,7	25	25				3
03/05/2013	Tremie	2	18		7,5	13,5	20,6	27,5	27,5				4
03/05/2013	Tremie	2	19		6,3	10	16,2	25	25				5
