variety;date;blo;plant;axis;num_leaf_bottom;num_leaf_top;fnl;green;necro_tot;length;green_length;senesced_length
tremie;13/02/2013;1;1;MS;1;;12;;;;;
tremie;13/02/2013;1;2;MS;1;;11;;;;;
tremie;13/02/2013;1;3;MS;1;;11;90;10;6.7;0.67;6.03
tremie;13/02/2013;1;4;MS;1;;11;100;0;5.5;0;5.5
tremie;13/02/2013;1;5;MS;1;;11;50;50;;;
tremie;13/02/2013;1;6;MS;1;;11;100;0;4.5;0;4.5
tremie;13/02/2013;1;7;MS;1;;12;100;0;;;
tremie;13/02/2013;1;8;MS;1;;12;50;50;;;
tremie;13/02/2013;1;9;MS;1;;11;80;20;5.5;1.1;4.4
tremie;13/02/2013;1;10;MS;1;;12;;;;;
tremie;13/02/2013;1;11;MS;1;;11;90;10;7;0.7;6.3
tremie;13/02/2013;1;12;MS;1;;12;70;30;5.3;1.59;3.71
tremie;13/02/2013;1;13;MS;1;;11;70;30;6.6;1.98;4.62
tremie;13/02/2013;1;14;MS;1;;11;90;10;7;0.7;6.3
tremie;13/02/2013;1;15;MS;1;;12;90;10;7;0.7;6.3
tremie;13/02/2013;2;16;MS;1;;11;90;10;7.7;0.77;6.93
tremie;13/02/2013;2;17;MS;1;;11;;;;;
tremie;13/02/2013;2;18;MS;1;;12;90;10;4;0.4;3.6
tremie;13/02/2013;2;19;MS;1;;11;100;0;;;
tremie;13/02/2013;2;20;MS;1;;12;100;0;6.5;0;6.5
tremie;13/02/2013;2;21;MS;1;;11;100;0;6.7;0;6.7
tremie;13/02/2013;2;22;MS;1;;12;;;;;
tremie;13/02/2013;2;23;MS;1;;11;;;;;
tremie;13/02/2013;2;24;MS;1;;12;;;;;
tremie;13/02/2013;2;25;MS;1;;12;100;0;6.6;0;6.6
tremie;13/02/2013;2;26;MS;1;;11;;;;;
tremie;13/02/2013;2;27;MS;1;;11;90;10;6.7;0.67;6.03
tremie;13/02/2013;2;28;MS;1;;11;100;0;7.8;0;7.8
tremie;13/02/2013;2;29;MS;1;;12;90;10;6.6;0.66;5.94
tremie;13/02/2013;2;30;MS;1;;12;;;;;
tremie;13/02/2013;3;31;MS;1;;11;80;20;7.4;1.48;5.92
tremie;13/02/2013;3;32;MS;1;;11;80;20;6.9;1.38;5.52
tremie;13/02/2013;3;33;MS;1;;11;100;0;7.3;0;7.3
tremie;13/02/2013;3;34;MS;1;;11;100;0;6.5;0;6.5
tremie;13/02/2013;3;35;MS;1;;11;85;15;7;1.05;5.95
tremie;13/02/2013;3;36;MS;1;;11;80;20;;;
tremie;13/02/2013;3;37;MS;1;;11;;;;;
tremie;13/02/2013;3;38;MS;1;;11;;;;;
tremie;13/02/2013;3;39;MS;1;;11;;;;;
tremie;13/02/2013;3;40;MS;1;;11;;;;;
tremie;13/02/2013;3;41;MS;1;;11;;;;;
tremie;13/02/2013;3;42;MS;1;;11;90;10;5.5;0.55;4.95
tremie;13/02/2013;3;43;MS;1;;11;;;;;
tremie;13/02/2013;3;44;MS;1;;11;;;;;
tremie;13/02/2013;3;45;MS;1;;11;;;;;
tremie;13/02/2013;1;1;MS;2;;12;100;0;8.2;0;8.2
tremie;13/02/2013;1;2;MS;2;;11;100;0;8;0;8
tremie;13/02/2013;1;3;MS;2;;11;100;0;7.8;0;7.8
tremie;13/02/2013;1;4;MS;2;;11;100;0;7;0;7
tremie;13/02/2013;1;5;MS;2;;11;90;10;6;0.6;5.4
tremie;13/02/2013;1;6;MS;2;;11;100;0;6;0;6
tremie;13/02/2013;1;7;MS;2;;12;100;0;8;0;8
tremie;13/02/2013;1;8;MS;2;;12;;;;;
tremie;13/02/2013;1;9;MS;2;;11;100;0;6.6;0;6.6
tremie;13/02/2013;1;10;MS;2;;12;80;20;8;1.6;6.4
tremie;13/02/2013;1;11;MS;2;;11;100;0;7.8;0;7.8
tremie;13/02/2013;1;12;MS;2;;12;100;0;6.6;0;6.6
tremie;13/02/2013;1;13;MS;2;;11;100;0;7.4;0;7.4
tremie;13/02/2013;1;14;MS;2;;11;100;0;8.5;0;8.5
tremie;13/02/2013;1;15;MS;2;;12;70;30;8.2;2.46;5.74
tremie;13/02/2013;2;16;MS;2;;11;100;0;9;0;9
tremie;13/02/2013;2;17;MS;2;;11;;;;;
tremie;13/02/2013;2;18;MS;2;;12;100;0;5;0;5
tremie;13/02/2013;2;19;MS;2;;11;100;0;8.7;0;8.7
tremie;13/02/2013;2;20;MS;2;;12;100;0;8.2;0;8.2
tremie;13/02/2013;2;21;MS;2;;11;100;0;8;0;8
tremie;13/02/2013;2;22;MS;2;;12;;;;;
tremie;13/02/2013;2;23;MS;2;;11;100;0;8;0;8
tremie;13/02/2013;2;24;MS;2;;12;;;;;
tremie;13/02/2013;2;25;MS;2;;12;90;10;8.8;0.88;7.92
tremie;13/02/2013;2;26;MS;2;;11;100;0;10;0;10
tremie;13/02/2013;2;27;MS;2;;11;100;0;8;0;8
tremie;13/02/2013;2;28;MS;2;;11;100;0;9;0;9
tremie;13/02/2013;2;29;MS;2;;12;100;0;8;0;8
tremie;13/02/2013;2;30;MS;2;;12;;;;;
tremie;13/02/2013;3;31;MS;2;;11;100;0;9.6;0;9.6
tremie;13/02/2013;3;32;MS;2;;11;100;0;7.4;0;7.4
tremie;13/02/2013;3;33;MS;2;;11;;;;;
tremie;13/02/2013;3;34;MS;2;;11;100;0;8.2;0;8.2
tremie;13/02/2013;3;35;MS;2;;11;100;0;10;0;10
tremie;13/02/2013;3;36;MS;2;;11;100;0;8.5;0;8.5
tremie;13/02/2013;3;37;MS;2;;11;90;10;6.8;0.68;6.12
tremie;13/02/2013;3;38;MS;2;;11;100;0;8.1;0;8.1
tremie;13/02/2013;3;39;MS;2;;11;85;15;9.8;1.47;8.33
tremie;13/02/2013;3;40;MS;2;;11;85;15;8.5;1.275;7.225
tremie;13/02/2013;3;41;MS;2;;11;100;0;9.6;0;9.6
tremie;13/02/2013;3;42;MS;2;;11;90;10;8.4;0.84;7.56
tremie;13/02/2013;3;43;MS;2;;11;85;15;9.3;1.395;7.905
tremie;13/02/2013;3;44;MS;2;;11;100;0;8;0;8
tremie;13/02/2013;3;45;MS;2;;11;90;10;8.4;0.84;7.56
tremie;13/02/2013;1;1;MS;3;;12;;;;;
tremie;13/02/2013;1;2;MS;3;;11;100;0;9.6;0;9.6
tremie;13/02/2013;1;3;MS;3;;11;;;;;
tremie;13/02/2013;1;4;MS;3;;11;100;0;8.1;0;8.1
tremie;13/02/2013;1;5;MS;3;;11;100;0;8;0;8
tremie;13/02/2013;1;6;MS;3;;11;100;0;7.5;0;7.5
tremie;13/02/2013;1;7;MS;3;;12;;;;;
tremie;13/02/2013;1;8;MS;3;;12;;;;;
tremie;13/02/2013;1;9;MS;3;;11;100;0;8.2;0;8.2
tremie;13/02/2013;1;10;MS;3;;12;100;0;9.4;0;9.4
tremie;13/02/2013;1;11;MS;3;;11;100;0;10.7;0;10.7
tremie;13/02/2013;1;12;MS;3;;12;100;0;8;0;8
tremie;13/02/2013;1;13;MS;3;;11;;;;;
tremie;13/02/2013;1;14;MS;3;;11;100;0;9.3;0;9.3
tremie;13/02/2013;1;15;MS;3;;12;100;0;9.4;0;9.4
tremie;13/02/2013;2;16;MS;3;;11;;;;;
tremie;13/02/2013;2;17;MS;3;;11;100;0;8.2;0;8.2
tremie;13/02/2013;2;18;MS;3;;12;100;0;6.5;0;6.5
tremie;13/02/2013;2;19;MS;3;;11;100;0;9.6;0;9.6
tremie;13/02/2013;2;20;MS;3;;12;;;;;
tremie;13/02/2013;2;21;MS;3;;11;100;0;9.5;0;9.5
tremie;13/02/2013;2;22;MS;3;;12;100;0;8.5;0;8.5
tremie;13/02/2013;2;23;MS;3;;11;;;;;
tremie;13/02/2013;2;24;MS;3;;12;100;0;9.8;0;9.8
tremie;13/02/2013;2;25;MS;3;;12;100;0;10.4;0;10.4
tremie;13/02/2013;2;26;MS;3;;11;100;0;11;0;11
tremie;13/02/2013;2;27;MS;3;;11;100;0;9.7;0;9.7
tremie;13/02/2013;2;28;MS;3;;11;;;;;
tremie;13/02/2013;2;29;MS;3;;12;;;;;
tremie;13/02/2013;2;30;MS;3;;12;100;0;8.5;0;8.5
tremie;13/02/2013;3;31;MS;3;;11;100;0;11;0;11
tremie;13/02/2013;3;32;MS;3;;11;100;0;9;0;9
tremie;13/02/2013;3;33;MS;3;;11;100;0;10;0;10
tremie;13/02/2013;3;34;MS;3;;11;;;;;
tremie;13/02/2013;3;35;MS;3;;11;100;0;11.5;0;11.5
tremie;13/02/2013;3;36;MS;3;;11;100;0;10.3;0;10.3
tremie;13/02/2013;3;37;MS;3;;11;100;0;10.5;0;10.5
tremie;13/02/2013;3;38;MS;3;;11;100;0;8.8;0;8.8
tremie;13/02/2013;3;39;MS;3;;11;100;0;11.5;0;11.5
tremie;13/02/2013;3;40;MS;3;;11;80;20;11.5;2.3;9.2
tremie;13/02/2013;3;41;MS;3;;11;;;;;
tremie;13/02/2013;3;42;MS;3;;11;100;0;9.3;0;9.3
tremie;13/02/2013;3;43;MS;3;;11;;;;;
tremie;13/02/2013;3;44;MS;3;;11;100;0;10;0;10
tremie;13/02/2013;3;45;MS;3;;11;;;;;
tremie;13/02/2013;1;1;MS;4;;12;100;0;;;
tremie;13/02/2013;1;2;MS;4;;11;100;0;9.8;0;9.8
tremie;13/02/2013;1;3;MS;4;;11;100;0;10.1;0;10.1
tremie;13/02/2013;1;4;MS;4;;11;;;;;
tremie;13/02/2013;1;5;MS;4;;11;100;0;8.7;0;8.7
tremie;13/02/2013;1;6;MS;4;;11;100;0;8.7;0;8.7
tremie;13/02/2013;1;7;MS;4;;12;100;0;;;
tremie;13/02/2013;1;8;MS;4;;12;100;0;8.4;0;8.4
tremie;13/02/2013;1;9;MS;4;;11;100;0;;;
tremie;13/02/2013;1;10;MS;4;;12;100;0;;;
tremie;13/02/2013;1;11;MS;4;;11;100;0;;;
tremie;13/02/2013;1;12;MS;4;;12;100;0;8;0;8
tremie;13/02/2013;1;13;MS;4;;11;100;0;9.5;0;9.5
tremie;13/02/2013;1;14;MS;4;;11;100;0;10.3;0;10.3
tremie;13/02/2013;1;15;MS;4;;12;100;0;9.4;0;9.4
tremie;13/02/2013;2;16;MS;4;;11;100;0;11.3;0;11.3
tremie;13/02/2013;2;17;MS;4;;11;100;0;7.8;0;7.8
tremie;13/02/2013;2;18;MS;4;;12;100;0;8.1;0;8.1
tremie;13/02/2013;2;19;MS;4;;11;;;;;
tremie;13/02/2013;2;20;MS;4;;12;;;;;
tremie;13/02/2013;2;21;MS;4;;11;;;;;
tremie;13/02/2013;2;22;MS;4;;12;100;0;8.9;0;8.9
tremie;13/02/2013;2;23;MS;4;;11;100;0;10;0;10
tremie;13/02/2013;2;24;MS;4;;12;;;;;
tremie;13/02/2013;2;25;MS;4;;12;100;0;10.1;0;10.1
tremie;13/02/2013;2;26;MS;4;;11;100;0;11;0;11
tremie;13/02/2013;2;27;MS;4;;11;100;0;9.8;0;9.8
tremie;13/02/2013;2;28;MS;4;;11;;;;;
tremie;13/02/2013;2;29;MS;4;;12;;;;;
tremie;13/02/2013;2;30;MS;4;;12;100;0;8.1;0;8.1
tremie;13/02/2013;3;31;MS;4;;11;100;0;10.8;0;10.8
tremie;13/02/2013;3;32;MS;4;;11;100;0;9.7;0;9.7
tremie;13/02/2013;3;33;MS;4;;11;100;0;10;0;10
tremie;13/02/2013;3;34;MS;4;;11;;;;;
tremie;13/02/2013;3;35;MS;4;;11;100;0;11.8;0;11.8
tremie;13/02/2013;3;36;MS;4;;11;;;;;
tremie;13/02/2013;3;37;MS;4;;11;100;0;10.5;0;10.5
tremie;13/02/2013;3;38;MS;4;;11;100;0;9;0;9
tremie;13/02/2013;3;39;MS;4;;11;100;0;11.5;0;11.5
tremie;13/02/2013;3;40;MS;4;;11;100;0;11.5;0;11.5
tremie;13/02/2013;3;41;MS;4;;11;100;0;11;0;11
tremie;13/02/2013;3;42;MS;4;;11;100;0;10;0;10
tremie;13/02/2013;3;43;MS;4;;11;;;;;
tremie;13/02/2013;3;44;MS;4;;11;100;0;9.5;0;9.5
tremie;13/02/2013;3;45;MS;4;;11;;;;;
tremie;13/02/2013;1;1;MS;5;;12;100;0;7.5;0;7.5
tremie;13/02/2013;1;2;MS;5;;11;100;0;5.2;0;5.2
tremie;13/02/2013;1;3;MS;5;;11;100;0;;;
