index_phytomer,L_blade,W_blade,L_sheath,W_sheath,L_internode,W_internode
1,8.1694,0.547091333,2.845,0.499052632,0,0
2,8.1694,0.547091333,2.845,0.499052632,0,0
3,8.1694,0.547091333,2.845,0.499052632,0,0
4,8.1694,0.547091333,3.368,0.499052632,0,0
5,9.07686,0.547091333,4.223333333,0.499052632,0,0
6,11.23535833,0.547091333,5.389655172,0.499052632,0,0
7,12.7628,0.695447083,6.533333333,0.499052632,0,0
8,14.87368421,0.954004565,7.644444444,0.499052632,0.825,0.45
9,17.51578947,1.186682542,11.78125,0.499052632,2.522222222,0.45
10,21.43157895,1.385459839,11.56315789,0.499052632,4.936842105,0.45
11,22,1.549430952,13.12105263,0.499052632,11.17368421,0.45
12,20.25789474,1.644793103,13.95789474,0.499052632,15.24736842,0.45
13,12.66666667,1.789391667,15.27894737,0.499052632,19.84210526,0.45
