"label","Source","N","nff","rank","Lb","Wb","Ab","Ls","Li","Hc"
"Mercia","tagged_plants",1,12,3,8.4,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,6,7.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,7,9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,8,15.8,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,9,22.25,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,10,26.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,11,22.8,NA,NA,NA,NA,NA
"Mercia","tagged_plants",1,12,12,16.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",2,NA,1,7.7,NA,NA,NA,NA,NA
"Mercia","tagged_plants",2,NA,2,9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",2,NA,3,8.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,2,10.4,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,3,9.3,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,6,8.7,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,7,12,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,8,16.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,9,23.25,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,10,28.35,NA,NA,NA,NA,NA
"Mercia","tagged_plants",3,11,11,19.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",4,NA,2,9.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,1,8.7,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,2,11.3,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,3,10.3,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,6,10,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,7,11.9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,8,16.7,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,9,19.45,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,10,28.15,NA,NA,NA,NA,NA
"Mercia","tagged_plants",5,11,11,19.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",6,NA,3,10,NA,NA,NA,NA,NA
"Mercia","tagged_plants",7,11,6,9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",7,11,7,12.3,NA,NA,NA,NA,NA
"Mercia","tagged_plants",7,11,8,19.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",7,11,9,26.1,NA,NA,NA,NA,NA
"Mercia","tagged_plants",7,11,10,26.6,NA,NA,NA,NA,NA
"Mercia","tagged_plants",7,11,11,19.8,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,1,9.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,2,11.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,3,10.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,6,11,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,7,13.4,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,8,17,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,9,21,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,10,26.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,11,22.1,NA,NA,NA,NA,NA
"Mercia","tagged_plants",8,12,12,14.9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",9,NA,1,7.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",9,NA,2,10.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",10,NA,2,10.5,NA,NA,NA,NA,NA
"Mercia","tagged_plants",10,NA,3,11,NA,NA,NA,NA,NA
"Mercia","tagged_plants",11,12,1,7,NA,NA,NA,NA,NA
"Mercia","tagged_plants",11,12,2,9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",11,12,3,9,NA,NA,NA,NA,NA
"Mercia","tagged_plants",11,12,6,8.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",11,12,7,9.2,NA,NA,NA,NA,NA
"Mercia","tagged_plants",11,12,8,12,NA,NA,NA,NA,NA
