Date	var	Trt	Rep	N	Axis	Nflig	Nfvis	H_last_col	nff	Lg_F1	Lg_F2	Lg_F3	Lg_F4	Lg_F5	Lg_F6	Lg_F7	Lg_F8	Lg_F9	Lg_F10	Lg_F11	Lg_F12	Lg_F13	fsen_F1	fsen_F2	fsen_F3	fsen_F4	fsen_F5	fsen_F6	fsen_F7	fsen_F8	fsen_F9	fsen_F10	fsen_F11	fsen_F12	fsen_F13	fvert_F1	fvert_F2	fvert_F3	fvert_F4	fvert_F5	fvert_F6	fvert_F7	fvert_F8	fvert_F9	fvert_F10	fvert_F11	fvert_F12	fvert_F13
19/01/2011	Mercia	T1+T2	1	1	MB	3	2		12			8,4	5,9	2,1									0	0																								
19/01/2011	Mercia	T1+T2	1	2	MB	3	2			7,7	9	8,2	5,5	1,7									2	10																								
19/01/2011	Mercia	T1+T2	1	3	MB	3	2		11		10,4	9,3	5,5	1,2									0	4																								
19/01/2011	Mercia	T1+T2	1	4	MB	3	2				9,5		6,6	2									0	0																								
19/01/2011	Mercia	T1+T2	1	5	MB	3	2		11	8,7	11,3	10,3	6,4	1,2									20	0																								
19/01/2011	Mercia	T1+T2	1	6	MB	3	2					10	7	2									0	0																								
19/01/2011	Mercia	T1+T2	1	7	MB	3	2		11				6,5	1									10	0																								
19/01/2011	Mercia	T1+T2	1	8	MB	3	2		12	9,5	11,5	10,2	7,4	2									1	0																								
19/01/2011	Mercia	T1+T2	1	9	MB	3	2			7,5	10,5		6,5	2,2									1	0																								
19/01/2011	Mercia	T1+T2	1	10	MB	3	2				10,5	11	6,2	1,2									1	1																								
19/01/2011	Mercia	T1+T2	1	11	MB	3	2		12	7	9	9	7	2,5									0	0	1																							
19/01/2011	Mercia	T1+T2	1	12	MB	3	2		12	9	12,5		7	5									0	0																								
19/01/2011	Mercia	T1+T2	2	13	MB	3	2		11	9	11,5		7	1									0	0																								
19/01/2011	Mercia	T1+T2	2	14	MB	3	2		12	8	9,7		5,6	1									2	0																								
19/01/2011	Mercia	T1+T2	2	15	MB	3	1		12	7,9	11,5	11,4	4,7										0	9																								
19/01/2011	Mercia	T1+T2	2	16	MB	3	2		12	9			6	1,2									0	0																								
19/01/2011	Mercia	T1+T2	2	17	MB	3	2		12					1									0	0																								
19/01/2011	Mercia	T1+T2	2	18	MB	3	2		12	6,7	9,4		5,3	1,2									0	0																								
19/01/2011	Mercia	T1+T2	2	19	MB	3	1		11				4,5										0	0																								
19/01/2011	Mercia	T1+T2	2	20	MB	3	2		12			10,2	6,6	1,9									0	0																								
19/01/2011	Mercia	T1+T2	2	21	MB	3	1		11		10,5		4,4										0	0																								
19/01/2011	Mercia	T1+T2	2	22	MB	3	1		11		9,8	9	5,5										0	0	2																							
19/01/2011	Mercia	T1+T2	2	23	MB	3	2		12	7		8	6	2,2									0	0																								
19/01/2011	Mercia	T1+T2	2	24	MB	3	2		11	8,3	8	8,3	5,2	1									2	3																								
19/01/2011	Mercia	T1+T2	3	25	MB	3	2		12		10,3	9,2	5,6	1									50	0																								
19/01/2011	Mercia	T1+T2	3	26	MB	4	1		13		9,5			4									0	0																								
19/01/2011	Mercia	T1+T2	3	27	MB	3	2		11	9,2	12		6,2	0,9									0	0																								
19/01/2011	Mercia	T1+T2	3	28	MB	3	1		12	9,9	9,6	8,7	4,7										0	0																								
19/01/2011	Mercia	T1+T2	3	29	MB	4	1		11	10,1	8			5,7									1	0																								
