Date;TT
21/10/2011;0
22/10/2011;4,56
23/10/2011;10,86
24/10/2011;20,98
25/10/2011;33,78
26/10/2011;45,21
27/10/2011;55,81
28/10/2011;67,98
29/10/2011;82,39
30/10/2011;96,12
31/10/2011;107,77
01/11/2011;117,84
02/11/2011;127,82
03/11/2011;141,12
04/11/2011;156,33
05/11/2011;169,68
06/11/2011;183,55
07/11/2011;196,48
08/11/2011;206,2
09/11/2011;215,96
10/11/2011;227,65
11/11/2011;237,08
12/11/2011;245,49
13/11/2011;256,56
14/11/2011;264,66
15/11/2011;270,88
16/11/2011;275,47
17/11/2011;278,42
18/11/2011;288,3
19/11/2011;296,68
20/11/2011;303,62
21/11/2011;309,71
22/11/2011;319,3
23/11/2011;326,33
24/11/2011;334,98
25/11/2011;342,29
26/11/2011;348,03
27/11/2011;354,08
28/11/2011;363,02
29/11/2011;370,48
30/11/2011;377,97
01/12/2011;384,03
02/12/2011;394,81
03/12/2011;402,68
04/12/2011;411,94
05/12/2011;423,13
06/12/2011;429,22
07/12/2011;435,45
08/12/2011;443,85
09/12/2011;452
10/12/2011;460,2
11/12/2011;464,54
12/12/2011;469,3
13/12/2011;476,13
14/12/2011;485,15
15/12/2011;492,17
16/12/2011;498,76
17/12/2011;505,9
18/12/2011;508,94
19/12/2011;511,52
20/12/2011;513,4
21/12/2011;520,32
22/12/2011;529,02
23/12/2011;538,88
24/12/2011;546,92
25/12/2011;551,44
26/12/2011;557,57
27/12/2011;562,38
28/12/2011;563,39
29/12/2011;566,53
30/12/2011;570,75
31/12/2011;577,85
01/01/2012;589,25
02/01/2012;601,57
03/01/2012;608,65
04/01/2012;617,5
05/01/2012;624,73
06/01/2012;633,5
07/01/2012;638,19
08/01/2012;646,34
09/01/2012;653,24
10/01/2012;661,11
11/01/2012;669,28
12/01/2012;676,36
13/01/2012;678,47
14/01/2012;682,2
15/01/2012;683,47
16/01/2012;684,6
17/01/2012;685,63
18/01/2012;686,52
19/01/2012;690,26
20/01/2012;700
21/01/2012;707,08
22/01/2012;717
23/01/2012;725,38
24/01/2012;732,08
25/01/2012;738,76
26/01/2012;748,09
