Date;var;Image;ID_Plant;ID_Axis;Organ;ID_Metamer;XY;Pt1;Pt2;Pt3;Pt4;Pt5;Pt6;Pt7;Pt8;Pt9;Pt10;Pt11;Pt12;Pt13;Pt14;Pt15;Pt16;Pt17;Pt18
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;1;1;0;0;0;0,41;0,59;0,98;1,23;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;1;1;0;0;1;0;1,19;2,88;7,1;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;1;1;1;7;0;1,32;1,38;1,96;2,35;2,72;3,02;5,69;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;1;1;1;7;1;5,82;7,56;8,24;8,27;7,47;4,75;0,58;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;1;1;1;8;0;1,24;0,63;0,22;0,13;0;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;1;1;1;8;1;7,24;15,6;14,8;13,46;12,34;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;2;1;0;0;0;23,89;23,89;23,84;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;2;1;0;0;1;0,78;8,66;8,9;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;2;1;1;6;0;23,77;22,76;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;2;1;1;6;1;8,66;9,81;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;2;1;1;7;0;23,88;23,17;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;2;1;1;7;1;9,05;17,13;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;3;1;0;0;0;49,4;50,4;50,61;50,4;50,32;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;3;1;0;0;1;0,93;2,64;5,44;8,52;8,9;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;3;1;1;7;0;50,36;49,5;49,13;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;3;1;1;7;1;8,01;11,9;12,61;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;3;1;1;8;0;50,31;50,15;50,04;49,81;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P01-P02-P03;3;1;1;8;1;9,02;12,59;14,92;15,79;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;4;1;0;0;0;0,18;0,61;1,17;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;4;1;0;0;1;0,21;2,48;8,64;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;4;1;1;6;0;0,94;1,93;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;4;1;1;6;1;7,36;12,42;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;4;1;1;7;0;1,16;0,91;0;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;4;1;1;7;1;8,85;15,25;18,34;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;5;1;0;0;0;23,75;23,79;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;5;1;0;0;1;0,26;7,92;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;5;1;1;7;0;23,87;26,05;26,79;26,58;25,52;24,65;24,69;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;5;1;1;7;1;7,64;11,3;9,65;8,79;8,3;6,48;5,45;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;5;1;1;8;0;23,87;24;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;5;1;1;8;1;8,05;13,73;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;6;1;0;0;0;49,86;50,01;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;6;1;0;0;1;0;7,8;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;6;1;1;7;0;49,95;49,82;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;6;1;1;7;1;7,54;10,16;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;6;1;1;8;0;50;49,9;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P04-P05-P06;6;1;1;8;1;7,89;14,88;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;0;0;0;2,78;2,68;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;0;0;1;1,75;9,55;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;7;0;2,8;4,31;4,38;4,18;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;7;1;8,99;11,61;12,23;12,71;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;8;0;2,65;2,06;1,62;0,86;0;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;7;1;1;8;1;9,59;18,73;19,97;20,04;20,14;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;0;0;0;26,53;26,43;26,91;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;0;0;1;1,8;3,87;9,31;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;7;0;26,71;25,48;24,99;24,57;24,54;25,22;25,93;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;7;1;8,1;13,34;13,7;13,38;12,99;11,92;10,76;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;8;0;26,9;27,32;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;8;1;1;8;1;9,4;18,62;;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;0;0;0;52,12;51,91;51,73;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;0;0;1;1,65;4,44;6,55;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;1;7;0;51,77;53,24;53,75;53,71;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P07-P08-P09;9;1;1;7;1;6,65;15,12;17,75;19,61;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;0;0;0;1,94;2,14;1,66;;;;;;;;;;;;;;;
09/03/2012;Tremie;Boigneville-09032012-P10;10;1;0;0;1;0;3,95;9,14;;;;;;;;;;;;;;;
