Image	Date	Essai	Parcelle	plant	id_Axe	rank	A_bl	pcent_green	id_Feuille	stat	Nflig
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	1	16.84722437	96.6568696	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	0	19.45786431	97.11121611	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-1	19.29770334	99.44168631	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-2	11.8967504	98.17109544	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-3	14.7531963	98.14037389	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-4	12.82803886	72.35396183	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-5	11.1644938	72.17856111	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-6	6.40111623	85.49902991	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-7	6.21885853	99.85476048	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-8	5.22853793	99.83033593	NA	NA	NA
Placette1_P1(1)	06-mai-13	Essai	1	1	Talle	-9	2.17644726	98.84393064	NA	NA	NA
Placette1_P1	06-mai-13	Essai	1	1	MB	1	5.15757033	7.977608906	6	3	9
Placette1_P1	06-mai-13	Essai	1	1	MB	0	10.94175231	66.25982105	7	3	9
Placette1_P1	06-mai-13	Essai	1	1	MB	-1	21.34398957	93.83978297	8	1	9
Placette1_P1	06-mai-13	Essai	1	1	MB	-2	23.37124358	96.39549489	9	1	9
Placette1_P1	06-mai-13	Essai	1	1	MB	-3	20.36221734	98.48945709	10	3	9
Placette1_P10	06-mai-13	Essai	1	10	Talle	1	13.07610288	99.55348332	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	0	8.95030468	98.47004974	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-1	7.22724361	98.24142471	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-2	2.71063974	97.8162561	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-3	4.83079679	85.83018931	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-4	4.79434525	97.28511354	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-5	11.62287998	94.44228581	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-6	2.06999586	64.41483559	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-7	6.0935362	98.69772366	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-8	3.6725733	99.34563022	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-9	3.02596169	86.51990832	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	Talle	-10	12.53658783	96.9843169	NA	NA	NA
Placette1_P10	06-mai-13	Essai	1	10	MB	-11	7.04288914	70.88123483	7	2	9
Placette1_P10	06-mai-13	Essai	1	10	MB	-12	11.89449234	97.9009031	8	1	9
Placette1_P10	06-mai-13	Essai	1	10	MB	-13	15.13287296	97.90565314	9	1	9
Placette1_P10	06-mai-13	Essai	1	10	MB	-14	3.55434773	99.22403231	10	3	9
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	1	14.92367983	93.92285495	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	0	15.18255028	97.75103047	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-1	15.17819545	98.8650975	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-2	17.57238421	97.16748203	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-3	14.4725517	95.32597793	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-4	10.41739852	84.78974422	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-5	10.87288148	97.54791432	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-6	6.73934136	95.23741145	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-7	8.22659645	97.64140771	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-8	4.274185	33.06792453	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-9	3.78015373	88.1000128	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-10	3.67644426	99.29806089	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-11	3.74337961	97.65608169	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-12	3.26321928	99.28825623	NA	NA	NA
Placette1_P11(2)	06-mai-13	Essai	1	11	Talle	-13	2.77805896	97.83441709	NA	NA	NA
Placette1_P11	06-mai-13	Essai	1	11	MB	1	5.89111725	26.34360027	7	3	10
Placette1_P11	06-mai-13	Essai	1	11	MB	0	12.0854597	80.54717737	8	1	10
Placette1_P11	06-mai-13	Essai	1	11	MB	-1	18.6499627	98.60849261	9	1	10
Placette1_P11	06-mai-13	Essai	1	11	MB	-2	20.05512118	98.50090878	10	1	10
Placette1_P11	06-mai-13	Essai	1	11	MB	-3	3.91531475	99.29145211	11	3	10
Placette1_P12	06-mai-13	Essai	1	12	MB	1	10.74626883	58.3457157	7	2	9
Placette1_P12	06-mai-13	Essai	1	12	MB	0	16.99077247	93.93030386	8	1	9
Placette1_P12	06-mai-13	Essai	1	12	MB	-1	19.88689571	97.37467457	9	1	9
Placette1_P12	06-mai-13	Essai	1	12	MB	-2	10.19239897	98.55996708	10	3	9
Placette1_P12	06-mai-13	Essai	1	12	Talle	-3	14.75868016	99.24265606	NA	NA	NA
Placette1_P12	06-mai-13	Essai	1	12	Talle	-4	6.01047185	49.87253455	NA	NA	NA
Placette1_P12	06-mai-13	Essai	1	12	Talle	-5	16.33319314	97.76627891	NA	NA	NA
Placette1_P12	06-mai-13	Essai	1	12	Talle	-6	11.04659081	92.55062857	NA	NA	NA
Placette1_P12	06-mai-13	Essai	1	12	Talle	-7	14.06981057	96.28924833	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	1	11.9370729	95.97486826	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	0	15.58819463	98.79251296	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-1	10.95272003	99.55674673	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-2	6.52659985	52.97664648	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-3	11.32771928	99.79638911	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-4	13.49706978	98.74405487	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-5	5.59095656	19.77267482	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-6	5.8886979	37.58696248	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	Talle	-7	4.40031378	90.61285829	NA	NA	NA
Placette1_P13	06-mai-13	Essai	1	13	MB	-8	6.43643874	18.86934296	7	3	9
Placette1_P13	06-mai-13	Essai	1	13	MB	-9	13.96464949	85.84331435	8	1	9
Placette1_P13	06-mai-13	Essai	1	13	MB	-10	15.677388	97.77263374	9	1	9
Placette1_P13	06-mai-13	Essai	1	13	MB	-11	14.8193252	98.40008707	10	3	9
Placette1_P14(2)	06-mai-13	Essai	1	14	MB	1	13.89626253	77.95652123	8	2	9
Placette1_P14(2)	06-mai-13	Essai	1	14	MB	0	18.58447896	98.66347289	9	1	9
Placette1_P14(2)	06-mai-13	Essai	1	14	MB	-1	13.3144895	97.56511205	10	3	9
Placette1_P14(2)	06-mai-13	Essai	1	14	Talle	-2	11.40820299	92.8942048	NA	NA	NA
Placette1_P14(2)	06-mai-13	Essai	1	14	Talle	-3	16.27335455	99.42712721	NA	NA	NA
Placette1_P14(2)	06-mai-13	Essai	1	14	Talle	-4	16.92803066	98.11060083	NA	NA	NA
Placette1_P14(2)	06-mai-13	Essai	1	14	Talle	-5	14.18626195	98.44238531	NA	NA	NA
Placette1_P14(2)	06-mai-13	Essai	1	14	Talle	-6	14.64222878	96.67665396	NA	NA	NA
Placette1_P14(2)	06-mai-13	Essai	1	14	Talle	-7	9.50078745	49.6307614	NA	NA	NA
Placette1_P14	06-mai-13	Essai	1	14	Talle	1	5.20289282	93.64498729	NA	NA	NA
Placette1_P14	06-mai-13	Essai	1	14	Talle	0	7.64385568	99.51468602	NA	NA	NA
Placette1_P14	06-mai-13	Essai	1	14	Talle	-1	5.58450496	76.36899261	NA	NA	NA
Placette1_P14	06-mai-13	Essai	1	14	Talle	-2	13.6983597	97.40021194	NA	NA	NA
Placette1_P14	06-mai-13	Essai	1	14	Talle	-3	6.99482472	18.03172846	NA	NA	NA
Placette1_P14	06-mai-13	Essai	1	14	Talle	-4	13.27787667	98.7609781	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	1	7.91820997	99.6435337	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	0	4.54773284	60.22485459	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-1	5.75563365	12.06389239	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-2	5.17353804	99.66953485	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-3	3.83079879	26.94623384	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-4	15.39948533	86.57058768	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-5	21.21721563	98.1717561	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-6	12.46981377	97.52434907	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-7	10.41320498	61.84133081	NA	NA	NA
Placette1_P15(2)	06-mai-13	Essai	1	15	Talle	-8	7.14401797	97.68586458	NA	NA	NA
Placette1_P15	06-mai-13	Essai	1	15	MB	1	10.31675356	32.75748859	7	2	9
Placette1_P15	06-mai-13	Essai	1	15	MB	0	18.39222128	98.32590852	8	1	9
Placette1_P15	06-mai-13	Essai	1	15	MB	-1	18.999962	94.8820034	9	1	9
Placette1_P15	06-mai-13	Essai	1	15	MB	-2	7.72595229	98.25264608	10	3	9
Placette1_P2	06-mai-13	Essai	1	2	MB	1	4.08160474	8.689638821	6	3	9
Placette1_P2	06-mai-13	Essai	1	2	MB	0	10.14949583	79.8321865	7	2	9
Placette1_P2	06-mai-13	Essai	1	2	MB	-1	20.02447608	75.2794961	8	1	9
Placette1_P2	06-mai-13	Essai	1	2	MB	-2	23.25495349	99.14690563	9	1	9
Placette1_P2	06-mai-13	Essai	1	2	MB	-3	8.77820825	99.87322003	10	3	9
Placette1_P2	06-mai-13	Essai	1	2	Talle	-4	14.36432611	99.40376604	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-5	16.78754707	99.43602702	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-6	11.62368643	99.51989121	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-7	12.47674924	99.62252443	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-8	7.47885601	67.47180228	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-9	11.67546052	69.57506769	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-10	4.04257256	8.825406958	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-11	1.61789999	98.36506829	NA	NA	NA
Placette1_P2	06-mai-13	Essai	1	2	Talle	-12	8.42078961	94.91850064	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	1	12.77836154	95.2061192	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	0	17.51238433	99.33595513	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-1	21.28124776	99.79991512	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-2	1.56967428	40.55692561	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-3	2.0290282	77.13036566	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-4	2.60176899	65.37722398	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-5	3.86225034	10.87864361	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-6	6.12982645	92.22470728	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-7	5.37756989	8.994931166	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-8	11.9435245	88.81566509	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-9	2.1677376	98.18452381	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-10	10.04223798	99.65789727	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-11	4.31063654	83.06892165	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-12	4.01563713	66.65863357	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-13	5.51579542	98.63149892	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-14	6.80208317	97.72129087	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-15	7.46885603	99.52059084	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-16	3.99386298	77.23931831	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-17	7.59417836	92.54311443	NA	NA	NA
Placette1_P3(2)	06-mai-13	Essai	1	3	Talle	-18	8.23562869	98.42737118	NA	NA	NA
Placette1_P3	06-mai-13	Essai	1	3	MB	1	2.435479	14.53642384	6	3	9
Placette1_P3	06-mai-13	Essai	1	3	MB	0	9.46385204	46.54032313	7	2	9
Placette1_P3	06-mai-13	Essai	1	3	MB	-1	18.73673672	93.6299153	8	1	9
Placette1_P3	06-mai-13	Essai	1	3	MB	-2	23.70850097	98.02235481	9	1	9
Placette1_P3	06-mai-13	Essai	1	3	MB	-3	12.67207143	99.28341416	10	3	9
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	1	4.08112087	99.13844208	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	0	17.37786847	95.92270496	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-1	4.83595807	41.39012107	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-2	2.79015571	53.83548182	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-3	14.65351908	87.82305288	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-4	8.51691845	54.27326958	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-5	10.3951405	99.66485648	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-6	2.01596371	69.437555	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	Talle	-7	4.83273227	99.82645262	NA	NA	NA
Placette1_P4(2)	06-mai-13	Essai	1	4	MB	-8	6.26756811	14.42394297	7	2	10
Placette1_P4(2)	06-mai-13	Essai	1	4	MB	-9	14.14626203	51.19431744	8	2	10
Placette1_P4(2)	06-mai-13	Essai	1	4	MB	-10	23.32011465	91.37531556	9	1	10
Placette1_P4(2)	06-mai-13	Essai	1	4	MB	-11	24.20382256	98.83183175	10	1	10
Placette1_P4(2)	06-mai-13	Essai	1	4	MB	-12	3.72305707	99.96534246	11	3	10
Placette1_P4	06-mai-13	Essai	1	4	Talle	1	20.41157208	98.76256401	NA	NA	NA
Placette1_P5(2)	06-mai-13	Essai	1	5	Talle	1	8.1467579	25.03860622	NA	NA	NA
