TT,daydate
0.0,2010-10-05
14.5791666667,2010-10-06
30.4041666667,2010-10-07
46.6916666667,2010-10-08
63.1375,2010-10-09
80.4333333333,2010-10-10
93.55,2010-10-11
105.545833333,2010-10-12
116.254166667,2010-10-13
124.616666667,2010-10-14
132.679166667,2010-10-15
141.841666667,2010-10-16
151.2375,2010-10-17
156.975,2010-10-18
165.441666667,2010-10-19
175.083333333,2010-10-20
181.25,2010-10-21
185.045833333,2010-10-22
189.120833333,2010-10-23
195.825,2010-10-24
201.829166667,2010-10-25
207.179166667,2010-10-26
213.270833333,2010-10-27
222.016666667,2010-10-28
231.320833333,2010-10-29
243.341666667,2010-10-30
254.191666667,2010-10-31
265.745833333,2010-11-01
275.9875,2010-11-02
285.729166667,2010-11-03
299.3375,2010-11-04
313.529166667,2010-11-05
326.6125,2010-11-06
337.191666667,2010-11-07
343.9625,2010-11-08
349.504166667,2010-11-09
357.708333333,2010-11-10
363.475,2010-11-11
371.416666667,2010-11-12
384.316666667,2010-11-13
399.095833333,2010-11-14
410.745833333,2010-11-15
418.445833333,2010-11-16
423.570833333,2010-11-17
428.075,2010-11-18
434.595833333,2010-11-19
440.3,2010-11-20
446.904166667,2010-11-21
452.729166667,2010-11-22
456.6375,2010-11-23
459.420833333,2010-11-24
463.358333333,2010-11-25
464.775,2010-11-26
465.054166667,2010-11-27
465.2875,2010-11-28
465.479166667,2010-11-29
465.479166667,2010-11-30
465.479166667,2010-12-01
465.479166667,2010-12-02
465.479166667,2010-12-03
465.479166667,2010-12-04
466.1375,2010-12-05
467.345833333,2010-12-06
468.329166667,2010-12-07
468.970833333,2010-12-08
469.220833333,2010-12-09
469.595833333,2010-12-10
470.75,2010-12-11
474.770833333,2010-12-12
478.65,2010-12-13
478.708333333,2010-12-14
478.75,2010-12-15
479.491666667,2010-12-16
481.1125,2010-12-17
481.270833333,2010-12-18
481.4625,2010-12-19
484.229166667,2010-12-20
485.266666667,2010-12-21
489.25,2010-12-22
490.858333333,2010-12-23
491.104166667,2010-12-24
491.104166667,2010-12-25
491.104166667,2010-12-26
491.104166667,2010-12-27
491.104166667,2010-12-28
492.133333333,2010-12-29
495.1375,2010-12-30
497.8,2010-12-31
498.316666667,2011-01-01
498.65,2011-01-02
500.1875,2011-01-03
500.525,2011-01-04
500.525,2011-01-05
502.604166667,2011-01-06
513.054166667,2011-01-07
524.004166667,2011-01-08
534.683333333,2011-01-09
539.2875,2011-01-10
541.566666667,2011-01-11
548.0375,2011-01-12
556.258333333,2011-01-13
568.029166667,2011-01-14
578.070833333,2011-01-15
586.1875,2011-01-16
592.595833333,2011-01-17
599.0125,2011-01-18
605.7625,2011-01-19
607.870833333,2011-01-20
610.354166667,2011-01-21
610.395833333,2011-01-22
612.6875,2011-01-23
615.995833333,2011-01-24
620.625,2011-01-25
624.954166667,2011-01-26
628.154166667,2011-01-27
630.6375,2011-01-28
631.004166667,2011-01-29
631.1125,2011-01-30
631.125,2011-01-31
631.125,2011-02-01
631.125,2011-02-02
631.816666667,2011-02-03
636.9125,2011-02-04
644.425,2011-02-05
653.475,2011-02-06
659.383333333,2011-02-07
664.55,2011-02-08
671.883333333,2011-02-09
677.216666667,2011-02-10
685.525,2011-02-11
696.154166667,2011-02-12
702.629166667,2011-02-13
709.0375,2011-02-14
715.191666667,2011-02-15
720.133333333,2011-02-16
725.391666667,2011-02-17
728.954166667,2011-02-18
731.004166667,2011-02-19
735.65,2011-02-20
741.633333333,2011-02-21
746.8,2011-02-22
750.383333333,2011-02-23
753.3875,2011-02-24
762.591666667,2011-02-25
771.441666667,2011-02-26
779.5625,2011-02-27
784.533333333,2011-02-28
787.7125,2011-03-01
792.2875,2011-03-02
797.341666667,2011-03-03
801.145833333,2011-03-04
805.170833333,2011-03-05
809.054166667,2011-03-06
812.354166667,2011-03-07
816.058333333,2011-03-08
823.783333333,2011-03-09
832.054166667,2011-03-10
839.204166667,2011-03-11
848.058333333,2011-03-12
856.55,2011-03-13
865.658333333,2011-03-14
875.666666667,2011-03-15
888.933333333,2011-03-16
901.391666667,2011-03-17
908.991666667,2011-03-18
917.925,2011-03-19
924.8375,2011-03-20
931.15,2011-03-21
938.770833333,2011-03-22
947.941666667,2011-03-23
959.454166667,2011-03-24
971.491666667,2011-03-25
983.808333333,2011-03-26
997.070833333,2011-03-27
1008.9125,2011-03-28
1020.37916667,2011-03-29
1030.70833333,2011-03-30
1041.32916667,2011-03-31
1054.35416667,2011-04-01
1066.7875,2011-04-02
1082.65416667,2011-04-03
1093.2125,2011-04-04
1102.32916667,2011-04-05
1113.1375,2011-04-06
1128.67083333,2011-04-07
1145.6125,2011-04-08
1160.1375,2011-04-09
1175.025,2011-04-10
1191.10833333,2011-04-11
1205.72083333,2011-04-12
1214.5875,2011-04-13
1222.75416667,2011-04-14
1232.8625,2011-04-15
1242.86666667,2011-04-16
1252.98333333,2011-04-17
1263.89166667,2011-04-18
1277.7625,2011-04-19
1293.625,2011-04-20
1309.96666667,2011-04-21
1325.71666667,2011-04-22
1342.7375,2011-04-23
1361.05833333,2011-04-24
1377.74583333,2011-04-25
1394.84583333,2011-04-26
1410.37916667,2011-04-27
1423.94583333,2011-04-28
1433.8125,2011-04-29
1445.26666667,2011-04-30
1459.075,2011-05-01
1475.44166667,2011-05-02
1490.45416667,2011-05-03
1501.34583333,2011-05-04
1512.42083333,2011-05-05
1525.9125,2011-05-06
1542.8125,2011-05-07
