TT,daydate,HS,tag_T1,tag_T2
0.0,2010-10-05,-1.84048756775,T1-196,T2-218
14.5791666667,2010-10-06,-1.70652170009,T1-195,T2-217
30.4041666667,2010-10-07,-1.56110804894,T1-194,T2-216
46.6916666667,2010-10-08,-1.41144455174,T1-193,T2-215
63.1375,2010-10-09,-1.26032615229,T1-192,T2-214
80.4333333333,2010-10-10,-1.10139722498,T1-191,T2-213
93.55,2010-10-11,-0.980870059677,T1-190,T2-212
105.545833333,2010-10-12,-0.870642070826,T1-189,T2-211
116.254166667,2010-10-13,-0.772244734468,T1-188,T2-210
124.616666667,2010-10-14,-0.695402923551,T1-187,T2-209
132.679166667,2010-10-15,-0.621317769528,T1-186,T2-208
141.841666667,2010-10-16,-0.53712487356,T1-185,T2-207
151.2375,2010-10-17,-0.450787911123,T1-184,T2-206
156.975,2010-10-18,-0.398066848027,T1-183,T2-205
165.441666667,2010-10-19,-0.320267864574,T1-182,T2-204
175.083333333,2010-10-20,-0.231671974963,T1-181,T2-203
181.25,2010-10-21,-0.17500736103,T1-180,T2-202
185.045833333,2010-10-22,-0.140127993945,T1-179,T2-201
189.120833333,2010-10-23,-0.10268340447,T1-178,T2-200
195.825,2010-10-24,-0.0410797802688,T1-177,T2-199
201.829166667,2010-10-25,0.0140916445133,T1-176,T2-198
207.179166667,2010-10-26,0.0632520257876,T1-175,T2-197
213.270833333,2010-10-27,0.119227475488,T1-174,T2-196
222.016666667,2010-10-28,0.199591681331,T1-173,T2-195
231.320833333,2010-10-29,0.285086331937,T1-172,T2-194
243.341666667,2010-10-30,0.395544042205,T1-171,T2-193
254.191666667,2010-10-31,0.495243133201,T1-170,T2-192
265.745833333,2010-11-01,0.60141271051,T1-169,T2-191
275.9875,2010-11-02,0.695521913919,T1-168,T2-190
285.729166667,2010-11-03,0.785036689171,T1-167,T2-189
299.3375,2010-11-04,0.910081708826,T1-166,T2-188
313.529166667,2010-11-05,1.04048689467,T1-165,T2-187
326.6125,2010-11-06,1.16070776476,T1-164,T2-186
337.191666667,2010-11-07,1.25791820718,T1-163,T2-185
343.9625,2010-11-08,1.32013442179,T1-162,T2-184
349.504166667,2010-11-09,1.37105600053,T1-161,T2-183
357.708333333,2010-11-10,1.44644290919,T1-160,T2-182
363.475,2010-11-11,1.4994319806,T1-159,T2-181
371.416666667,2010-11-12,1.57240681449,T1-158,T2-180
384.316666667,2010-11-13,1.69094306092,T1-157,T2-179
399.095833333,2010-11-14,1.82674669984,T1-156,T2-178
410.745833333,2010-11-15,1.93379687589,T1-155,T2-177
418.445833333,2010-11-16,2.0045510695,T1-154,T2-176
423.570833333,2010-11-17,2.0516439581,T1-153,T2-175
428.075,2010-11-18,2.09303209842,T1-152,T2-174
434.595833333,2010-11-19,2.15295109895,T1-151,T2-173
440.3,2010-11-20,2.20536586684,T1-150,T2-172
446.904166667,2010-11-21,2.26605060541,T1-149,T2-171
452.729166667,2010-11-22,2.31957569343,T1-148,T2-170
456.6375,2010-11-23,2.35548880685,T1-147,T2-169
459.420833333,2010-11-24,2.38106445692,T1-146,T2-168
463.358333333,2010-11-25,2.41724557866,T1-145,T2-167
464.775,2010-11-26,2.4302631251,T1-144,T2-166
465.054166667,2010-11-27,2.43282834749,T1-143,T2-165
465.2875,2010-11-28,2.43497241396,T1-142,T2-164
465.479166667,2010-11-29,2.43673361142,T1-141,T2-163
465.479166667,2010-11-30,2.43673361142,T1-140,T2-162
465.479166667,2010-12-01,2.43673361142,T1-139,T2-161
465.479166667,2010-12-02,2.43673361142,T1-138,T2-160
465.479166667,2010-12-03,2.43673361142,T1-137,T2-159
465.479166667,2010-12-04,2.43673361142,T1-136,T2-158
466.1375,2010-12-05,2.44278294183,T1-135,T2-157
467.345833333,2010-12-06,2.4538861432,T1-134,T2-156
468.329166667,2010-12-07,2.46292185192,T1-133,T2-155
468.970833333,2010-12-08,2.46881803471,T1-132,T2-154
469.220833333,2010-12-09,2.47111524879,T1-131,T2-153
469.595833333,2010-12-10,2.47456106991,T1-130,T2-152
470.75,2010-12-11,2.48516654157,T1-129,T2-151
474.770833333,2010-12-12,2.52211340133,T1-128,T2-150
478.65,2010-12-13,2.55775850644,T1-127,T2-149
478.708333333,2010-12-14,2.55829452306,T1-126,T2-148
478.75,2010-12-15,2.55867739208,T1-125,T2-147
479.491666667,2010-12-16,2.56549246051,T1-124,T2-146
481.1125,2010-12-17,2.58038606511,T1-123,T2-145
481.270833333,2010-12-18,2.58184096736,T1-122,T2-144
