DATE;TT;HS_mercia;HS_rht3
2010-10-15;0;-0,94;-1,26
2010-10-16;9,16;-0,85;-1,18
2010-10-17;18,56;-0,76;-1,09
2010-10-18;24,3;-0,71;-1,04
2010-10-19;32,76;-0,63;-0,96
2010-10-20;42,4;-0,54;-0,87
2010-10-21;48,57;-0,49;-0,81
2010-10-22;52,37;-0,45;-0,78
2010-10-23;56,44;-0,41;-0,74
2010-10-24;63,15;-0,35;-0,68
2010-10-25;69,15;-0,3;-0,62
2010-10-26;74,5;-0,25;-0,57
2010-10-27;80,59;-0,19;-0,52
2010-10-28;89,34;-0,11;-0,43
2010-10-29;98,64;-0,02;-0,35
2010-10-30;110,66;0,09;-0,24
2010-10-31;121,51;0,19;-0,14
2010-11-01;133,07;0,3;-0,03
2010-11-02;143,31;0,39;0,06
2010-11-03;153,05;0,48;0,16
2010-11-04;166,66;0,61;0,28
2010-11-05;180,85;0,74;0,41
2010-11-06;193,93;0,86;0,53
2010-11-07;204,51;0,96;0,63
2010-11-08;211,28;1,02;0,69
2010-11-09;216,83;1,07;0,75
2010-11-10;225,03;1,15;0,82
2010-11-11;230,8;1,2;0,88
2010-11-12;238,74;1,27;0,95
2010-11-13;251,64;1,39;1,07
2010-11-14;266,42;1,53;1,21
2010-11-15;278,07;1,64;1,31
2010-11-16;285,77;1,71;1,38
2010-11-17;290,89;1,76;1,43
2010-11-18;295,4;1,8;1,47
2010-11-19;301,92;1,86;1,53
2010-11-20;307,62;1,91;1,59
2010-11-21;314,23;1,97;1,65
2010-11-22;320,05;2,03;1,7
2010-11-23;323,96;2,06;1,74
2010-11-24;326,74;2,09;1,76
2010-11-25;330,68;2,13;1,8
2010-11-26;332,1;2,14;1,81
2010-11-27;332,38;2,14;1,82
2010-11-28;332,61;2,14;1,82
2010-11-29;332,8;2,15;1,82
2010-11-30;332,8;2,15;1,82
2010-12-01;332,8;2,15;1,82
2010-12-02;332,8;2,15;1,82
2010-12-03;332,8;2,15;1,82
2010-12-04;332,8;2,15;1,82
2010-12-05;333,46;2,15;1,83
2010-12-06;334,67;2,16;1,84
2010-12-07;335,65;2,17;1,85
2010-12-08;336,29;2,18;1,85
2010-12-09;336,54;2,18;1,85
2010-12-10;336,92;2,18;1,86
2010-12-11;338,07;2,19;1,87
2010-12-12;342,09;2,23;1,91
2010-12-13;345,97;2,27;1,94
2010-12-14;346,03;2,27;1,94
2010-12-15;346,07;2,27;1,94
2010-12-16;346,81;2,27;1,95
2010-12-17;348,43;2,29;1,96
2010-12-18;348,59;2,29;1,97
2010-12-19;348,78;2,29;1,97
2010-12-20;351,55;2,32;1,99
2010-12-21;352,59;2,33;2
2010-12-22;356,57;2,37;2,04
2010-12-23;358,18;2,38;2,05
2010-12-24;358,43;2,38;2,06
2010-12-25;358,43;2,38;2,06
2010-12-26;358,43;2,38;2,06
2010-12-27;358,43;2,38;2,06
2010-12-28;358,43;2,38;2,06
2010-12-29;359,45;2,39;2,07
2010-12-30;362,46;2,42;2,09
2010-12-31;365,12;2,44;2,12
2011-01-01;365,64;2,45;2,12
2011-01-02;365,97;2,45;2,13
2011-01-03;367,51;2,47;2,14
2011-01-04;367,85;2,47;2,14
2011-01-05;367,85;2,47;2,14
2011-01-06;369,93;2,49;2,16
2011-01-07;380,38;2,59;2,26
2011-01-08;391,33;2,69;2,36
2011-01-09;402;2,79;2,46
2011-01-10;406,61;2,83;2,5
2011-01-11;408,89;2,85;2,52
2011-01-12;415,36;2,91;2,58
2011-01-13;423,58;2,99;2,66
2011-01-14;435,35;3,09;2,77
2011-01-15;445,39;3,19;2,86
2011-01-16;453,51;3,26;2,94
2011-01-17;459,92;3,32;3
2011-01-18;466,33;3,38;3,06
2011-01-19;473,08;3,44;3,12
2011-01-20;475,19;3,46;3,14
2011-01-21;477,68;3,49;3,16
2011-01-22;477,72;3,49;3,16
2011-01-23;480,01;3,51;3,18
2011-01-24;483,32;3,54;3,21
2011-01-25;487,95;3,58;3,26
2011-01-26;492,28;3,62;3,3
