index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
0,MS,2.84445298992,1,13.0,1,10,-0.00684864491674,-0.0262812408788,Tremie12,1,1,8
1,MS,2.84445298992,1,13.0,1,10,0.34180654709,0.224478474162,Tremie12,1,1,8
2,MS,2.84445298992,1,13.0,1,10,0.690461739097,0.475238189203,Tremie12,1,1,8
3,MS,2.84445298992,1,13.0,1,10,1.0391169311,0.725997904243,Tremie12,1,1,8
4,MS,2.84445298992,1,13.0,1,10,1.40143665445,0.953145466659,Tremie12,1,1,8
5,MS,2.84445298992,1,13.0,1,10,1.79256845997,1.13050608323,Tremie12,1,1,8
6,MS,2.84445298992,1,13.0,1,10,2.18370026549,1.30786669981,Tremie12,1,1,8
7,MS,2.84445298992,1,13.0,1,10,2.57483207101,1.48522731638,Tremie12,1,1,8
8,MS,2.84445298992,1,13.0,1,10,2.96837009107,1.65617433378,Tremie12,1,1,8
9,MS,2.84445298992,1,13.0,1,10,3.37964144157,1.77985438012,Tremie12,1,1,8
10,MS,2.84445298992,1,13.0,1,10,3.79609532698,1.88074049303,Tremie12,1,1,8
11,MS,2.84445298992,1,13.0,1,10,4.22041215044,1.94704366739,Tremie12,1,1,8
12,MS,2.84445298992,1,13.0,1,10,4.6447289739,2.01334684175,Tremie12,1,1,8
13,MS,2.84445298992,1,13.0,1,10,5.06904579736,2.07965001611,Tremie12,1,1,8
14,MS,2.84445298992,1,13.0,1,10,5.49336262082,2.14595319047,Tremie12,1,1,8
15,MS,2.84445298992,1,13.0,1,10,5.91780830832,2.21084567886,Tremie12,1,1,8
16,MS,2.84445298992,1,13.0,1,10,6.34711541653,2.22251977156,Tremie12,1,1,8
17,MS,2.84445298992,1,13.0,1,10,6.77642252474,2.23419386426,Tremie12,1,1,8
18,MS,2.84445298992,1,13.0,1,10,7.20564434014,2.22178772712,Tremie12,1,1,8
19,MS,2.84445298992,1,13.0,1,10,7.63485797749,2.20707273093,Tremie12,1,1,8
0,MS,6.34673174874,6,7.0,11,5122,-0.0634616336284,0.0550476840188,Tremie12,1,1,3
1,MS,6.34673174874,6,7.0,11,5122,0.362279682866,0.542634850267,Tremie12,1,1,3
2,MS,6.34673174874,6,7.0,11,5122,0.78802099936,1.03022201652,Tremie12,1,1,3
3,MS,6.34673174874,6,7.0,11,5122,1.21376231585,1.51780918276,Tremie12,1,1,3
4,MS,6.34673174874,6,7.0,11,5122,1.66237404131,1.98407412901,Tremie12,1,1,3
5,MS,6.34673174874,6,7.0,11,5122,2.11897264375,2.44289286175,Tremie12,1,1,3
6,MS,6.34673174874,6,7.0,11,5122,2.57557124619,2.90171159449,Tremie12,1,1,3
7,MS,6.34673174874,6,7.0,11,5122,3.03216984862,3.36053032723,Tremie12,1,1,3
8,MS,6.34673174874,6,7.0,11,5122,3.50619128834,3.80103028243,Tremie12,1,1,3
9,MS,6.34673174874,6,7.0,11,5122,3.98731064717,4.23406731989,Tremie12,1,1,3
10,MS,6.34673174874,6,7.0,11,5122,4.47122367482,4.6639024843,Tremie12,1,1,3
11,MS,6.34673174874,6,7.0,11,5122,4.96547591258,5.08188769783,Tremie12,1,1,3
12,MS,6.34673174874,6,7.0,11,5122,5.47184346327,5.4850411912,Tremie12,1,1,3
13,MS,6.34673174874,6,7.0,11,5122,5.98006344344,5.88592691683,Tremie12,1,1,3
14,MS,6.34673174874,6,7.0,11,5122,6.48828342362,6.28681264246,Tremie12,1,1,3
15,MS,6.34673174874,6,7.0,11,5122,7.00890524699,6.67131206078,Tremie12,1,1,3
16,MS,6.34673174874,6,7.0,11,5122,7.53275816362,7.05154230025,Tremie12,1,1,3
17,MS,6.34673174874,6,7.0,11,5122,8.06284999412,7.4228594922,Tremie12,1,1,3
18,MS,6.34673174874,6,7.0,11,5122,8.59943062876,7.78490663801,Tremie12,1,1,3
19,MS,6.34673174874,6,7.0,11,5122,9.13601126341,8.14695378382,Tremie12,1,1,3
0,MS,2.84445298992,2,12.0,1,22,-0.00684864491674,-0.0262812408788,Tremie12,1,1,7
1,MS,2.84445298992,2,12.0,1,22,0.34180654709,0.224478474162,Tremie12,1,1,7
2,MS,2.84445298992,2,12.0,1,22,0.690461739097,0.475238189203,Tremie12,1,1,7
3,MS,2.84445298992,2,12.0,1,22,1.0391169311,0.725997904243,Tremie12,1,1,7
4,MS,2.84445298992,2,12.0,1,22,1.40143665445,0.953145466659,Tremie12,1,1,7
5,MS,2.84445298992,2,12.0,1,22,1.79256845997,1.13050608323,Tremie12,1,1,7
6,MS,2.84445298992,2,12.0,1,22,2.18370026549,1.30786669981,Tremie12,1,1,7
7,MS,2.84445298992,2,12.0,1,22,2.57483207101,1.48522731638,Tremie12,1,1,7
8,MS,2.84445298992,2,12.0,1,22,2.96837009107,1.65617433378,Tremie12,1,1,7
9,MS,2.84445298992,2,12.0,1,22,3.37964144157,1.77985438012,Tremie12,1,1,7
10,MS,2.84445298992,2,12.0,1,22,3.79609532698,1.88074049303,Tremie12,1,1,7
11,MS,2.84445298992,2,12.0,1,22,4.22041215044,1.94704366739,Tremie12,1,1,7
12,MS,2.84445298992,2,12.0,1,22,4.6447289739,2.01334684175,Tremie12,1,1,7
13,MS,2.84445298992,2,12.0,1,22,5.06904579736,2.07965001611,Tremie12,1,1,7
14,MS,2.84445298992,2,12.0,1,22,5.49336262082,2.14595319047,Tremie12,1,1,7
15,MS,2.84445298992,2,12.0,1,22,5.91780830832,2.21084567886,Tremie12,1,1,7
16,MS,2.84445298992,2,12.0,1,22,6.34711541653,2.22251977156,Tremie12,1,1,7
17,MS,2.84445298992,2,12.0,1,22,6.77642252474,2.23419386426,Tremie12,1,1,7
18,MS,2.84445298992,2,12.0,1,22,7.20564434014,2.22178772712,Tremie12,1,1,7
19,MS,2.84445298992,2,12.0,1,22,7.63485797749,2.20707273093,Tremie12,1,1,7
0,MS,6.47744188228,9,5.0,13,6176,-0.0369889695481,0.00441216089289,Tremie12,1,1,1
1,MS,6.47744188228,9,5.0,13,6176,-0.0354483296834,0.0210158467026,Tremie12,1,1,1
2,MS,6.47744188228,9,5.0,13,6176,-0.0339076898187,0.0376195325124,Tremie12,1,1,1
3,MS,6.47744188228,9,5.0,13,6176,-0.032367049954,0.0542232183221,Tremie12,1,1,1
4,MS,6.47744188228,9,5.0,13,6176,-0.0308264100892,0.0708269041319,Tremie12,1,1,1
5,MS,6.47744188228,9,5.0,13,6176,-0.0292857702245,0.0874305899416,Tremie12,1,1,1
6,MS,6.47744188228,9,5.0,13,6176,-0.0277451303598,0.104034275751,Tremie12,1,1,1
7,MS,6.47744188228,9,5.0,13,6176,-0.0262044904951,0.120637961561,Tremie12,1,1,1
