nff;rank;ranktop;HS;TTem;TTlig
11;1;11;109.5347481;-31.32319272;142.0404267
11;2;10;217.8870102;77.02906942;250.3926889
11;3;9;326.2392724;185.3813316;358.744951
11;4;8;434.5915345;293.7335937;467.0972131
11;5;7;542.9437966;402.0858559;575.4494753
11;6;6;651.2960588;510.438118;683.8017374
11;7;5;759.6483209;618.7903801;792.1539996
11;8;4;868.0005831;727.1426423;900.5062617
11;9;3;976.3528452;835.4949044;1008.858524
11;10;2;1084.705107;943.8471666;1117.210786
11;11;1;1193.057369;1052.199429;1225.563048
12;1;12;136.6567762;7.536997192;166.4536483
12;2;11;235.9796832;106.8599042;265.7765553
12;3;10;335.3025902;206.1828111;365.0994623
12;4;9;434.6254971;305.5057181;464.4223692
12;5;8;533.9484041;404.8286251;563.7452762
12;6;7;633.2713111;504.151532;663.0681832
12;7;6;732.594218;603.474439;762.3910901
12;8;5;831.917125;702.7973459;861.7139971
12;9;4;931.240032;802.1202529;961.0369041
12;10;3;1030.562939;901.4431599;1060.359811
12;11;2;1129.885846;1000.766067;1159.682718
12;12;1;1229.208753;1100.088974;1259.005625
