"nff" "rank" "ranktop" "HS" "TTem" "TTlig"
11 1 11 109.534748064876 -31.3231927214936 142.040426707884
11 2 10 217.887010208237 77.0290694218676 250.392688851246
11 3 9 326.239272351598 185.381331565229 358.744950994607
11 4 8 434.59153449496 293.73359370859 467.097213137968
11 5 7 542.943796638321 402.085855851951 575.449475281329
11 6 6 651.296058781682 510.438117995313 683.80173742469
11 7 5 759.648320925043 618.790380138674 792.153999568052
11 8 4 868.000583068405 727.142642282035 900.506261711413
11 9 3 976.352845211766 835.494904425396 1008.85852385477
11 10 2 1084.70510735513 943.847166568757 1117.21078599814
11 11 1 1193.05736949849 1052.19942871212 1225.5630481415
12 1 12 136.65677624618 7.53699719200781 166.453648335604
12 2 11 235.979683210928 106.859904156756 265.776555300352
12 3 10 335.302590175676 206.182811121503 365.0994622651
12 4 9 434.625497140423 305.505718086251 464.422369229848
12 5 8 533.948404105171 404.828625050999 563.745276194595
12 6 7 633.271311069919 504.151532015747 663.068183159343
12 7 6 732.594218034667 603.474438980495 762.391090124091
12 8 5 831.917124999414 702.797345945242 861.713997088839
12 9 4 931.240031964162 802.12025290999 961.036904053587
12 10 3 1030.56293892891 901.443159874738 1060.35981101833
12 11 2 1129.88584589366 1000.76606683949 1159.68271798308
12 12 1 1229.20875285841 1100.08897380423 1259.00562494783
