variety;date;bloc;plant;num_leaf_bottom;num_leaf_top;green;septo_green;necro;ratio_septo_necro;other;observations 
tremis;04/03/2012;1;1;9;4;100;0;0;0;0;
tremis;04/03/2012;1;2;9;5;100;0;0;0;0;
tremis;04/03/2012;1;3;9;5;100;0;0;0;0;
tremis;04/03/2012;1;4;9;5;100;0;0;0;0;
tremis;04/03/2012;1;5;9;5;100;0;0;0;0;
tremis;04/03/2012;1;6;9;5;100;0;0;0;0;coupée
tremis;04/03/2012;1;7;9;5;100;0;0;0;0;
tremis;04/03/2012;1;8;9;5;100;0;0;0;0;coupée à moitié
tremis;04/03/2012;1;9;9;5;100;0;0;0;0;
tremis;04/03/2012;1;10;9;5;100;0;0;0;0;
tremis;04/03/2012;2;11;9;5;100;0;0;0;0;
tremis;04/03/2012;2;12;9;5;100;0;0;0;0;
tremis;04/03/2012;2;13;9;5;95;0;5;0;0;
tremis;04/03/2012;2;14;9;4;100;0;0;0;0;
tremis;04/03/2012;2;16;9;5;100;0;0;0;0;
tremis;04/03/2012;2;17;9;5;100;0;0;0;0;
tremis;04/03/2012;2;18;9;5;100;0;0;0;0;
tremis;04/03/2012;2;19;9;5;100;0;0;0;0;
tremis;04/03/2012;2;20;9;5;100;0;0;0;0;
tremis;04/03/2012;3;21;9;5;100;0;0;0;0;
tremis;04/03/2012;3;22;9;5;100;0;0;0;0;
tremis;04/03/2012;3;23;9;5;100;0;0;0;0;
tremis;04/03/2012;3;24;9;5;100;0;0;0;0;
tremis;04/03/2012;3;25;9;5;100;0;0;0;0;
tremis;04/03/2012;3;26;9;5;100;0;0;0;0;
tremis;04/03/2012;3;27;9;5;100;0;0;0;0;
tremis;04/03/2012;3;28;9;4;100;0;0;0;0;
tremis;04/03/2012;3;29;9;5;100;0;0;0;0;
tremis;04/03/2012;3;30;9;5;100;0;0;0;0;
tremis;04/03/2012;1;1;8;5;95;0;5;0;0;
tremis;04/03/2012;1;2;8;6;95;2;3;0;0;
tremis;04/03/2012;1;3;8;6;85;5;10;5;0;
tremis;04/03/2012;1;4;8;6;70;0;30;0;0;
tremis;04/03/2012;1;5;8;6;90;0;2;0;8;
tremis;04/03/2012;1;7;8;6;100;0;0;0;0;
tremis;04/03/2012;1;9;8;6;60;0;40;0;0;
tremis;04/03/2012;1;10;8;6;95;0;0;0;5;
tremis;04/03/2012;2;11;8;6;80;0;10;0;10;
tremis;04/03/2012;2;12;8;6;90;10;0;0;0;
tremis;04/03/2012;2;13;8;6;60;0;15;50;25;
tremis;04/03/2012;2;14;8;5;100;0;0;0;0;
tremis;04/03/2012;2;15;8;6;100;0;0;0;0;
tremis;04/03/2012;2;16;8;6;100;0;0;0;0;
tremis;04/03/2012;2;17;8;6;95;0;5;10;0;
tremis;04/03/2012;2;18;8;6;90;0;10;0;0;
tremis;04/03/2012;2;19;8;6;100;0;0;0;0;
tremis;04/03/2012;2;20;8;6;90;0;10;0;0;
tremis;04/03/2012;3;21;8;6;80;0;20;0;0;
tremis;04/03/2012;3;22;8;6;100;0;0;0;0;
tremis;04/03/2012;3;23;8;6;80;0;10;50;10;
tremis;04/03/2012;3;24;8;6;90;0;10;0;0;
tremis;04/03/2012;3;25;8;6;100;0;0;0;0;
tremis;04/03/2012;3;26;8;6;80;0;10;30;10;
tremis;04/03/2012;3;27;8;6;95;0;0;0;5;
tremis;04/03/2012;3;28;8;5;80;0;10;0;10;
tremis;04/03/2012;3;29;8;6;95;0;5;2;0;
tremis;04/03/2012;3;30;8;6;90;0;10;0;0;
tremis;04/03/2012;1;1;7;6;40;0;60;3;0;
tremis;04/03/2012;1;2;7;7;60;0;40;20;0;
tremis;04/03/2012;1;3;7;7;10;2;88;70;0;
tremis;04/03/2012;1;4;7;7;0;0;100;0;0;
tremis;04/03/2012;1;5;7;7;20;10;70;80;0;
tremis;04/03/2012;1;6;7;7;40;0;40;0;20;
tremis;04/03/2012;1;7;7;7;30;0;70;40;0;
tremis;04/03/2012;1;8;7;7;15;0;85;45;0;
tremis;04/03/2012;1;9;7;7;0;0;100;50;0;
tremis;04/03/2012;1;10;7;7;0;0;100;20;0;
tremis;04/03/2012;2;11;7;7;10;10;80;20;0;
tremis;04/03/2012;2;12;7;7;5;0;95;60;0;
tremis;04/03/2012;2;13;7;7;0;0;100;0;0;
tremis;04/03/2012;2;14;7;6;30;10;40;30;20;
tremis;04/03/2012;2;15;7;7;70;0;20;50;10;
tremis;04/03/2012;2;16;7;7;20;1;50;20;29;
tremis;04/03/2012;2;17;7;7;5;0;95;0;0;Coupée
tremis;04/03/2012;2;18;7;7;5;0;95;20;0;Coupée
tremis;04/03/2012;2;19;7;7;25;0;20;0;55;
tremis;04/03/2012;2;20;7;7;0;0;100;70;0;
tremis;04/03/2012;3;21;7;7;10;0;90;50;0;Coupée
tremis;04/03/2012;3;22;7;7;20;0;80;70;0;
tremis;04/03/2012;3;23;7;7;10;0;80;30;10;Coupée
tremis;04/03/2012;3;24;7;7;10;0;90;50;0;
tremis;04/03/2012;3;25;7;7;30;0;40;30;30;
tremis;04/03/2012;3;26;7;7;10;0;90;60;0;
tremis;04/03/2012;3;27;7;7;0;0;100;70;0;
tremis;04/03/2012;3;28;7;6;10;0;90;20;0;
tremis;04/03/2012;3;29;7;7;5;0;95;30;0;
tremis;04/03/2012;3;30;7;7;5;0;95;10;0;
tremis;04/11/2012;1;2;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;3;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;4;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;5;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;8;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;9;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;10;11;3;100;0;0;0;0; 
tremis;04/11/2012;2;11;11;3;100;0;0;0;0; 
tremis;04/11/2012;2;12;11;3;100;0;0;0;0; 
tremis;04/11/2012;2;13;11;3;100;0;0;0;0; 
tremis;04/11/2012;2;15;11;3;100;0;0;0;0; 
tremis;04/11/2012;2;18;11;3;100;0;0;0;0; 
tremis;04/11/2012;2;20;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;21;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;23;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;24;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;25;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;27;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;29;11;3;100;0;0;0;0; 
tremis;04/11/2012;3;30;11;3;100;0;0;0;0; 
tremis;04/11/2012;1;1;10;3;99;0;0;0;1; 
tremis;04/11/2012;1;2;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;3;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;4;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;5;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;6;10;4;95;0;5;0;0; 
tremis;04/11/2012;1;7;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;8;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;9;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;10;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;11;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;12;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;13;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;14;10;3;100;0;0;0;0; 
tremis;04/11/2012;2;15;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;16;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;17;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;18;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;19;10;4;100;0;0;0;0; 
tremis;04/11/2012;2;20;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;21;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;22;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;23;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;24;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;25;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;26;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;27;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;28;10;3;100;0;0;0;0; 
tremis;04/11/2012;3;29;10;4;100;0;0;0;0; 
tremis;04/11/2012;3;30;10;4;100;0;0;0;0; 
tremis;04/11/2012;1;1;9;4;95;0;5;0;0; 
tremis;04/11/2012;1;2;9;5;100;0;0;0;0; 
tremis;04/11/2012;1;3;9;5;95;0;3;<;2; 
tremis;04/11/2012;1;4;9;5;95;0;0;0;5; 
tremis;04/11/2012;1;5;9;5;98;0;0;0;2; 
tremis;04/11/2012;1;7;9;5;97;0;0;0;3; 
tremis;04/11/2012;1;8;9;5;100;0;0;0;0;coupée 
tremis;04/11/2012;1;9;9;5;95;0;2;0;3; 
tremis;04/11/2012;1;10;9;5;99;0;0;0;0; 
tremis;04/11/2012;2;11;9;5;100;0;0;0;0; 
