Var;code_date;TT_date;Nff;HS_average;HS_med;HS_SD;HS_plt;SSI_average;SSI_med;SSI_SD;SSI_plt;GL
Mercia;2011-01-19;485.9;11;3.6;3.58;0.08;11;0.05;0.02;0.07;7;3.5
Mercia;2011-04-18;1159.15;11;9.4;9.41;0.19;11;5.97;6;0.31;11;3.4
Mercia;2011-04-27;1304.1;11;10.5;10.51;0.11;11;None;None;None;None;None
Mercia;2011-05-26;1732.1;11;11;11;0;11;7.23;7.25;0.41;11;3.774
Mercia;2011-06-01;1818.05;11;11;11;0;11;8.33;8.21;0.37;11;2.67
Mercia;2011-06-09;1959.55;11;11;11;0;11;9.27;9.32;0.33;11;1.732
Mercia;2011-01-19;485.9;12;3.6;3.6;0.11;18;0.05;0;0.13;7;3.6
Mercia;2011-04-18;1159.15;12;9.9;9.9;0.19;19;6.31;6.2;0.36;19;3.6
Mercia;2011-04-27;1304.1;12;11.3;11.33;0.16;17;None;None;0.64;2;None
Mercia;2011-05-26;1732.1;12;12;12;0;19;7.96;8.03;0.37;19;4.036
Mercia;2011-06-01;1818.05;12;12;12;0;19;8.99;9.08;0.59;19;3.01
Mercia;2011-06-09;1959.55;12;12;12;0;19;10.1;9.89;0.77;19;1.903
Mercia;2011-01-19;485.9;13;4.4;None;None;1;0;None;None;0;4.4
Mercia;2011-04-18;1159.15;13;10.4;None;None;1;7.02;None;None;1;3.4
Mercia;2011-04-27;1304.1;13;11.9;None;None;1;None;None;None;None;None
Mercia;2011-05-26;1732.1;13;13;None;None;1;8.27;None;None;1;4.7
Mercia;2011-06-01;1818.05;13;13;None;None;1;9.19;None;None;1;3.8
Mercia;2011-06-09;1959.55;13;13;None;None;1;10.55;None;None;1;2.5
Rht3;2011-01-19;485.9;11;3.5;3.5;0.12;17;0.04;0;0.05;7;3.5
Rht3;2011-04-18;1159.15;11;9.2;9.28;0.24;17;5.94;6;0.35;17;3.1
Rht3;2011-04-27;1304.1;11;10.2;10.28;0.27;17;None;None;0.69;3;3.9
Rht3;2011-05-26;1732.1;11;11;11;0;16;7.12;7.13;0.48;17;3.2
Rht3;2011-06-01;1818.05;11;11;11;0;16;8.32;8.13;0.41;17;2.7
Rht3;2011-06-09;1959.55;11;11;11;0;17;9.3;9.19;0.47;17;1.7
Rht3;2011-01-19;485.9;12;4.04;3.99;0.45;4;0.09;0.05;0.14;5;4
Rht3;2011-04-18;1159.15;12;9.86;9.86;0.11;7;6.25;6.3;0.2;7;3.6
Rht3;2011-04-27;1304.1;12;11.26;11.25;0.17;7;None;None;0.21;2;4.4
Rht3;2011-05-26;1732.1;12;12;12;0;7;7.69;7.74;0.33;7;3.6
Rht3;2011-06-01;1818.05;12;12;12;0;7;8.97;9.03;0.2;7;3.1
Rht3;2011-06-09;1959.55;12;12;12;0;7;9.75;9.71;0.34;7;2
Rht3;2011-01-19;485.9;10;3.38;3.38;None;1;0.05;0.05;None;1;3.4
Rht3;2011-04-18;1159.15;10;9.25;9.25;None;1;5.25;5.25;None;1;4
Rht3;2011-04-27;1304.1;10;10.09;10.09;None;1;None;None;None;None;4.4
Rht3;2011-05-26;1732.1;10;10;10;None;1;7.13;7.13;None;1;2.9
Rht3;2011-06-01;1818.05;10;10;10;None;1;None;None;None;None;2.3
Rht3;2011-06-09;1959.55;10;10;10;None;1;None;None;None;None;0.9
Tremie12;2012-03-09;928,8;12;7.6;7.6;0.5;8;5.7;5.5;0.7;11;1.7
Tremie12;2012-03-21;1044,25;12;8.5;8.5;0;11;6.1;6;0.4;11;2.4
Tremie12;2012-04-02;1190,95;12;10.1;10;0.28;11;None;None;None;0;None
Tremie12;2012-04-11;1268,7;12;11;10.9;0.35;11;6.6;6.7;0.22;11;4.3
Tremie12;2012-04-26;1392,15;12;12;12;0;10;7.3;7.1;0.41;10;4.7
Tremie12;2012-05-03;1483,95;12;12.6;13;0.52;10;8;8;0.38;10;4.7
Tremie12;2012-05-09;1568,7;12;12.6;13;0.5;11;8.2;8.2;0.56;11;4.5
Tremie12;2012-05-16;1659,1;12;12.7;13;0.58;3;8.3;8.4;0.06;3;4.3
Tremie12;2012-05-25;1797,95;12;12.7;13;0.58;3;9;9.2;0.46;3;3.7
Tremie12;2012-05-31;1905;12;12.7;13;0.58;3;10.4;10.4;0.26;3;2.2
Tremie12;2012-06-12;2084,95;12;12.6;13;0.5;11;12.1;12;0.75;11;0.6
