date;var;TT;TT_depuis_montaison_846.5;rep;N;Axis;Nflig;Nfvis;nff;length_F1;length_F2;length_F3;length_F4;length_F5;length_F6;length_F7;length_F8;length_F9;length_F10;length_F11;length_F12;length_F13;length_F14;length_F15;sen_F1;sen_F2;sen_F3;sen_F4;sen_F5;sen_F6;sen_F7;sen_F8;sen_F9;sen_F10;sen_F11;sen_F12;sen_F13;sen_F14;sen_F15;HS;SSI
19/01/2011;Rht3;473.08;-373.42;2;14;MB;3;1;10;6.5;8;7.5;3;;;;;;;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.38;0.05
19/01/2011;Rht3;473.08;-373.42;1;1;MB;3;1;11;7.5;10;9;5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.50;0.00
19/01/2011;Rht3;473.08;-373.42;1;5;MB;3;1;11;8.5;11.5;;5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.50;0.00
19/01/2011;Rht3;473.08;-373.42;1;11;MB;3;1;11;8;10.5;10;6;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.60;0.00
19/01/2011;Rht3;473.08;-373.42;2;13;MB;3;1;11;8;11.5;10;5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.50;0.00
19/01/2011;Rht3;473.08;-373.42;2;17;MB;3;1;11;6.5;8;;4.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.45;0.00
19/01/2011;Rht3;473.08;-373.42;2;19;MB;3;1;11;6.5;7.5;8.5;3;;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.30;0.10
19/01/2011;Rht3;473.08;-373.42;2;22;MB;3;1;11;8;9.5;;4.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.45;0.00
19/01/2011;Rht3;473.08;-373.42;2;23;MB;3;1;11;9.5;11.5;;3.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.35;0.00
19/01/2011;Rht3;473.08;-373.42;3;25;MB;3;1;11;;11;10;3.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.35;0.00
19/01/2011;Rht3;473.08;-373.42;3;27;MB;3;1;11;8.5;9;9;5;;;;;;;;;;;;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;3.50;0.15
19/01/2011;Rht3;473.08;-373.42;3;29;MB;3;1;11;6.5;9;9.2;3.5;;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.35;0.10
19/01/2011;Rht3;473.08;-373.42;3;30;MB;3;1;11;6.5;10;10;5;;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.50;0.10
19/01/2011;Rht3;473.08;-373.42;3;31;MB;3;1;11;8;11;10.5;7.5;;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.75;0.10
19/01/2011;Rht3;473.08;-373.42;3;32;MB;3;1;11;;;11;5.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.55;0.00
19/01/2011;Rht3;473.08;-373.42;3;33;MB;3;1;11;8;10;;4.5;;;;;;;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.45;0.05
19/01/2011;Rht3;473.08;-373.42;3;34;MB;3;1;11;8.5;11;10.5;6.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.65;0.00
19/01/2011;Rht3;473.08;-373.42;3;35;MB;3;1;11;8;12;11;6;;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.60;0.02
19/01/2011;Rht3;473.08;-373.42;1;2;MB;4;1;12;8;10;10.5;7.5;2;;;;;;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.25;0.05
19/01/2011;Rht3;473.08;-373.42;1;6;MB;3;1;12;;10.5;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.00
19/01/2011;Rht3;473.08;-373.42;1;8;MB;4;1;12;7.5;8;10;;4.5;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.56;0.02
19/01/2011;Rht3;473.08;-373.42;2;21;MB;3;1;12;5;7;7;4.5;;;;;;;;;;;;30;10;0;0;0;0;0;0;0;0;0;0;0;0;0;3.60;0.40
19/01/2011;Rht3;473.08;-373.42;3;26;MB;3;1;12;5.5;8;8;5.5;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.73;0.00
19/01/2011;Rht3;473.08;-373.42;3;28;MB;3;1;12;7.5;10.5;;;;;;;;;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.05
19/01/2011;Rht3;473.08;-373.42;3;36;MB;3;1;12;6;;;;;;;;;;;;;;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0.10
18/04/2011;Rht3;1131.2;284.7;2;14;MB;9;1;10;;;;;;8.5;10.5;16.5;17;4.5;;;;;;100;100;100;100;100;20;0;5;0;0;0;0;0;0;0;9.25;5.25
18/04/2011;Rht3;1131.2;284.7;1;1;MB;9;1;11;;;;;;;12.7;15.8;18.5;8.3;;;;;;100;100;100;100;100;100;20;5;0;0;0;0;0;0;0;9.395238095;6.25
18/04/2011;Rht3;1131.2;284.7;1;5;MB;8;1;11;;;;;;10.6;13;17.4;12.4;;;;;;;100;100;100;100;100;20;5;0;0;0;0;0;0;0;0;8.733727811;5.25
18/04/2011;Rht3;1131.2;284.7;1;11;MB;8;1;11;;;;;;12.3;14.2;17.5;16.5;;;;;;;100;100;100;100;100;75;0;0;0;0;0;0;0;0;0;8.953757225;5.75
18/04/2011;Rht3;1131.2;284.7;2;13;MB;8;1;11;;;;;;12;13.3;17.5;18.5;;;;;;;100;100;100;100;100;70;5;0;0;0;0;0;0;0;0;8.989304813;5.75
18/04/2011;Rht3;1131.2;284.7;2;17;MB;9;1;11;;;;;;8.5;9;12;15.5;2.5;;;;;;100;100;100;100;100;100;10;0;0;0;0;0;0;0;0;9.138888889;6.1
18/04/2011;Rht3;1131.2;284.7;2;19;MB;8;1;11;;;;;;9;10.5;14.5;14.5;;;;;;;100;100;100;100;100;60;20;0;0;0;0;0;0;0;0;8.863095238;5.8
18/04/2011;Rht3;1131.2;284.7;2;22;MB;9;1;11;;;;;;9;13;18;20.5;8;;;;;;100;100;100;100;100;95;0;0;0;0;0;0;0;0;0;9.353982301;5.95
18/04/2011;Rht3;1131.2;284.7;2;23;MB;9;1;11;;;;;;9.5;12.5;16.5;17;4.5;;;;;;100;100;100;100;100;100;0;0;0;0;0;0;0;0;0;9.217391304;6
18/04/2011;Rht3;1131.2;284.7;3;25;MB;9;1;11;;;;;;11;12.5;16;19.5;7;;;;;;100;100;100;100;100;50;0;0;0;0;0;0;0;0;0;9.35;5.5
18/04/2011;Rht3;1131.2;284.7;3;27;MB;9;1;11;;;;;;11;13.5;17;20;6;;;;;;100;100;100;100;100;100;5;5;0;0;0;0;0;0;0;9.280373832;6.1
18/04/2011;Rht3;1131.2;284.7;3;29;MB;9;1;11;;;;;;9.5;13;19;18;6;;;;;;100;100;100;100;100;30;10;0;0;0;0;0;0;0;0;9.292682927;5.4
18/04/2011;Rht3;1131.2;284.7;3;30;MB;9;1;11;;;;;;11.5;12.5;15;18.5;6;;;;;;100;100;100;100;100;100;5;0;0;0;0;0;0;0;0;9.304568528;6.05
18/04/2011;Rht3;1131.2;284.7;3;31;MB;9;1;11;;;;;;11.5;14;17;21;11;;;;;;100;100;100;100;100;100;10;0;0;0;0;0;0;0;0;9.495495495;6.1
18/04/2011;Rht3;1131.2;284.7;3;32;MB;8;1;11;;;;;;9.5;10;13.5;17;3;;;;;;100;100;100;100;100;90;30;0;0;0;0;0;0;0;0;8.988372093;6.2
18/04/2011;Rht3;1131.2;284.7;3;33;MB;8;1;11;;;;;;10.5;13;16;17.5;;;;;;;100;100;100;100;100;80;0;0;0;0;0;0;0;0;0;8.988700565;5.8
18/04/2011;Rht3;1131.2;284.7;3;34;MB;9;1;11;;;;;;10;12;16;21;13.5;;;;;;100;100;100;100;100;100;70;0;0;0;0;0;0;0;0;9.586956522;6.7
18/04/2011;Rht3;1131.2;284.7;3;35;MB;9;1;11;;;;;;11;12.5;16.5;18.5;7;;;;;;100;100;100;100;100;100;20;0;0;0;0;0;0;0;0;9.344827586;6.2
18/04/2011;Rht3;1131.2;284.7;1;2;MB;9;1;12;;;;;;;12.5;14;16.2;17;;;;;;100;100;100;100;100;100;30;3;0;0;0;0;0;0;0;9.862944162;6.33
18/04/2011;Rht3;1131.2;284.7;1;6;MB;9;1;12;;;;;;9.2;10.6;13.7;15.7;12.8;;;;;;100;100;100;100;100;100;10;5;0;0;0;0;0;0;0;9.744186047;6.15
18/04/2011;Rht3;1131.2;284.7;1;8;MB;9;1;12;;;;;;9.3;12.6;12.8;9.6;9;;;;;;100;100;100;100;100;100;2;1;0;0;0;0;0;0;0;9.708661417;6.03
18/04/2011;Rht3;1131.2;284.7;2;21;MB;9;1;12;;;;;;6.5;7;9;14;16.5;;;;;;100;100;100;100;100;100;30;0;0;0;0;0;0;0;0;10;6.3
18/04/2011;Rht3;1131.2;284.7;3;26;MB;9;1;12;;;;;;8;8.5;10.5;16.5;17;;;;;;100;100;100;100;100;100;50;0;0;0;0;0;0;0;0;9.939226519;6.5
18/04/2011;Rht3;1131.2;284.7;3;28;MB;9;1;12;;;;;;10;11.5;15;18.5;17;;;;;;100;100;100;100;100;100;40;5;0;0;0;0;0;0;0;9.944444444;6.45
18/04/2011;Rht3;1131.2;284.7;3;36;MB;9;1;12;;;;;;;11.5;15.5;17.5;16;;;;;;100;100;100;100;100;100;0;0;0;0;0;0;0;0;0;9.8;6
