operateur;MethodeAnalyse;Date d'analyse;fichier;Variete;N prelev;Date;HS;rep;N plante;id_Axe;id_Feuille;ranktop;nmax;HaunStage;Llimbe1;Lgaine;Lentrenoeud;%vert;Llimbe2;Wlimbe;A_bl;A_bl_green;stat;w0,00;w0,05;w0,10;w0,15;w0,20;w0,25;w0,30;w0,35;w0,40;w0,45;w0,50;w0,55;w0,60;w0,65;w0,70;w0,75;w0,80;w0,85;w0,90;w0,95;w1,00
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P11,tif;TREMIE;date 1;09/03/2012;7,55;3;11;MB;7;5;NaN;;;;;;10,3;0,6;4,7;2,8;1;0;0,13569;0,19895;0,32396;0,43192;0,44831;0,42873;0,40303;0,34495;0,30924;0,55377;0,62064;0,61056;0,5402;0,55501;0,59234;0,58119;0,56208;0,56209;0,53596;0,44892
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P12,tif;TREMIE;date 1;09/03/2012;7,55;3;12;MB;8;5;NaN;;;;;;12,1;0,9;7,5;7,2;1;0;0,2944;0,16706;0,11444;0,068237;0,060159;0,22859;0,58496;0,74267;0,82085;0,86029;0,90259;0,9336;0,95422;0,92071;0,90477;0,88435;0,85301;0,82421;0,78287;0,65921
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P13,tif;TREMIE;date 1;09/03/2012;7,55;3;13;MB;8;6;NaN;;;;;;13,8;1,1;12,1;12,1;1;0;0,17267;0,34012;0,45035;0,54345;0,67299;0,78952;0,86347;0,84885;0,99644;1,0811;1,094;1,0946;1,084;1,0787;1,0662;1,084;1,0384;1,0058;0,97085;0,93184
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P14,tif;TREMIE;date 1;09/03/2012;7,55;3;14;MB;6;9;NaN;;;;;;12,8;0,7;6,9;6,9;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P14,tif;TREMIE;date 1;09/03/2012;7,55;3;14;MB;7;8;NaN;;;;;;8,8;0,7;4,8;4,8;1;0;0,15904;0,29034;0,37258;0,43658;0,49594;0,54607;0,58887;0,61933;0,65069;0,64933;0,61557;0,64062;0,64717;0,64219;0,61648;0,58018;0,62155;0,64469;0,64099;0,49393
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P15,tif;TREMIE;date 1;09/03/2012;7,55;3;15;MB;8;8;NaN;;;;;;10,3;1;7,6;7,6;1;0;0,16534;0,31395;0,40667;0,5229;0,62986;0,7028;0,75969;0,85406;0,9083;0,93914;0,95194;0,95125;0,94461;0,91458;0,87661;0,82812;0,78019;0,70983;0,63426;0,54133
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P16,tif;TREMIE;date 1;09/03/2012;7,55;3;16;MB;6;11;NaN;;;;;;10,8;0,4;3,8;2,9;1;0;0,065474;0,1567;0,21742;0,28553;0,36856;0,37912;0,40794;0,41025;0,42186;0,40253;0,40379;0,4221;0,44303;0,41616;0,34558;0,33952;0,41569;0,403;0,4076;0,37084
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P16,tif;TREMIE;date 1;09/03/2012;7,55;3;16;MB;7;10;NaN;;;;;;13,6;0,7;7,2;7,1;1;0;0,19303;0,25968;0,33799;0,37345;0,41942;0,48866;0,52578;0,55737;0,57857;0,60999;0,63779;0,66099;0,67269;0,68039;0,6642;0,66586;0,6394;0,62044;0,58503;0,44525
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P17,tif;TREMIE;date 1;09/03/2012;7,55;3;17;MB;6;12;NaN;;;;;;12;0,5;5,3;5;1;0;0,054766;0,17072;0,29494;0,33112;0,36851;0,47503;0,49821;0,5114;0,49615;0,51422;0,51163;0,53055;0,52543;0,52406;0,49642;0,53297;0,52857;0,4974;0,44846;0,084268
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P17,tif;TREMIE;date 1;09/03/2012;7,55;3;17;MB;7;11;NaN;;;;;;14;0,8;8,3;8,3;1;0;0,15284;0,28703;0,37638;0,43073;0,45931;0,48444;0,58582;0,66016;0,68684;0,71934;0,76386;0,7627;0,74403;0,72528;0,72087;0,69181;0,6577;0,63356;0,60236;0,46567
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P18,tif;TREMIE;date 1;09/03/2012;7,55;3;18;MB;5;14;NaN;;;;;;10;0,5;4;2,6;1;0;0,14018;0,20571;0,27099;0,29622;0,39703;0,45138;0,45467;0,41515;0,48154;0,49888;0,48916;0,45079;0,46188;0,45335;0,38821;0,41291;0,49949;0,47802;0,40332;0,15467
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P18,tif;TREMIE;date 1;09/03/2012;7,55;3;18;MB;7;12;NaN;;;;;;6,7;0,5;2,8;2,8;1;0;0,076461;0,18378;0,28959;0,36086;0,41588;0,4525;0,48337;0,49973;0,50065;0,50411;0,50748;0,49229;0,49811;0,49;0,47524;0,46248;0,44323;0,34667;0,27001;0,21898
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P19,tif;TREMIE;date 1;09/03/2012;7,55;3;19;MB;7;13;NaN;;;;;;4,5;0,3;1,1;1,1;1;0;0,053126;0,13456;0,20994;0,263;0,29202;0,30984;0,30316;0,28725;0,28804;0,26721;0,23712;0,2341;0,22113;0,22099;0,21938;0,21494;0,20809;0,21018;0,22012;0,18695
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P20,tif;TREMIE;date 1;09/03/2012;7,55;3;20;MB;6;15;NaN;;;;;;11,8;0,5;5,1;4,3;1;0;0,11229;0,226;0,27767;0,30308;0,37485;0,44437;0,47243;0,49255;0,50431;0,51252;0,50641;0,47201;0,49065;0,51165;0,4459;0,40181;0,50699;0,49155;0,48282;0,36777
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P20,tif;TREMIE;date 1;09/03/2012;7,55;3;20;MB;7;14;NaN;;;;;;13,5;0,7;7,3;7,3;1;0;0,17429;0,29157;0,30818;0,3715;0,42345;0,43746;0,48124;0,58906;0,62733;0,65754;0,6927;0,70178;0,704;0,69465;0,66568;0,65736;0,63951;0,61283;0,57126;0,49971
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_Bloc2_P20,tif;TREMIE;date 1;09/03/2012;7,55;3;20;MB;8;13;NaN;;;;;;6,7;0,5;2,8;2,8;1;0;0,094746;0,20455;0,29391;0,33296;0,36604;0,39417;0,4232;0,44102;0,44795;0,45954;0,49627;0,52297;0,55409;0,54471;0,48717;0,47892;0,46266;0,44941;0,30806;0,15591
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p021,tif;TREMIE;date 1;09/03/2012;7,55;3;21;MB;7;15;NaN;;;;;;12,8;0,7;7,2;6,6;1;0;0,092843;0,28431;0,50365;0,42206;0,42619;0,44943;0,48196;0,52482;0,51943;0,61665;0,65306;0,69591;0,71048;0,71351;0,73214;0,73636;0,72513;0,71641;0,66365;0,48053
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p021,tif;TREMIE;date 1;09/03/2012;7,55;3;21;MB;8;14;NaN;;;;;;11,4;1;8,9;8,9;1;0;0,10141;0,27216;0,39271;0,50301;0,60594;0,69836;0,75777;0,79686;0,78422;0,81896;0,82292;0,85101;0,92383;1,0127;0,99839;0,99216;1,0119;1,0235;0,99493;0,8016
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p022,tif;TREMIE;date 1;09/03/2012;7,55;3;22;MB;7;16;NaN;;;;;;15,4;0,8;10,1;10,1;1;0;0,21185;0,36611;0,43684;0,49043;0,55846;0,58884;0,68595;0,74552;0,77608;0,82432;0,83172;0,84162;0,83925;0,81395;0,8056;0,81864;0,74141;0,61357;0,5161;0,35678
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p022,tif;TREMIE;date 1;09/03/2012;7,55;3;22;MB;8;15;NaN;;;;;;5,3;0,7;2,7;2,7;1;0;0,0439;0,082198;0,18844;0,28162;0,35445;0,40587;0,44116;0,47066;0,49672;0,52605;0,54308;0,56225;0,58939;0,60319;0,61984;0,64475;0,67858;0,72247;0,79073;0,65399
ABICHOU;Lamina2Shape;30-mars-12;Tremie_11032012_bloc3_p023,tif;TREMIE;date 1;09/03/2012;7,55;3;23;MB;6;18;NaN;;;;;;12,1;0,5;5,1;4,9;1;0;0,11802;0,23434;0,30278;0,35451;0,40285;0,45732;0,49356;0,4882;0,48527;0,51437;0,51064;0,50075;0,4482;0,48727;0,46297;0,45964;0,45639;0,45169;0,43404;0,16389
