Site: Boigneville, Unité d'acquisition: Boigneville, Dep: 91, Com: 69, Num: 2;;;;;;
Date;01/09/2012;T[°C);HR(%);Pluies (mm);Vent (km/h);Rg (j/cm²)
01/09/2012;00:00;8,6;74,5;0;6;0
01/09/2012;01:00;7,5;76,5;0;6;0
01/09/2012;02:00;7,5;78;0;5;0
01/09/2012;03:00;7;80;0;4;0
01/09/2012;04:00;6,7;81;0;5;0
01/09/2012;05:00;8,2;81,5;0;5;18
01/09/2012;06:00;11;72,5;0;6;68
01/09/2012;07:00;13,4;62;0;8;118
01/09/2012;08:00;15,5;50,5;0;12;176
01/09/2012;09:00;16,8;41,5;0;13;222
01/09/2012;10:00;17,4;36;0;13;258
01/09/2012;11:00;18,3;29,5;0;12;266
01/09/2012;12:00;19,5;27,5;0;12;266
01/09/2012;13:00;19,7;24;0;13;242
01/09/2012;14:00;20,2;26,5;0;14;202
01/09/2012;15:00;20,2;27;0;12;150
01/09/2012;16:00;19,8;29,5;0;10;88
01/09/2012;17:00;18,2;32;0;7;32
01/09/2012;18:00;15,9;37;0;4;2
01/09/2012;19:00;13,4;46;0;2;0
01/09/2012;20:00;12,7;48;0;5;0
01/09/2012;21:00;11,8;67,5;0;5;0
01/09/2012;22:00;11,4;75,5;0;5;0
01/09/2012;23:00;9,6;82;0;2;0
02/09/2012;00:00;8,8;87;0;3;0
02/09/2012;01:00;7,5;89;0;2;0
02/09/2012;02:00;8,4;90,5;0;3;0
02/09/2012;03:00;8,1;92,5;0;1;0
02/09/2012;04:00;8,3;93,5;0;3;0
02/09/2012;05:00;9,4;93,5;0;2;16
02/09/2012;06:00;13,2;88,5;0;2;58
02/09/2012;07:00;15,5;81;0;5;90
02/09/2012;08:00;17,5;76,5;0;6;116
02/09/2012;09:00;17,5;72,5;0;8;98
02/09/2012;10:00;18,3;71;0;7;84
02/09/2012;11:00;19,2;66,5;0;8;118
02/09/2012;12:00;21,3;58,5;0;8;188
02/09/2012;13:00;21,4;53,5;0;7;180
02/09/2012;14:00;21,5;54,5;0;9;122
02/09/2012;15:00;21,9;48;0;8;86
02/09/2012;16:00;20,8;50;0;9;38
02/09/2012;17:00;19,6;53;0;5;18
02/09/2012;18:00;18,2;58;0;3;2
02/09/2012;19:00;16,3;63,5;0;2;0
02/09/2012;20:00;16;64;0;5;0
02/09/2012;21:00;15;68,5;0;6;0
02/09/2012;22:00;14,2;75;0;6;0
02/09/2012;23:00;13,2;80;0;6;0
03/09/2012;00:00;12,8;81,5;0;6;0
03/09/2012;01:00;11,8;85;0;3;0
03/09/2012;02:00;10,8;87;0;2;0
03/09/2012;03:00;11,8;89,5;0;3;0
03/09/2012;04:00;12,8;89;0;1;0
03/09/2012;05:00;12,9;91;0;5;6
03/09/2012;06:00;15,1;91;0;5;28
03/09/2012;07:00;15,8;88;0;7;36
03/09/2012;08:00;17,1;85;0;9;74
03/09/2012;09:00;16,7;86,5;0;9;28
03/09/2012;10:00;18;82;0;8;60
03/09/2012;11:00;19,1;76;0;12;158
03/09/2012;12:00;19,7;72;0;12;98
03/09/2012;13:00;20,6;70;0;11;76
03/09/2012;14:00;21,3;67;0;13;68
03/09/2012;15:00;20,7;67;0;12;66
03/09/2012;16:00;21;66,5;0;10;46
03/09/2012;17:00;19,8;68,5;0;10;26
03/09/2012;18:00;18,3;74,5;0;7;2
03/09/2012;19:00;17,2;79,5;0;4;0
03/09/2012;20:00;16,1;82,5;0;4;0
03/09/2012;21:00;15,7;85;0;5;0
03/09/2012;22:00;14,7;87;0;5;0
03/09/2012;23:00;14,6;87;0;6;0
04/09/2012;00:00;14,4;87,5;0;6;0
04/09/2012;01:00;14;89,5;0;8;0
04/09/2012;02:00;13,9;90,5;0;7;0
04/09/2012;03:00;13,2;92,5;0;7;0
04/09/2012;04:00;13,1;93;0;6;0
04/09/2012;05:00;13;94;0;7;8
04/09/2012;06:00;14,3;93,5;0;9;38
04/09/2012;07:00;16,6;85;0;11;90
04/09/2012;08:00;18,9;76,5;0;12;142
04/09/2012;09:00;20,5;65,5;0;15;178
04/09/2012;10:00;22,3;60;0;15;234
04/09/2012;11:00;23,3;55;0;13;242
04/09/2012;12:00;24,2;51;0;12;238
04/09/2012;13:00;25;48;0;13;218
04/09/2012;14:00;24,8;47;0;13;180
04/09/2012;15:00;24,4;47,5;0;14;130
04/09/2012;16:00;24;48;0;13;76
04/09/2012;17:00;22,4;53,5;0;11;28
04/09/2012;18:00;20,2;59;0;5;0
04/09/2012;19:00;18,7;66,5;0;5;0
04/09/2012;20:00;17,8;69;0;3;0
04/09/2012;21:00;16,7;72;0;5;0
04/09/2012;22:00;16,6;75,5;0;7;0
04/09/2012;23:00;16,3;81,5;0;8;0
05/09/2012;00:00;15,6;84,5;0;9;0
05/09/2012;01:00;15,2;85,5;0;9;0
05/09/2012;02:00;14,5;87;0;6;0
05/09/2012;03:00;14,2;88;0;6;0
05/09/2012;04:00;14,2;89;0;4;0
05/09/2012;05:00;15,2;87;0;8;6
05/09/2012;06:00;15,8;86,5;0;10;18
05/09/2012;07:00;17,6;82,5;0;12;54
05/09/2012;08:00;19,1;77,5;0;13;122
05/09/2012;09:00;21,5;66;0;12;178
05/09/2012;10:00;22,9;57;0;15;224
05/09/2012;11:00;23,4;53,5;0;15;238
05/09/2012;12:00;24,4;42;0;13;218
05/09/2012;13:00;24,6;51;0;15;216
05/09/2012;14:00;23,8;55,5;0;18;144
05/09/2012;15:00;22,2;60,5;0;19;94
05/09/2012;16:00;21,5;59,5;0;20;56
05/09/2012;17:00;20,9;60,5;0;15;24
05/09/2012;18:00;19,3;67;0;11;2
05/09/2012;19:00;18,3;71;0;8;0
05/09/2012;20:00;17,3;72,5;0;8;0
05/09/2012;21:00;16;73,5;0;10;0
05/09/2012;22:00;15,2;74,5;0;10;0
05/09/2012;23:00;13,9;77;0;10;0
06/09/2012;00:00;12,7;80,5;0;10;0
06/09/2012;01:00;11,9;82,5;0;10;0
06/09/2012;02:00;10,8;85,5;0;8;0
06/09/2012;03:00;9,9;87,5;0;7;0
06/09/2012;04:00;9,4;90;0;7;0
06/09/2012;05:00;9,7;91,5;0;5;10
06/09/2012;06:00;11,4;87;0;8;54
06/09/2012;07:00;14,3;79;0;11;108
06/09/2012;08:00;16,6;62,5;0;12;162
06/09/2012;09:00;19;54,5;0;13;210
