id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
1,1,MS,13,13.0,NA,NA,1131,113,1.0,180.361289882,329.382133672,655.997017721,935.430698794
1,4,T1,10,10.0,NA,NA,4101,410,1.0,412.234166454,568.431041268,753.914830109,1046.78397038
1,5,T2,9,5.59995018752,1150.0,1750.0,5060,509,NA,608.358849576,748.138784996,914.127458307,1176.21483722
1,6,T1.0,9,6.00408719784,1150.0,1750.0,6070,609,NA,608.358849576,748.138784996,914.127458307,1176.21483722
1,6,T3,9,5.59995018752,1150.0,1750.0,6060,609,NA,608.358849576,748.138784996,914.127458307,1176.21483722
1,10,T1.0.2,7,5.64643488242,1295.0,1895.0,10060,1007,NA,593.382427924,773.09948775,989.945511266,1326.91499844
1,10,T1.4,7,5.79947778671,1294.0,1894.0,10060,1007,NA,593.382427924,773.09948775,989.945511266,1326.91499844
2,1,MS,13,13.0,NA,NA,1131,113,1.0,166.686498417,315.707342206,642.322226255,921.755907328
2,4,T1,10,10.0,NA,NA,4101,410,1.0,398.559374989,554.756249802,740.240038643,1033.10917892
2,5,T2,10,7.26507605465,1232.0,1832.0,5080,510,NA,599.925805689,725.727747567,875.117553546,1110.99619457
2,6,T1.0,9,7.31526741651,1280.0,1880.0,6080,609,NA,594.684058111,734.46399353,900.452666841,1162.54004575
2,6,T3,9,7.07655696502,1279.0,1879.0,6080,609,NA,594.684058111,734.46399353,900.452666841,1162.54004575
2,7,T1.1,9,9.0,NA,NA,7091,709,1.0,392.051171871,565.603254998,771.69635371,1097.10650957
2,10,T1.0.2,7,6.46550014058,1387.0,1987.0,10070,1007,NA,579.707636459,759.424696284,976.2707198,1313.24020697
2,10,T1.4,7,6.52903190838,1387.0,1987.0,10070,1007,NA,579.707636459,759.424696284,976.2707198,1313.24020697
2,10,T2.3,7,6.5211872404,1386.0,1986.0,10070,1007,NA,579.707636459,759.424696284,976.2707198,1313.24020697
2,10,T3.2,7,6.36195618471,1386.0,1986.0,10070,1007,NA,579.707636459,759.424696284,976.2707198,1313.24020697
3,1,MS,13,13.0,NA,NA,1131,113,1.0,173.557344538,322.578188327,649.193072376,928.626753449
3,5,T2,10,6.50197177687,1172.0,1772.0,5070,510,NA,606.79665181,732.598593688,881.988399667,1117.86704069
3,6,T3,9,6.37831655085,1218.0,1818.0,6070,609,NA,601.554904232,741.334839651,907.323512962,1169.41089187
3,10,T2.3,7,6.19171118546,1344.0,1944.0,10070,1007,NA,586.57848258,766.295542405,983.141565921,1320.11105309
3,10,T7,7,6.08267616122,1344.0,1944.0,10070,1007,NA,586.57848258,766.295542405,983.141565921,1320.11105309
4,1,MS,12,12.0,NA,NA,1121,112,1.0,161.803701966,323.240739969,647.408008119,950.102454375
4,4,T1,10,10.0,NA,NA,4101,410,1.0,398.316080599,554.512955412,739.996744253,1032.86588453
4,5,T2,9,7.09945009336,1281.0,1881.0,5080,509,NA,594.440763721,734.220699141,900.209372451,1162.29675136
4,6,T1.0,8,7.00451867618,1336.0,1936.0,6080,608,NA,587.888579248,745.141006595,931.87826407,1226.72656535
4,10,T7,6,5.92340940224,1437.0,2037.0,10060,1006,NA,568.23202583,777.901928959,1139.77377052,1532.90483889
5,1,MS,13,13.0,NA,NA,1131,113,1.0,166.593856639,315.614700428,642.229584478,921.663265551
5,4,T1,10,10.0,NA,NA,4101,410,1.0,398.466733211,554.663608024,740.147396866,1033.01653714
5,6,T1.0,9,7.31526741651,1280.0,1880.0,6080,609,NA,594.591416333,734.371351753,900.360025064,1162.44740398
5,10,T1.0.2,6,5.91577835946,1436.0,2036.0,10060,1006,NA,568.382678442,778.052581571,1139.92442313,1533.0554915
5,10,T1.4,7,6.53687657635,1388.0,1988.0,10070,1007,NA,579.614994681,759.332054506,976.178078022,1313.14756519
5,10,T7,7,6.46550014058,1387.0,1987.0,10070,1007,NA,579.614994681,759.332054506,976.178078022,1313.14756519
6,1,MS,12,12.0,NA,NA,1121,112,1.0,161.039125312,322.476163315,646.643431465,949.337877721
6,4,T1,9,9.0,NA,NA,4091,409,1.0,391.043300827,564.595383954,770.688482666,1096.09863853
6,5,T2,9,7.21391573502,1291.0,1891.0,5080,509,NA,593.676187067,733.456122486,899.444795797,1161.53217471
6,6,T1.0,8,7.06727601998,1343.0,1943.0,6080,608,NA,587.124002594,744.376429941,931.113687416,1225.96198869
6,10,T2.3,6,5.95268512376,1440.0,2040.0,10060,1006,NA,567.467449176,777.137352305,1139.00919387,1532.14026224
7,1,MS,12,12.0,NA,NA,1121,112,1.0,168.209327119,329.646365122,653.813633273,956.508079528
7,4,T1,9,9.0,NA,NA,4091,409,1.0,398.213502635,571.765585761,777.858684473,1103.26884033
7,5,T2,8,6.36149592372,1286.0,1886.0,5070,508,NA,594.294204401,751.546631748,938.283889223,1233.1321905
7,6,T1.0,8,6.55625193475,1286.0,1886.0,6070,608,NA,594.294204401,751.546631748,938.283889223,1233.1321905
7,7,T2.0,8,8.0,NA,NA,7081,708,1.0,390.078248738,585.324342255,817.179078307,1183.26550365
7,10,T1.0.2,5,4.99976652502,1447.0,2047.0,10050,1005,NA,558.912408248,810.516292004,1511.66946515,1983.42674719
7,10,T1.4,6,5.744241089,1409.0,2009.0,10060,1006,NA,574.637650983,784.307554112,1146.17939567,1539.31046404
7,10,T2.3,6,5.73751708787,1408.0,2008.0,10060,1006,NA,574.637650983,784.307554112,1146.17939567,1539.31046404
7,10,T7,6,5.70210916169,1408.0,2008.0,10060,1006,NA,574.637650983,784.307554112,1146.17939567,1539.31046404
8,1,MS,13,13.0,NA,NA,1131,113,1.0,184.470666253,333.491510043,660.106394092,939.540075165
8,4,T1,10,10.0,NA,NA,4101,410,1.0,416.343542825,572.540417639,758.02420648,1050.89334676
8,5,T2,9,5.25655326251,1120.0,1720.0,5060,509,NA,612.468225948,752.248161367,918.236834678,1180.32421359
8,6,T1.0,9,5.70150714737,1120.0,1720.0,6060,609,NA,612.468225948,752.248161367,918.236834678,1180.32421359
8,6,T3,9,5.24510669835,1119.0,1719.0,6060,609,NA,612.468225948,752.248161367,918.236834678,1180.32421359
8,10,T1.0.2,7,5.23690225335,1249.0,1849.0,10060,1007,NA,597.491804295,777.208864121,994.054887637,1331.02437481
8,10,T1.4,7,5.44646772784,1249.0,1849.0,10060,1007,NA,597.491804295,777.208864121,994.054887637,1331.02437481
8,10,T2.3,7,5.44646772784,1249.0,1849.0,10060,1007,NA,597.491804295,777.208864121,994.054887637,1331.02437481
9,1,MS,13,13.0,NA,NA,1131,113,1.0,188.857422266,337.878266056,664.493150105,943.926831178
9,4,T1,10,10.0,NA,NA,4101,410,1.0,420.730298838,576.927173651,762.410962493,1055.28010277
9,5,T2,10,5.3573153602,1082.0,1682.0,5060,510,NA,622.096729538,747.898671416,897.288477396,1133.16711842
9,6,T1.0,9,5.48970111205,1099.0,1699.0,6060,609,NA,616.85498196,756.63491738,922.623590691,1184.7109696
