id_phen,index_rel_phytomer,dTT_em_phytomer,dTT_col_phytomer,dTT_sen_phytomer,dTT_del_phytomer
112,0.0,-100.898148752,-100.898148752,-69.2830216113,-69.2830216113
112,0.0833333333333,0.0,0.0,0.0,0.0
112,0.166666666667,100.898148752,100.898148752,69.2830216113,69.2830216113
112,0.25,201.796297504,201.796297504,138.566043223,138.566043223
112,0.333333333333,302.694446255,302.694446255,207.849064834,2035.98120736
112,0.416666666667,403.592595007,403.592595007,277.132086445,2035.98120736
112,0.5,504.490743759,504.490743759,414.708948646,2035.98120736
112,0.583333333333,605.388892511,605.388892511,682.65586271,2035.98120736
112,0.666666666667,706.287041263,706.287041263,944.410497822,2035.98120736
112,0.75,807.185190014,807.185190014,1146.39410648,2035.98120736
112,0.833333333333,908.083338766,908.083338766,1289.75035739,2035.98120736
112,0.916666666667,1008.98148752,1008.98148752,1399.41583306,2035.98120736
112,1.0,1109.87963627,1109.87963627,1488.74652262,2035.98120736
113,0.0,-93.1380273685,-93.1380273685,-63.9241200821,-63.9241200821
113,0.0769230769231,0.0,0.0,0.0,0.0
113,0.153846153846,93.1380273685,93.1380273685,63.9526341868,63.9526341868
113,0.230769230769,186.276054737,186.276054737,127.905268374,127.905268374
113,0.307692307692,279.414082106,279.414082106,191.85790256,191.85790256
113,0.384615384615,372.552109474,372.552109474,255.810536747,2064.57104879
113,0.461538461538,465.690136843,465.690136843,319.763170934,2064.57104879
113,0.538461538462,558.828164211,558.828164211,543.696841793,2064.57104879
113,0.615384615385,651.96619158,651.96619158,791.041444373,2064.57104879
113,0.692307692308,745.104218948,745.104218948,1019.8958122,2064.57104879
113,0.769230769231,838.242246317,838.242246317,1188.89840402,2064.57104879
113,0.846153846154,931.380273685,931.380273685,1313.6980732,2064.57104879
113,0.923076923077,1024.51830105,1024.51830105,1412.22359933,2064.57104879
113,1.0,1117.65632842,1117.65632842,1494.07559887,2064.57104879
409,0.0,-108.470051954,-108.470051954,-108.470051954,-108.470051954
409,0.111111111111,0.0,0.0,0.0,0.0
409,0.222222222222,108.470051954,108.470051954,108.470051954,108.470051954
409,0.333333333333,216.940103908,216.940103908,239.450941529,239.450941529
409,0.444444444444,325.410155862,325.410155862,480.717441752,1889.22044655
409,0.555555555556,433.880207816,433.880207816,733.810780678,1889.22044655
409,0.666666666667,542.350259769,542.350259769,977.104210162,1889.22044655
409,0.777777777778,650.820311723,650.820311723,1143.97919637,1889.22044655
409,0.888888888889,759.290363677,759.290363677,1266.8731052,1889.22044655
409,1.0,867.760415631,867.760415631,1364.70147142,1889.22044655
410,0.0,-97.6230467585,-97.6230467585,-97.6230467585,-97.6230467585
410,0.1,0.0,0.0,0.0,0.0
410,0.2,97.6230467585,97.6230467585,97.6230467585,97.6230467585
410,0.3,195.246093517,195.246093517,195.246093517,195.246093517
410,0.4,292.869140276,292.869140276,354.576185489,354.576185489
410,0.5,390.492187034,390.492187034,548.031869201,1953.2177772
410,0.6,488.115233793,488.115233793,765.267095745,1953.2177772
410,0.7,585.738280551,585.738280551,1008.56052523,1953.2177772
410,0.8,683.36132731,683.36132731,1175.43551144,1953.2177772
410,0.9,780.984374068,780.984374068,1298.32942026,1953.2177772
410,1.0,878.607420827,878.607420827,1396.15778648,1953.2177772
411,0.0,-88.7482243259,-88.7482243259,-88.7482243259,-88.7482243259
411,0.0909090909091,0.0,0.0,0.0,0.0
411,0.181818181818,88.7482243259,88.7482243259,88.7482243259,88.7482243259
411,0.272727272727,177.496448652,177.496448652,177.496448652,177.496448652
411,0.363636363636,266.244672978,266.244672978,274.846071784,274.846071784
411,0.454545454545,354.992897304,354.992897304,436.305906423,436.305906423
411,0.545454545455,443.74112163,443.74112163,597.765741061,2005.57922955
411,0.636363636364,532.489345955,532.489345955,791.004080799,2005.57922955
411,0.727272727273,621.237570281,621.237570281,1034.29751028,2005.57922955
411,0.818181818182,709.985794607,709.985794607,1201.17249649,2005.57922955
411,0.909090909091,798.734018933,798.734018933,1324.06640532,2005.57922955
411,1.0,887.482243259,887.482243259,1421.89477154,2005.57922955
508,0.0,-98.282767092,-98.282767092,-98.282767092,-98.282767092
508,0.125,0.0,0.0,0.0,0.0
508,0.25,98.282767092,98.282767092,158.130652874,158.130652874
508,0.375,196.565534184,196.565534184,354.1943439,354.1943439
508,0.5,294.848301276,294.848301276,573.385575928,1759.35709639
508,0.625,393.131068368,393.131068368,816.679005413,1759.35709639
508,0.75,491.41383546,491.41383546,983.55399162,1759.35709639
508,0.875,589.696602552,589.696602552,1106.44790045,1759.35709639
508,1.0,687.979369644,687.979369644,1204.27626667,1759.35709639
509,0.0,-87.3624596373,-87.3624596373,-87.3624596373,-87.3624596373
509,0.111111111111,0.0,0.0,0.0,0.0
509,0.222222222222,87.3624596373,87.3624596373,101.350523766,101.350523766
509,0.333333333333,174.724919275,174.724919275,258.28160741,258.28160741
509,0.444444444444,262.087378912,262.087378912,415.212691054,415.212691054
509,0.555555555556,349.449838549,349.449838549,605.054467547,1823.78691037
509,0.666666666667,436.812298186,436.812298186,848.347897031,1823.78691037
509,0.777777777778,524.174757824,524.174757824,1015.22288324,1823.78691037
509,0.888888888889,611.537217461,611.537217461,1138.11679207,1823.78691037
509,1.0,698.899677098,698.899677098,1235.94515829,1823.78691037
510,0.0,-78.6262136736,-78.6262136736,-78.6262136736,-78.6262136736
510,0.1,0.0,0.0,0.0,0.0
510,0.2,78.6262136736,78.6262136736,78.6262136736,78.6262136736
510,0.3,157.252427347,157.252427347,198.489857367,198.489857367
510,0.4,235.878641021,235.878641021,329.310315445,329.310315445
510,0.5,314.504854694,314.504854694,460.130773524,460.130773524
510,0.6,393.131068368,393.131068368,630.389580842,1875.33076155
510,0.7,471.757282041,471.757282041,873.683010326,1875.33076155
510,0.8,550.383495715,550.383495715,1040.55799653,1875.33076155
510,0.9,629.009709388,629.009709388,1163.45190536,1875.33076155
510,1.0,707.635923062,707.635923062,1261.28027158,1875.33076155
607,0.0,-112.323162391,-112.323162391,-115.755177364,-115.755177364
607,0.142857142857,0.0,0.0,0.0,0.0
607,0.285714285714,112.323162391,112.323162391,261.195971902,261.195971902
607,0.428571428571,224.646324782,224.646324782,529.236414588,529.236414588
607,0.571428571429,336.969487172,336.969487172,772.529844072,1673.08674915
607,0.714285714286,449.292649563,449.292649563,939.40483028,1673.08674915
607,0.857142857143,561.615811954,561.615811954,1062.29873911,1673.08674915
607,1.0,673.938974345,673.938974345,1160.12710533,1673.08674915
608,0.0,-98.282767092,-98.282767092,-98.282767092,-98.282767092
608,0.125,0.0,0.0,0.0,0.0
608,0.25,98.282767092,98.282767092,158.130652874,158.130652874
608,0.375,196.565534184,196.565534184,354.1943439,354.1943439
608,0.5,294.848301276,294.848301276,573.385575928,573.385575928
608,0.625,393.131068368,393.131068368,816.679005413,1759.35709639
608,0.75,491.41383546,491.41383546,983.55399162,1759.35709639
608,0.875,589.696602552,589.696602552,1106.44790045,1759.35709639
608,1.0,687.979369644,687.979369644,1204.27626667,1759.35709639
609,0.0,-87.3624596373,-87.3624596373,-87.3624596373,-87.3624596373
609,0.111111111111,0.0,0.0,0.0,0.0
609,0.222222222222,87.3624596373,87.3624596373,101.350523766,101.350523766
609,0.333333333333,174.724919275,174.724919275,258.28160741,258.28160741
609,0.444444444444,262.087378912,262.087378912,415.212691054,415.212691054
609,0.555555555556,349.449838549,349.449838549,605.054467547,605.054467547
609,0.666666666667,436.812298186,436.812298186,848.347897031,1823.78691037
609,0.777777777778,524.174757824,524.174757824,1015.22288324,1823.78691037
609,0.888888888889,611.537217461,611.537217461,1138.11679207,1823.78691037
609,1.0,698.899677098,698.899677098,1235.94515829,1823.78691037
707,0.0,-139.461495369,-139.461495369,-139.461495369,-139.461495369
707,0.142857142857,0.0,0.0,0.0,0.0
707,0.285714285714,139.461495369,139.461495369,213.984378289,213.984378289
707,0.428571428571,278.922990739,278.922990739,643.935594774,643.935594774
707,0.571428571429,418.384486108,418.384486108,887.229024258,887.229024258
707,0.714285714286,557.845981477,557.845981477,1054.10401047,1706.3709304
707,0.857142857143,697.307476846,697.307476846,1176.99791929,1706.3709304
707,1.0,836.768972216,836.768972216,1274.82628551,1706.3709304
708,0.0,-122.028808448,-122.028808448,-122.028808448,-122.028808448
708,0.125,0.0,0.0,0.0,0.0
708,0.25,122.028808448,122.028808448,122.028808448,122.028808448
708,0.375,244.057616896,244.057616896,381.996662273,381.996662273
708,0.5,366.086425344,366.086425344,694.490386845,694.490386845
708,0.625,488.115233793,488.115233793,937.783816329,937.783816329
708,0.75,610.144042241,610.144042241,1104.65880254,1809.22378323
708,0.875,732.172850689,732.172850689,1227.55271136,1809.22378323
708,1.0,854.201659137,854.201659137,1325.38107758,1809.22378323
709,0.0,-108.470051954,-108.470051954,-108.470051954,-108.470051954
709,0.111111111111,0.0,0.0,0.0,0.0
709,0.222222222222,108.470051954,108.470051954,108.470051954,108.470051954
709,0.333333333333,216.940103908,216.940103908,239.450941529,239.450941529
709,0.444444444444,325.410155862,325.410155862,480.717441752,480.717441752
709,0.555555555556,433.880207816,433.880207816,733.810780678,733.810780678
709,0.666666666667,542.350259769,542.350259769,977.104210162,977.104210162
709,0.777777777778,650.820311723,650.820311723,1143.97919637,1889.22044655
709,0.888888888889,759.290363677,759.290363677,1266.8731052,1889.22044655
709,1.0,867.760415631,867.760415631,1364.70147142,1889.22044655
1005,0.0,-157.252427347,-157.252427347,-559.625988536,-559.625988536
1005,0.2,0.0,0.0,0.0,0.0
1005,0.4,157.252427347,157.252427347,243.293429484,243.293429484
1005,0.6,314.504854694,314.504854694,410.168415692,410.168415692
1005,0.8,471.757282041,471.757282041,533.06232452,533.06232452
1005,1.0,629.009709388,629.009709388,630.89069074,630.89069074
1006,0.0,-131.043689456,-131.043689456,-243.932521052,-243.932521052
1006,0.166666666667,0.0,0.0,0.0,0.0
1006,0.333333333333,131.043689456,131.043689456,365.490069477,365.490069477
1006,0.5,262.087378912,262.087378912,608.783498961,608.783498961
1006,0.666666666667,393.131068368,393.131068368,775.658485169,775.658485169
1006,0.833333333333,524.174757824,524.174757824,898.552393996,898.552393996
1006,1.0,655.21844728,655.21844728,996.380760216,996.380760216
1007,0.0,-112.323162391,-112.323162391,-115.755177364,-115.755177364
1007,0.142857142857,0.0,0.0,0.0,0.0
1007,0.285714285714,112.323162391,112.323162391,261.195971902,261.195971902
1007,0.428571428571,224.646324782,224.646324782,529.236414588,529.236414588
1007,0.571428571429,336.969487172,336.969487172,772.529844072,772.529844072
1007,0.714285714286,449.292649563,449.292649563,939.40483028,939.40483028
1007,0.857142857143,561.615811954,561.615811954,1062.29873911,1062.29873911
1007,1.0,673.938974345,673.938974345,1160.12710533,1160.12710533
