Epos,axe_id,Gpo,numphy,Ll,LcIndex,SGv,Lv,LsenShrink,Lr,SGl,Esen,SEl,Ginc,TT,Gsen,L_shape,Gd,Laz,Linc,Slv,plant,El,SLsen,Lsen,Lpos,Lpo,Epo,SEsen,Lw_shape,Gv,Gl,SGsen,Ed,refplant_id,SLl,Einc,Gpos,LcType,Ev,SEv,ms_insertion
2.0,MS,1.0,1,0.0,20.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,9.446296296,0.158,94.2506340891,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.3803515,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0
2.0,MS,1.0,2,0.0,11.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,9.266666667,0.1833,183.437652995,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.373503448,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0
2.0,MS,1.0,3,0.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,8.029185185,0.2086,175.695786781,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.444632667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0
2.0,MS,1.0,4,0.0,12.0,2.86163288467,0.0,0.5,0.0,2.86163288467,0.0,0.0,0.0,1281.0,3.894339623,9.66518518501,0.2339,183.75272515,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.579264483001,3.894339623,3.894339623,2.86163288467,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0
2.0,MS,1.0,5,11.25962963,2.0,0.478819724563,11.25962963,0.5,0.0,3.64998365662,0.0,0.0,0.0,1281.0,0.650578597452,11.25962963,0.2592,178.520164751,1.0,5.54341713892,1,0.0,3.32319106691,11.25962963,2.0,1.0,1.0,0.0,0.750448148001,0.588013318009,4.48235294101,0.529766682654,0.0,1.0,6.64638213382,0.0,2.0,7.0,0.0,0.0,0.0
2.0,MS,1.0,6,12.32777778,17.0,2.08284921777,12.32777778,0.5,0.0,6.08910056926,0.0,0.0,0.0,1281.0,0.0,12.32777778,0.2845,182.286608729,1.0,7.97581931406,1,0.0,4.78137777323,12.32777778,2.0,1.0,1.0,0.0,0.986183528999,2.33037433198,6.81272727299,0.0,0.0,1.0,9.56275554647,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,7,14.07333333,20.0,3.53578927083,14.07333333,0.5,0.0,8.65457543907,0.0,0.0,0.0,1281.0,0.0,14.07333333,0.3098,185.513978032,1.0,11.981738652,1,1.55333333299,0.337392293051,2.04263465635,2.0,1.0,1.0,0.0,1.02,3.632913752,8.89230769199,0.0,0.0,1.0,11.2911365069,0.0,2.0,5.0,0.0,0.0,0.0
2.0,MS,1.0,8,17.25333333,13.0,5.4067975992,17.25333333,0.5,0.0,10.0883325947,0.0,0.899643227506,0.0,1281.0,0.0,17.25333333,0.3352,167.003444983,1.0,14.3853154615,1,4.44666666699,0.0,0.0,2.0,1.0,1.0,0.0,1.06,5.134358975,9.58,0.0,0.0643999999998,1.0,14.3853154615,0.0,2.0,4.0,0.0,0.0,0.0
2.0,MS,1.0,9,17.74666667,3.0,5.41999788176,17.74666667,0.5,0.0,11.457571671,0.0,1.78738826807,0.0,1281.0,0.0,17.74666667,0.3605,166.760334824,1.0,15.0758240336,1,4.24901684972,0.0,0.0,2.0,1.0,1.0,0.0,1.08,4.78568351972,10.11666667,0.0,0.1339,1.0,15.0758240336,0.0,2.0,3.0,0.0,0.0,0.0
2.0,MS,1.0,10,16.26444444,10.0,1.99706530393,16.26444444,0.5,0.0,13.4211728386,0.0,0.415740648895,0.0,1281.0,0.0,16.26444444,0.3858,204.883531197,1.0,14.0725380129,1,0.691041037241,0.0,0.0,2.0,1.0,1.0,0.0,1.1,1.64770769724,11.07333333,0.0,0.1915,1.0,14.0725380129,0.0,2.0,2.0,0.0,0.0,0.0
2.0,MS,1.0,11,10.73604651,0.0,0.0,4.59968175088,0.5,0.0,3.98667116584,0.0,0.0,0.0,1281.0,0.0,10.73604651,0.3858,187.495407094,0.428433478431,3.39712044868,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.2,0.0,3.28926087364,0.0,0.3,1.0,10.1336556456,0.0,2.0,1.0,0.0,0.0,0.0
4.0,MS,1.0,12,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.0,MS,1.0,13,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.0,MS,1.0,14,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.0,T1,1.0,1,0.0,11.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1281.0,0.0,9.06640900792,0.158,75.0,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.3803515,0.0,0.0,0.0,0.0,1.0,0.0,28.4310388507,2.0,9.0,0.0,0.0,1.0
2.0,T1,1.0,2,0.0,4.0,2.4630181442,0.0,0.5,0.0,2.4630181442,0.0,0.0,0.0,1281.0,4.20433315537,9.99425419866,0.186475,180.531298702,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.4828075625,4.20433315537,4.20433315537,2.4630181442,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0
2.0,T1,1.0,3,11.4548327722,18.0,1.00130424852,11.4548327722,0.5,0.0,3.84042879656,0.0,0.0,-14.5371461976,1281.0,3.50553685735,11.4548327722,0.21495,178.537079345,1.0,4.39818052424,1,0.0,2.63663979501,11.4548327722,2.0,1.0,1.0,0.0,0.585263625,1.48278688709,5.68712004247,2.36723765172,0.0,1.0,5.27327959002,0.0,2.0,7.0,0.0,0.0,1.0
