date;variety;image;point;x;y;slice;color;id;serie;ntop_lig
27/04/2011;Mercia;mercia_axe1.jpg;0;1456;3481;1;0;1;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;1;1432;3381;1;1;2;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;2;1416;3309;1;2;3;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;3;1420;3197;1;3;4;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;4;1428;3061;1;4;5;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;5;1428;2933;1;5;6;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;6;1432;2825;1;6;7;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;7;1436;2713;1;7;8;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;8;1428;2573;1;8;9;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;9;1428;2449;1;9;10;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;10;1432;2317;1;10;11;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;11;1440;2149;1;11;12;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;12;1432;2037;1;12;13;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;13;1424;1905;1;13;14;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;14;1432;1789;1;14;15;0;-999
27/04/2011;Mercia;mercia_axe1.jpg;15;1430;1647;1;15;16;1;0
27/04/2011;Mercia;mercia_axe1.jpg;16;1429;1595;1;16;17;1;0
27/04/2011;Mercia;mercia_axe1.jpg;17;1424;1523;1;17;18;1;0
27/04/2011;Mercia;mercia_axe1.jpg;18;1426;1460;1;18;19;1;0
27/04/2011;Mercia;mercia_axe1.jpg;19;1426;1398;1;19;20;1;0
27/04/2011;Mercia;mercia_axe1.jpg;20;1424;1314;1;20;21;1;0
27/04/2011;Mercia;mercia_axe1.jpg;21;1420;1240;1;21;22;1;0
27/04/2011;Mercia;mercia_axe1.jpg;22;1422;1184;1;22;23;1;0
27/04/2011;Mercia;mercia_axe1.jpg;23;1423;1772;1;23;24;2;1
27/04/2011;Mercia;mercia_axe1.jpg;24;1419;1702;1;24;25;2;1
27/04/2011;Mercia;mercia_axe1.jpg;25;1419;1596;1;25;26;2;1
27/04/2011;Mercia;mercia_axe1.jpg;26;1415;1462;1;26;27;2;1
27/04/2011;Mercia;mercia_axe1.jpg;27;1405;1322;1;27;28;2;1
27/04/2011;Mercia;mercia_axe1.jpg;28;1391;1176;1;28;29;2;1
27/04/2011;Mercia;mercia_axe1.jpg;29;1375;1034;1;29;30;2;1
27/04/2011;Mercia;mercia_axe1.jpg;30;1371;882;1;30;31;2;1
27/04/2011;Mercia;mercia_axe1.jpg;31;1363;710;1;31;32;2;1
27/04/2011;Mercia;mercia_axe1.jpg;32;1353;618;1;32;33;2;1
27/04/2011;Mercia;mercia_axe1.jpg;33;1335;532;1;33;34;2;1
27/04/2011;Mercia;mercia_axe1.jpg;34;1321;484;1;34;35;2;1
27/04/2011;Mercia;mercia_axe1.jpg;35;1435;2033;1;35;36;3;2
27/04/2011;Mercia;mercia_axe1.jpg;36;1445;1969;1;36;37;3;2
27/04/2011;Mercia;mercia_axe1.jpg;37;1461;1861;1;37;38;3;2
27/04/2011;Mercia;mercia_axe1.jpg;38;1479;1739;1;38;39;3;2
27/04/2011;Mercia;mercia_axe1.jpg;39;1509;1595;1;39;40;3;2
27/04/2011;Mercia;mercia_axe1.jpg;40;1533;1473;1;40;41;3;2
27/04/2011;Mercia;mercia_axe1.jpg;41;1555;1361;1;41;42;3;2
27/04/2011;Mercia;mercia_axe1.jpg;42;1575;1263;1;42;43;3;2
27/04/2011;Mercia;mercia_axe1.jpg;43;1591;1165;1;43;44;3;2
27/04/2011;Mercia;mercia_axe1.jpg;44;1615;1061;1;44;45;3;2
27/04/2011;Mercia;mercia_axe1.jpg;45;1641;989;1;45;46;3;2
27/04/2011;Mercia;mercia_axe1.jpg;46;1667;931;1;46;47;3;2
