Date	Var	Rep	N	Axis	Nff	MB	TC	T1	T2	T3	T4	T5	TP	TS	TT	TT3F	FT
1	Tremie13	1	1	MB	12	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	2	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	1	3	MB	11	1	NA	0	1	1	0	0	NA	0	NA	NA	NA
1	Tremie13	1	4	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	5	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	6	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	7	MB	12	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	1	8	MB	12	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	9	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	10	MB	12	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	11	MB	11	1	0	0	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	12	MB	12	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	1	13	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	1	14	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	1	15	MB	12	1	0	0	1	1	0	0	2	0	2	NA	NA
1	Tremie13	2	16	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	17	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	2	18	MB	12	1	NA	1	1	1	0	0	NA	0	NA	NA	NA
1	Tremie13	2	19	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	20	MB	12	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	2	21	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	22	MB	12	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	23	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	24	MB	12	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	25	MB	12	1	0	0	1	1	0	0	2	0	2	NA	NA
1	Tremie13	2	26	MB	11	1	0	0	1	0	0	0	1	0	1	NA	NA
1	Tremie13	2	27	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
1	Tremie13	2	28	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	29	MB	12	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	2	30	MB	12	1	0	0	1	0	0	0	1	0	1	NA	NA
1	Tremie13	3	31	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	32	MB	11	1	0	1	1	0	0	0	2	0	1	NA	NA
1	Tremie13	3	33	MB	11	1	NA	1	1	0	0	0	NA	0	NA	NA	NA
1	Tremie13	3	34	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	35	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	36	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	37	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	38	MB	11	1	0	0	0	0	0	0	0	0	0	NA	NA
1	Tremie13	3	39	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	40	MB	11	1	0	1	0	1	0	0	2	0	2	NA	NA
1	Tremie13	3	41	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	42	MB	11	1	0	0	1	0	0	0	1	0	1	NA	NA
1	Tremie13	3	43	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
1	Tremie13	3	44	MB	11	1	0	0	0	0	0	0	0	0	0	NA	NA
1	Tremie13	3	45	MB	11	1	0	0	1	0	0	0	1	0	1	NA	NA
2	Tremie13	1	1	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	2	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	3	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	4	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
2	Tremie13	1	5	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
2	Tremie13	1	6	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
2	Tremie13	1	7	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	8	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	9	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	10	MB	12	1	0	1	1	1	1	1	5	0	5	NA	NA
2	Tremie13	1	11	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	12	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	13	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	14	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	1	15	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	16	MB	11	1	0	1	1	0	0	0	2	0	2	NA	NA
2	Tremie13	2	17	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	18	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	19	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	20	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	21	MB	11	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	22	MB	12	1	0	1	1	0	1	0	3	0	3	NA	NA
2	Tremie13	2	23	MB	11	1	0	1	1	1	0	0	3	0	3	NA	NA
2	Tremie13	2	24	MB	12	1	0	1	1	1	1	0	4	0	4	NA	NA
2	Tremie13	2	25	MB	12	1	0	0	1	1	1	0	3	0	3	NA	NA
