,variety,HS,aire du plot,Nbr.plant.perplot,ThermalTime,LAI_tot,LAI_vert,PAI_tot,PAI_vert,Nbr.axe.tot.m2,Nbr.axe.actif.m2.old,number_of_active_axes_per_m2,TCgreen,TCsen,TCtot,TCgreen_57,TCsen_57,TCtot_57,Gapgreen,Gapsen,Gaptot,Gapgreen_57,Gapsen_57,Gaptot_57,LightPenetration_0,LightPenetration_5,LightPenetration_20,LightPenetration_25,LightInterception_0,LightInterception_5,LightInterception_20,LightInterception_25,rep
0,Mercia,2.76161950262,0.845454545455,200.0,400.0,0.197577112868,0.197577112868,0.223056795013,0.223056795013,376.129032258,202.258064516,333.548387097,0.0676253784389,0.0,0.0676253784389,0.144812626225,0.0,0.144812626225,0.932374621561,1.0,0.932374621561,0.855187373775,1.0,0.855187373775,0.8533155,0.926529,1.0001695,1.0000595,0.1466845,0.073471,-0.0001695,-5.95000000001e-05,0
1,Mercia,2.94712137871,0.845454545455,200.0,420.0,0.220561122325,0.220561122325,0.245672042149,0.245672042149,397.419354839,220.0,356.021505376,,,,,,,,,,,,,,,,,,,,,0
2,Mercia,3.13262325481,0.845454545455,200.0,440.0,0.252495932045,0.252495932045,0.277690431968,0.277690431968,435.268817204,319.35483871,409.247311828,,,,,,,,,,,,,,,,,,,,,0
3,Mercia,3.3181251309,0.845454545455,200.0,460.0,0.282235246105,0.282235246105,0.307806121454,0.307806121454,533.440860215,385.591397849,486.129032258,,,,,,,,,,,,,,,,,,,,,0
4,Mercia,3.50362700699,0.845454545455,200.0,480.0,0.307576895242,0.307576895242,0.333634643618,0.333634643618,548.817204301,404.516129032,500.322580645,,,,,,,,,,,,,,,,,,,,,0
5,Mercia,3.68912888308,0.845454545455,200.0,500.0,0.3353978586,0.3353978586,0.362634082412,0.362634082412,555.913978495,404.516129032,507.419354839,0.122416743451,0.0,0.122416743451,0.21796693844,0.0,0.21796693844,0.877583256549,1.0,0.877583256549,0.78203306156,1.0,0.78203306156,0.7806755,0.894571,1.0001695,1.0000595,0.2193245,0.105429,-0.0001695,-5.95000000001e-05,0
6,Mercia,3.87463075917,0.845454545455,200.0,520.0,0.369173656061,0.369173656061,0.397817222604,0.397817222604,571.290322581,442.365591398,529.892473118,,,,,,,,,,,,,,,,,,,,,0
7,Mercia,4.06013263526,0.845454545455,200.0,540.0,0.407809750335,0.407809750335,0.436765692325,0.436765692325,606.774193548,534.623655914,580.752688172,,,,,,,,,,,,,,,,,,,,,0
8,Mercia,4.24563451135,0.845454545455,200.0,560.0,0.447542402156,0.447542402156,0.476785022973,0.476785022973,606.774193548,573.655913978,586.666666667,,,,,,,,,,,,,,,,,,,,,0
9,Mercia,4.43113638744,0.845454545455,200.0,580.0,0.488222541664,0.488222541664,0.517942962331,0.517942962331,606.774193548,592.580645161,592.580645161,,,,,,,,,,,,,,,,,,,,,0
10,Mercia,4.61663826354,0.845454545455,200.0,600.0,0.531043470189,0.529670474563,0.561907975409,0.560534979782,686.021505376,587.849462366,587.849462366,0.182769514282,0.00111886270896,0.183888376991,0.306642232029,0.00123419851896,0.307876430548,0.817230485718,0.998881137291,0.816111623009,0.693357767971,0.998765801481,0.692123569452,0.698672,0.870078,1.0001695,1.0000595,0.301328,0.129922,-0.0001695,-5.95000000001e-05,0
11,Mercia,4.80214013963,0.845454545455,200.0,620.0,0.583993275812,0.575038363697,0.615927073644,0.60697216153,848.064516129,584.301075269,584.301075269,,,,,,,,,,,,,,,,,,,,,0
12,Mercia,4.98764201572,0.845454545455,200.0,640.0,0.666901897465,0.64462225063,0.699336571311,0.677056924476,889.462365591,702.580645161,702.580645161,,,,,,,,,,,,,,,,,,,,,0
13,Mercia,5.17314389181,0.845454545455,200.0,660.0,0.764005837336,0.72429833674,0.798321976792,0.758614476196,960.430107527,774.731182796,774.731182796,,,,,,,,,,,,,,,,,,,,,0
14,Mercia,5.3586457679,0.845454545455,200.0,680.0,0.859196700325,0.802143541411,0.89619155309,0.839138394176,960.430107527,766.451612903,766.451612903,,,,,,,,,,,,,,,,,,,,,0
15,Mercia,5.54414764399,0.845454545455,200.0,700.0,0.941033062091,0.863364040655,0.985128412535,0.907459391098,960.430107527,701.397849462,701.397849462,0.226734237199,0.0309332631302,0.257667500329,0.416224100531,0.0365023561972,0.452726456728,0.773265762801,0.96906673687,0.742332499671,0.583775899469,0.963497643803,0.547273543272,0.5937365,0.8267095,1.0001685,1.0000595,0.4062635,0.1732905,-0.0001685,-5.95000000001e-05,0
16,Mercia,5.72964952008,0.845454545455,200.0,720.0,1.01828619072,0.914350996631,1.06688006547,0.962944871378,960.430107527,642.258064516,642.258064516,,,,,,,,,,,,,,,,,,,,,0
17,Mercia,5.91515139617,0.845454545455,200.0,740.0,1.0891264855,0.956233936949,1.14238275422,1.00915871076,960.430107527,604.408602151,604.408602151,,,,,,,,,,,,,,,,,,,,,0
18,Mercia,6.10065327227,0.845454545455,200.0,760.0,1.1563790337,0.9940932579,1.21329917654,1.04806349117,960.430107527,583.11827957,583.11827957,,,,,,,,,,,,,,,,,,,,,0
19,Mercia,6.28615514836,0.845454545455,200.0,780.0,1.22260904451,1.02587980359,1.28549273577,1.08194782361,956.88172043,579.569892473,579.569892473,,,,,,,,,,,,,,,,,,,,,0
20,Mercia,6.47165702445,0.845454545455,200.0,800.0,1.30013658176,1.06705004633,1.36551016932,1.12080778613,953.333333333,577.204301075,577.204301075,0.244734763723,0.0798999605107,0.324634724233,0.479991024011,0.0813823023412,0.561373326352,0.755265236277,0.920100039489,0.675365275767,0.520008975989,0.918617697659,0.438626673648,0.5067255,0.7879575,1.0001685,1.0000595,0.4932745,0.2120425,-0.0001685,-5.95000000001e-05,0
21,Mercia,6.65715890054,0.845454545455,200.0,820.0,1.3918821586,1.1253822008,1.46205894466,1.17824587619,949.784946237,571.290322581,571.290322581,,,,,,,,,,,,,,,,,,,,,0
22,Mercia,6.84266077663,0.845454545455,200.0,840.0,1.48773208649,1.18881590125,1.57719898599,1.25736644977,940.322580645,567.741935484,567.741935484,,,,,,,,,,,,,,,,,,,,,0
23,Mercia,7.02816265272,0.845454545455,200.0,860.0,1.5847056076,1.243584408,1.69270395922,1.32852066352,934.408602151,565.376344086,565.376344086,,,,,,,,,,,,,,,,,,,,,0
24,Mercia,7.21366452881,0.845454545455,200.0,880.0,1.68235253899,1.298765653,1.80311128572,1.3951018424,928.494623656,561.827956989,561.827956989,,,,,,,,,,,,,,,,,,,,,0
25,Mercia,7.39916640491,0.845454545455,200.0,900.0,1.79148135297,1.3611090072,1.92164472556,1.4662192068,922.580645161,555.913978495,555.913978495,0.318908779781,0.112741871791,0.431650651573,0.612237265315,0.102027077568,0.714264342883,0.681091220219,0.887258128209,0.568349348427,0.387762734685,0.897972922432,0.285735657117,0.3814075,0.6041535,1.000168,1.0000585,0.6185925,0.3958465,-0.000168,-5.85e-05,0
26,Mercia,7.584668281,0.845454545455,200.0,920.0,1.92220080118,1.43330523722,2.05706642209,1.54240583061,916.666666667,552.365591398,552.365591398,,,,,,,,,,,,,,,,,,,,,0
27,Mercia,7.77017015709,0.845454545455,200.0,940.0,2.07398176762,1.51524182808,2.22709480366,1.64107475654,910.752688172,550.0,550.0,,,,,,,,,,,,,,,,,,,,,0
28,Mercia,7.95567203318,0.845454545455,200.0,960.0,2.22773314649,1.58741640464,2.42431231935,1.75623122951,904.838709677,546.451612903,546.451612903,,,,,,,,,,,,,,,,,,,,,0
29,Mercia,8.14117390927,0.845454545455,200.0,980.0,2.36159748521,1.66152819659,2.5854516111,1.85759526626,898.924731183,544.086021505,544.086021505,,,,,,,,,,,,,,,,,,,,,0
30,Mercia,8.32667578536,0.845454545455,200.0,1000.0,2.48720095609,1.75091588501,2.72545604131,1.96122321908,893.010752688,539.35483871,539.35483871,0.443991049098,0.132683954192,0.576675003291,0.74440870671,0.102176677388,0.846585384098,0.556008950902,0.867316045808,0.423324996709,0.25559129329,0.897823322612,0.153414615902,0.2459185,0.3801485,0.9792715,1.0000585,0.7540815,0.6198515,0.0207285,-5.85e-05,0
31,Mercia,8.51217766145,0.845454545455,200.0,1020.0,2.66269632251,1.86942107254,2.90584515638,2.08445642014,881.182795699,536.989247312,536.989247312,,,,,,,,,,,,,,,,,,,,,0
32,Mercia,8.69767953754,0.845454545455,200.0,1040.0,2.8828645709,2.04379913048,3.13736083177,2.26957001772,878.817204301,529.892473118,529.892473118,,,,,,,,,,,,,,,,,,,,,0
33,Mercia,8.88318141364,0.845454545455,200.0,1060.0,3.07551795975,2.24491765898,3.37219800253,2.50773703624,872.903225806,526.344086022,526.344086022,,,,,,,,,,,,,,,,,,,,,0
34,Mercia,9.06868328973,0.845454545455,200.0,1080.0,3.25546564713,2.41999002647,3.592227512,2.71706494047,868.172043011,519.247311828,519.247311828,,,,,,,,,,,,,,,,,,,,,0
35,Mercia,9.25418516582,0.845454545455,200.0,1100.0,3.44613743043,2.58452329265,3.79815357682,2.89383379834,862.258064516,515.698924731,515.698924731,0.570619981572,0.113827826774,0.684447808345,0.859595959596,0.0548447437336,0.91444070333,0.429380018428,0.886172173226,0.315552191655,0.140404040404,0.945155256266,0.0855592966704,0.1543815,0.2316815,0.737495,0.918114,0.8456185,0.7683185,0.262505,0.081886,0
36,Mercia,9.43968704191,0.845454545455,200.0,1120.0,3.65783931751,2.76841640359,4.01743903972,3.08083419063,856.344086022,512.150537634,512.150537634,,,,,,,,,,,,,,,,,,,,,0
37,Mercia,9.625188918,0.845454545455,200.0,1140.0,3.86670884396,2.99752279613,4.27082154614,3.34040397448,850.430107527,503.870967742,503.870967742,,,,,,,,,,,,,,,,,,,,,0
38,Mercia,9.81069079409,0.845454545455,200.0,1160.0,4.10895776113,3.25590680511,4.54969264258,3.62785472596,858.709677419,501.505376344,501.505376344,,,,,,,,,,,,,,,,,,,,,0
39,Mercia,9.99619267018,0.845454545455,200.0,1180.0,4.35307180466,3.47552688809,4.82324080238,3.87479859278,850.430107527,495.591397849,495.591397849,,,,,,,,,,,,,,,,,,,,,0
40,Mercia,10.1816945463,0.845454545455,200.0,1200.0,4.54456074711,3.6441667989,5.06085698537,4.08437777277,844.516129032,495.591397849,495.591397849,0.655850993813,0.105140186916,0.760991180729,0.923201628714,0.0285401900166,0.95174181873,0.344149006187,0.894859813084,0.239008819271,0.0767983712864,0.971459809983,0.0482581812698,0.0980325,0.1399725,0.4039795,0.5650105,0.9019675,0.8600275,0.5960205,0.4349895,0
41,Mercia,10.3671964224,0.845454545455,200.0,1220.0,4.71606281985,3.82215421517,5.28913552157,4.30455921077,840.967741935,476.666666667,476.666666667,,,,,,,,,,,,,,,,,,,,,0
42,Mercia,10.5526982985,0.845454545455,200.0,1240.0,4.92871914,4.0391222016,5.54316135852,4.55814422641,830.322580645,471.935483871,471.935483871,,,,,,,,,,,,,,,,,,,,,0
43,Mercia,10.7382001745,0.845454545455,200.0,1260.0,5.08829645381,4.28897854819,5.75148678934,4.85416159781,774.731182796,499.139784946,499.139784946,,,,,,,,,,,,,,,,,,,,,0
44,Mercia,10.9237020506,0.845454545455,200.0,1280.0,5.22816348865,4.52314632309,5.9427082578,5.13879303789,701.397849462,496.774193548,496.774193548,,,,,,,,,,,,,,,,,,,,,0
45,Mercia,11.1092039267,0.845454545455,200.0,1300.0,5.34751997207,4.65885852408,6.1172603784,5.33386106796,650.537634409,496.774193548,496.774193548,0.711497959721,0.0913518494142,0.802849809135,0.96391946916,0.0109334941939,0.974852963354,0.288502040279,0.908648150586,0.197150190865,0.03608053084,0.989066505806,0.0251470366461,0.0694065,0.0877705,0.216278,0.2681075,0.9305935,0.9122295,0.783722,0.7318925,0
46,Mercia,11.2947058028,0.845454545455,200.0,1320.0,5.47420349667,4.75743117537,6.3105734125,5.50406976556,593.76344086,496.774193548,496.774193548,,,,,,,,,,,,,,,,,,,,,0
47,Mercia,11.4802076789,0.845454545455,200.0,1340.0,5.6013885852,4.85811878064,6.50093819464,5.6745874215,538.172043011,483.76344086,483.76344086,,,,,,,,,,,,,,,,,,,,,0
48,Mercia,11.665709555,0.845454545455,200.0,1360.0,5.65198799838,4.93782935331,6.60342713694,5.82302562766,482.580645161,445.913978495,445.913978495,,,,,,,,,,,,,,,,,,,,,0
