date;var;TT;TT_depuis_montaison_811,4;rep;N;Axis;Nflig;Nfvis;nff;length_F1;length_F2;length_F3;length_F4;length_F5;length_F6;length_F7;length_F8;length_F9;length_F10;length_F11;length_F12;sen_F6;sen_F7;sen_F8;sen_F9;sen_F10;sen_F11;sen_F12;HS;SSI
13/02/2013;Tremie;565,8;-245,6;1;2;MB;4;1;11;;8,0;9,6;9,8;5,2;;;;;;;;0;0;0;0;0;0;0;4,540222241;0
13/02/2013;Tremie;565,8;-245,6;1;3;MB;4;1;11;6,7;7,8;;10,1;;;;;;;;;0;0;0;0;0;0;0;;0,1
13/02/2013;Tremie;565,8;-245,6;1;4;MB;4;1;11;5,5;7,0;8,1;;6,2;;;;;;;;0;0;0;0;0;0;0;4,75959142;0
13/02/2013;Tremie;565,8;-245,6;1;5;MB;4;2;11;;6,0;8,0;8,7;7,1;;;;;;;;0;0;0;0;0;0;0;4,895330825;0,6
13/02/2013;Tremie;565,8;-245,6;1;6;MB;4;2;11;4,5;6,0;7,5;8,7;7,9;;;;;;;;0;0;0;0;0;0;0;5,061487387;0
13/02/2013;Tremie;565,8;-245,6;1;9;MB;4;1;11;5,5;6,6;8,2;;6,3;;;;;;;;0;0;0;0;0;0;0;4,783908176;0,2
13/02/2013;Tremie;565,8;-245,6;1;11;MB;4;1;11;7,0;7,8;10,7;;6,2;;;;;;;;0;0;0;0;0;0;0;4,615180026;0,1
13/02/2013;Tremie;565,8;-245,6;1;13;MB;4;1;11;6,6;7,4;;9,5;5,0;;;;;;;;0;0;0;0;0;0;0;4,542188262;0,3
13/02/2013;Tremie;565,8;-245,6;1;14;MB;4;1;11;7,0;8,5;9,3;10,3;4,3;;;;;;;;0;0;0;0;0;0;0;4,432712026;0,1
13/02/2013;Tremie;565,8;-245,6;2;16;MB;4;1;11;7,7;9,0;;11,3;4,3;;;;;;;;0;0;0;0;0;0;0;4,391773886;0,1
13/02/2013;Tremie;565,8;-245,6;2;17;MB;4;1;11;;;8,2;7,8;3,7;;;;;;;;0;0;0;0;0;0;0;4,464249897;0
13/02/2013;Tremie;565,8;-245,6;2;19;MB;4;1;11;;8,7;9,6;;4,8;;;;;;;;0;0;0;0;0;0;0;4,477384181;0
13/02/2013;Tremie;565,8;-245,6;2;21;MB;4;1;11;6,7;8,0;9,5;;4,2;;;;;;;;0;0;0;0;0;0;0;4,437275348;0
13/02/2013;Tremie;565,8;-245,6;2;23;MB;4;1;11;;8,0;;10,0;5,3;;;;;;;;0;0;0;0;0;0;0;4,547493071;0
13/02/2013;Tremie;565,8;-245,6;2;26;MB;3;2;11;;10,0;11,0;11,0;3,0;;;;;;;;0;0;0;0;0;0;0;3,26592113;0
13/02/2013;Tremie;565,8;-245,6;2;27;MB;4;1;11;6,7;8,0;9,7;9,8;5,2;;;;;;;;0;0;0;0;0;0;0;4,538569082;0,1
13/02/2013;Tremie;565,8;-245,6;2;28;MB;4;1;11;7,8;9,0;;;3,6;;;;;;;;0;0;0;0;0;0;0;4,327313284;0
13/02/2013;Tremie;565,8;-245,6;3;31;MB;4;1;11;7,4;9,6;11,0;10,8;5,2;;;;;;;;0;0;0;0;0;0;0;4,474503656;0,2
13/02/2013;Tremie;565,8;-245,6;3;32;MB;4;1;11;6,9;7,4;9,0;9,7;5,2;;;;;;;;0;0;0;0;0;0;0;4,556346037;0,2
13/02/2013;Tremie;565,8;-245,6;3;33;MB;4;1;11;7,3;;10,0;10,0;4,6;;;;;;;;0;0;0;0;0;0;0;4,453594027;0
13/02/2013;Tremie;565,8;-245,6;3;34;MB;4;1;11;6,5;8,2;;;7,7;;;;;;;;0;0;0;0;0;0;0;4,803437164;0
13/02/2013;Tremie;565,8;-245,6;3;35;MB;3;2;11;7,0;10,0;11,5;11,8;3,0;;;;;;;;0;0;0;0;0;0;0;3,265357502;0,15
13/02/2013;Tremie;565,8;-245,6;3;36;MB;4;1;11;;8,5;10,3;;5,7;;;;;;;;0;0;0;0;0;0;0;4,554347388;0,2
13/02/2013;Tremie;565,8;-245,6;3;37;MB;3;2;11;9,5;6,8;10,5;10,5;2,0;;;;;;;;0;0;0;0;0;0;0;3,187282344;0,1
13/02/2013;Tremie;565,8;-245,6;3;38;MB;3;2;11;;8,1;8,8;9,0;1,6;;;;;;;;0;0;0;0;0;0;0;3,175238702;0
13/02/2013;Tremie;565,8;-245,6;3;39;MB;4;1;11;;9,8;11,5;11,5;3,8;;;;;;;;0;0;0;0;0;0;0;4,32947261;0,15
13/02/2013;Tremie;565,8;-245,6;3;40;MB;4;1;11;;8,5;11,5;11,5;4,1;;;;;;;;0;0;0;0;0;0;0;4,372196123;0,35
13/02/2013;Tremie;565,8;-245,6;3;41;MB;4;1;11;;9,6;;11,0;3,5;;;;;;;;0;0;0;0;0;0;0;4,314561915;0
13/02/2013;Tremie;565,8;-245,6;3;42;MB;4;1;11;5,5;8,4;9,3;10,0;3,7;;;;;;;;0;0;0;0;0;0;0;4,398263021;0,2
13/02/2013;Tremie;565,8;-245,6;3;43;MB;3;2;11;;9,3;;;;;;;;;;;0;0;0;0;0;0;0;;0,15
13/02/2013;Tremie;565,8;-245,6;3;44;MB;3;2;11;;8,0;10,0;9,5;2,0;;;;;;;;0;0;0;0;0;0;0;3,207081723;0
13/02/2013;Tremie;565,8;-245,6;3;45;MB;4;1;11;;8,4;;;5,5;;;;;;;;0;0;0;0;0;0;0;4,547862002;0,1
13/02/2013;Tremie;565,8;-245,6;1;1;MB;4;1;12;;8,2;;;7,5;;;;;;;;0;0;0;0;0;0;0;4,718641115;0
13/02/2013;Tremie;565,8;-245,6;1;7;MB;4;1;12;;8,0;;;6,3;;;;;;;;0;0;0;0;0;0;0;4,61875;0
13/02/2013;Tremie;565,8;-245,6;1;8;MB;4;1;12;;;;8,4;7,0;;;;;;;;0;0;0;0;0;0;0;4,739795918;0,5
13/02/2013;Tremie;565,8;-245,6;1;10;MB;4;1;12;;8,0;9,4;;6,5;;;;;;;;0;0;0;0;0;0;0;4,629539952;0,2
13/02/2013;Tremie;565,8;-245,6;1;12;MB;4;1;12;5,3;6,6;8,0;8,0;4,8;;;;;;;;0;0;0;0;0;0;0;4,548928203;0,3
13/02/2013;Tremie;565,8;-245,6;1;15;MB;4;1;12;7,0;8,2;9,4;9,4;4,5;;;;;;;;0;0;0;0;0;0;0;4,419322526;0,4
13/02/2013;Tremie;565,8;-245,6;2;18;MB;4;1;12;4,0;5,0;6,5;8,1;5,8;;;;;;;;0;0;0;0;0;0;0;4,792898257;0,1
13/02/2013;Tremie;565,8;-245,6;2;20;MB;4;1;12;6,5;8,2;;;6,1;;;;;;;;0;0;0;0;0;0;0;4,579489025;0
13/02/2013;Tremie;565,8;-245,6;2;22;MB;4;1;12;;;8,5;8,9;3,2;;;;;;;;0;0;0;0;0;0;0;4,328353368;0
13/02/2013;Tremie;565,8;-245,6;2;24;MB;4;1;12;;;9,8;;4,2;;;;;;;;0;0;0;0;0;0;0;4,38483965;0
13/02/2013;Tremie;565,8;-245,6;2;25;MB;4;1;12;6,6;8,8;10,4;10,1;4,9;;;;;;;;0;0;0;0;0;0;0;4,43614843;0,1
13/02/2013;Tremie;565,8;-245,6;2;29;MB;4;1;12;6,6;8,0;;;4,7;;;;;;;;0;0;0;0;0;0;0;4,448434383;0,1
13/02/2013;Tremie;565,8;-245,6;2;30;MB;4;1;12;;;8,5;8,1;4,2;;;;;;;;0;0;0;0;0;0;0;4,451854694;0
02/04/2013;Tremie;750,2;-61,2;1;2;MB;;;11;;;;;;;;;;;;;0;0;0;0;0;0;0;;4,1
02/04/2013;Tremie;750,2;-61,2;1;3;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,55
02/04/2013;Tremie;750,2;-61,2;1;4;MB;;;11;;;;;;;;;;;;;10;;0;0;0;0;0;;3,1
02/04/2013;Tremie;750,2;-61,2;1;5;MB;;;11;;;;;;;;;;;;;0;;0;0;0;0;0;;3,05
02/04/2013;Tremie;750,2;-61,2;1;6;MB;;;11;;;;;;;;;;;;;10;;0;0;0;0;0;;3,9
02/04/2013;Tremie;750,2;-61,2;1;9;MB;;;11;;;;;;;;;;;;;0;0;0;0;0;0;0;;4,1
02/04/2013;Tremie;750,2;-61,2;1;11;MB;;;11;;;;;;;;;;;;;10;0;0;0;0;0;0;;4,05
02/04/2013;Tremie;750,2;-61,2;1;13;MB;;;11;;;;;;;;;;;;;0;0;0;0;0;0;0;;4
