image;date;pcent_veg;PAI;variety
09032012-D57-Temoin-B1-R1;09/03/2012;63,79;1,09;Tremie12
09032012-D57-Temoin-B1-R3;09/03/2012;52,56;0,8;Tremie12
09032012-D57-Temoin-B2-R2;09/03/2012;61,23;1,02;Tremie12
09032012-D57-Temoin-B2-R4;09/03/2012;63,59;1,09;Tremie12
09032012-D57-Temoin-B3-R2;09/03/2012;70,08;1,3;Tremie12
09032012-D57-Temoin-B3-R4;09/03/2012;55,71;0,88;Tremie12
09032012-D57-Temoin-B4-R1;09/03/2012;49,53;0,74;Tremie12
09032012-D57-Temoin-B4-R2;09/03/2012;57,86;0,93;Tremie12
09032012-D57-Temoin-B4-R5;09/03/2012;55,4;0,87;Tremie12
09032012-D57-Temoin-B4-R6;09/03/2012;63,53;1,08;Tremie12
09032012-D57-Temoin-B4-R7;09/03/2012;57,56;0,92;Tremie12
09032012-D57-Temoin-B4-R8;09/03/2012;67,8;1,22;Tremie12
09032012-D57-Temoin-B4-R9;09/03/2012;68,13;1,23;Tremie12
11042012-D57-Temoin-B1-R1;11/04/2012;96,62;3,64;Tremie12
11042012-D57-Temoin-B1-R2;11/04/2012;95,97;3,45;Tremie12
11042012-D57-Temoin-B1-R3;11/04/2012;97,07;3,8;Tremie12
11042012-D57-Temoin-B1-R4;11/04/2012;97,04;3,79;Tremie12
11042012-D57-Temoin-B2-R1;11/04/2012;99,5;5,69;Tremie12
11042012-D57-Temoin-B2-R2;11/04/2012;97,5;3,97;Tremie12
11042012-D57-Temoin-B2-R3;11/04/2012;97,2;3,84;Tremie12
11042012-D57-Temoin-B2-R4;11/04/2012;98,26;4,35;Tremie12
11042012-D57-Temoin-B2-R5;11/04/2012;98,19;4,31;Tremie12
11042012-D57-Temoin-B3-R1;11/04/2012;98,91;4,85;Tremie12
11042012-D57-Temoin-B3-R2;11/04/2012;99,17;5,15;Tremie12
11042012-D57-Temoin-B3-R3;11/04/2012;97,95;4,18;Tremie12
11042012-D57-Temoin-B3-R4;11/04/2012;98,58;4,57;Tremie12
11042012-D57-Temoin-B3-R5;11/04/2012;98,51;4,52;Tremie12
09052012-D57-Bloc1-Mod1-R4;09/05/2012;97,18;3,84;Tremie12
09052012-D57-Bloc1-Mod1-R1;09/05/2012;97,52;3,98;Tremie12
09052012-D57-Bloc1-Mod1-R2;09/05/2012;97,98;4,2;Tremie12
09052012-D57-Bloc2-Mod1-R1;09/05/2012;98,03;4,22;Tremie12
09052012-D57-Bloc2-Mod1-R2;09/05/2012;97,45;3,95;Tremie12
09052012-D57-Bloc2-Mod1-R3;09/05/2012;97,54;3,99;Tremie12
09052012-D57-Bloc2-Mod1-R4;09/05/2012;98,53;4,54;Tremie12
09052012-D57-Bloc3-Mod1-R1;09/05/2012;98,32;4,39;Tremie12
09032012-D57-Ref-B1-R2;09/03/2012;62,86;1,06;Tremie12
09032012-D57-Ref-B1-R4;09/03/2012;54,79;0,85;Tremie12
11042012-D57-Ref-B1-R1;11/04/2012;97,6;4,01;Tremie12
11042012-D57-Ref-B1-R2;11/04/2012;99,06;5,02;Tremie12
11042012-D57-Ref-B1-R3;11/04/2012;98,27;4,36;Tremie12
11042012-D57-Ref-B1-R4;11/04/2012;97,21;3,85;Tremie12
11042012-D57-Ref-B2-R1;11/04/2012;97,73;4,07;Tremie12
11042012-D57-Ref-B2-R2;11/04/2012;95,95;3,45;Tremie12
11042012-D57-Ref-B2-R3;11/04/2012;93,55;2,95;Tremie12
11042012-D57-Ref-B2-R4;11/04/2012;96,6;3,64;Tremie12
11042012-D57-Ref-B3-R1;11/04/2012;97,94;4,17;Tremie12
11042012-D57-Ref-B3-R2;11/04/2012;97,85;4,13;Tremie12
11042012-D57-Ref-B3-R3;11/04/2012;95,96;3,45;Tremie12
11042012-D57-Ref-B3-R4;11/04/2012;94,19;3,06;Tremie12
09052012-D57-Bloc1-Mod2-R1;09/05/2012;98,92;4,87;Tremie12
09052012-D57-Bloc1-Mod2-R2;09/05/2012;98,78;4,74;Tremie12
09052012-D57-Bloc1-Mod2-R3;09/05/2012;98,63;4,61;Tremie12
09052012-D57-Bloc1-Mod2-R4;09/05/2012;98,36;4,42;Tremie12
09052012-D57-Bloc2-Mod2-R1;09/05/2012;98,49;4,51;Tremie12
09052012-D57-Bloc2-Mod2-R2;09/05/2012;97,65;4,03;Tremie12
09052012-D57-Bloc2-Mod2-R3;09/05/2012;97,61;4,01;Tremie12
09052012-D57-Bloc2-Mod2-R4;09/05/2012;98,53;4,54;Tremie12
09052012-D57-Bloc3-Mod2-R1;09/05/2012;98,52;4,53;Tremie12
09052012-D57-Bloc3-Mod2-R2;09/05/2012;98,13;4,28;Tremie12
09052012-D57-Bloc3-Mod2-R3;09/05/2012;99,39;5,49;Tremie12
09052012-D57-Bloc3-Mod2-R4;09/05/2012;99,58;5,9;Tremie12
09052012-D57-Bloc1-Mod3-R1;09/05/2012;97,95;4,18;Tremie12
09052012-D57-Bloc1-Mod3-R2;09/05/2012;98,04;4,23;Tremie12
09052012-D57-Bloc1-Mod3-R3;09/05/2012;98,22;4,33;Tremie12
09052012-D57-Bloc1-Mod3-R4;09/05/2012;97,61;4,02;Tremie12
09052012-D57-Bloc2-Mod3-R1;09/05/2012;97,74;4,08;Tremie12
09052012-D57-Bloc2-Mod3-R2;09/05/2012;98,23;4,34;Tremie12
09052012-D57-Bloc2-Mod3-R3;09/05/2012;97,17;3,83;Tremie12
09052012-D57-Bloc2-Mod3-R4;09/05/2012;97,88;4,14;Tremie12
09052012-D57-Bloc1-Mod4-R1;09/05/2012;96,5;3,61;Tremie12
09052012-D57-Bloc1-Mod4-R2;09/05/2012;97,12;3,82;Tremie12
09052012-D57-Bloc1-Mod4-R3;09/05/2012;95,71;3,39;Tremie12
09052012-D57-Bloc1-Mod4-R4;09/05/2012;95,7;3,38;Tremie12
09052012-D57-Bloc1-Mod4-R5;09/05/2012;96,26;3,53;Tremie12
09052012-D57-Bloc2-Mod4-R1;09/05/2012;97,73;4,07;Tremie12
09052012-D57-Bloc2-Mod4-R2;09/05/2012;98,29;4,37;Tremie12
09052012-D57-Bloc2-Mod4-R3;09/05/2012;98,06;4,24;Tremie12
09052012-D57-Bloc2-Mod4-R4;09/05/2012;97,67;4,04;Tremie12
09052012-D57-Bloc2-Mod4-R5;09/05/2012;98,02;4,22;Tremie12
09052012-D57-Bloc1-Mod5-R1;09/05/2012;97,67;4,04;Tremie12
09052012-D57-Bloc1-Mod5-R2;09/05/2012;98,18;4,31;Tremie12
09052012-D57-Bloc1-Mod5-R3;09/05/2012;98,67;4,65;Tremie12
09052012-D57-Bloc1-Mod5-R4;09/05/2012;98,19;4,31;Tremie12
09052012-D57-Bloc2-Mod5-R1;09/05/2012;96,99;3,77;Tremie12
09052012-D57-Bloc2-Mod5-R2;09/05/2012;97,02;3,78;Tremie12
09052012-D57-Bloc2-Mod5-R3;09/05/2012;97,88;4,14;Tremie12
09052012-D57-Bloc2-Mod5-R4;09/05/2012;98,7;4,67;Tremie12
09052012-D57-Bloc1-Mod6-R1;09/05/2012;97,44;3,94;Tremie12
09052012-D57-Bloc1-Mod6-R2;09/05/2012;97,34;3,9;Tremie12
09052012-D57-Bloc1-Mod6-R3;09/05/2012;96,9;3,73;Tremie12
09052012-D57-Bloc1-Mod6-R4;09/05/2012;96,79;3,7;Tremie12
09052012-D57-Bloc1-Mod6-R5;09/05/2012;97,18;3,84;Tremie12
