nff;rank;ranktop;HS;TTem;TTlig
11;1;11;253.11951648648;135.063004241509;280.36332700455
11;2;10;343.932218213381;225.87570596841;371.176028731451
11;3;9;434.744919940282;316.688407695311;461.988730458352
11;4;8;525.557621667183;407.501109422212;552.801432185253
11;5;7;616.370323394083;498.313811149112;643.614133912154
11;6;6;707.183025120984;589.126512876013;734.426835639054
11;7;5;797.995726847885;679.939214602914;825.239537365955
11;8;4;888.808428574786;770.751916329815;916.052239092856
11;9;3;979.621130301687;861.564618056716;1006.86494081976
11;10;2;1070.43383202859;952.377319783616;1097.67764254666
11;11;1;1161.24653375549;1043.19002151052;1188.49034427356
12;1;12;258.526518316287;147.834258109789;284.070886056248
12;2;11;343.674410782823;232.982150576325;369.218778522784
12;3;10;428.82230324936;318.130043042862;454.366670989321
12;4;9;513.970195715897;403.277935509399;539.514563455858
12;5;8;599.118088182434;488.425827975936;624.662455922395
12;6;7;684.265980648971;573.573720442473;709.810348388932
12;7;6;769.413873115508;658.72161290901;794.958240855469
12;8;5;854.561765582045;743.869505375547;880.106133322006
12;9;4;939.709658048581;829.017397842083;965.254025788542
12;10;3;1024.85755051512;914.16529030862;1050.40191825508
12;11;2;1110.00544298166;999.313182775157;1135.54981072162
12;12;1;1195.15333544819;1084.46107524169;1220.69770318815
