variety;date;bloc;plant;num_leaf_bottom;num_leaf_top;green;septo_green;necro;ratio_septo_necro;other;observations ;data_set
tremis;04/02/2012;1;1;1;12;0;;100;;;;tagged
tremis;04/02/2012;1;2;1;12;0;;100;;;;tagged
tremis;04/02/2012;1;3;1;12;0;;100;;;;tagged
tremis;04/02/2012;1;4;1;13;0;;100;;;;tagged
tremis;04/02/2012;1;5;1;13;0;;100;;;;tagged
tremis;04/02/2012;1;6;1;13;0;;100;;;;tagged
tremis;04/02/2012;1;7;1;13;0;;100;;;;tagged
tremis;04/02/2012;1;8;1;12;0;;100;;;;tagged
tremis;04/02/2012;1;9;1;13;0;;100;;;;tagged
tremis;04/02/2012;1;10;1;13;0;;100;;;;tagged
tremis;04/02/2012;2;11;1;13;0;;100;;;;tagged
tremis;04/02/2012;2;12;1;12;0;;100;;;;tagged
tremis;04/02/2012;2;13;1;12;0;;100;;;;tagged
tremis;04/02/2012;2;14;1;12;0;;100;;;;tagged
tremis;04/02/2012;2;15;1;12;0;;100;;;;tagged
tremis;04/02/2012;2;16;1;12;0;;100;;;;tagged
tremis;04/02/2012;2;17;1;13;0;;100;;;;tagged
tremis;04/02/2012;2;18;1;13;0;;100;;;;tagged
tremis;04/02/2012;2;19;1;13;0;;100;;;;tagged
tremis;04/02/2012;2;20;1;12;0;;100;;;;tagged
tremis;04/02/2012;3;21;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;22;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;23;1;12;0;;100;;;;tagged
tremis;04/02/2012;3;24;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;25;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;26;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;27;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;28;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;29;1;13;0;;100;;;;tagged
tremis;04/02/2012;3;30;1;13;0;;100;;;;tagged
tremis;04/02/2012;1;1;2;11;0;;100;;;;tagged
tremis;04/02/2012;1;2;2;11;0;;100;;;;tagged
tremis;04/02/2012;1;3;2;11;0;;100;;;;tagged
tremis;04/02/2012;1;4;2;12;0;;100;;;;tagged
tremis;04/02/2012;1;5;2;12;0;;100;;;;tagged
tremis;04/02/2012;1;6;2;12;0;;100;;;;tagged
tremis;04/02/2012;1;7;2;12;0;;100;;;;tagged
tremis;04/02/2012;1;8;2;11;0;;100;;;;tagged
