date;var;TT;TT_depuis_montaison_1013;rep;N;Axis;Nflig;Nfvis;nff;length_F1;length_F2;length_F3;length_F4;length_F5;length_F6;length_F7;length_F8;length_F9;length_F10;length_F11;length_F12;length_F13;sen_F1;sen_F2;sen_F3;sen_F4;sen_F5;sen_F6;sen_F7;sen_F8;sen_F9;sen_F10;sen_F11;sen_F12;sen_F13;HS;SSI
09/03/2012;Tremie;928.9;-84.1;1;1;MB;7;1;0;;;;;;13.9315;14.2511;;;;;;;100;100;100;80;90;75;5;0;0;0;0;0;0;;5.5
09/03/2012;Tremie;928.9;-84.1;1;2;MB;6;1;0;;;;13.167;;;;;;;;;;100;100;100;100;100;0;0;0;0;0;0;0;0;;5
09/03/2012;Tremie;928.9;-84.1;1;3;MB;7;1;0;;;;;;;;8.5224;;;;;;100;100;100;100;100;95;0;0;0;0;0;0;0;7.476111732;5.95
09/03/2012;Tremie;928.9;-84.1;1;8;MB;7;1;0;;;;;;;13.2797;11.4806;;;;;;100;100;100;100;100;100;40;0;0;0;0;0;0;7.740683871;6.4
09/03/2012;Tremie;928.9;-84.1;2;12;MB;8;1;0;;;;;;;14.6869;12.0894;7.8267;;;;;100;100;100;100;100;80;80;80;0;0;0;0;0;8.401369231;7.4
09/03/2012;Tremie;928.9;-84.1;2;13;MB;7;2;0;;;;;;;14.4676;13.8018;;;;;;100;100;100;100;100;100;40;0;0;0;0;0;0;7.788674286;6.4
09/03/2012;Tremie;928.9;-84.1;2;14;MB;6;1;0;;;;;;12.7598;8.753;;;;;;;100;100;100;20;100;2;0;0;0;0;0;0;0;6.604493125;4.22
09/03/2012;Tremie;928.9;-84.1;2;15;MB;7;1;0;;;;;;;13.1554;10.3172;;;;;;100;100;100;100;100;100;70;0;0;0;0;0;0;7.589554286;6.7
09/03/2012;Tremie;928.9;-84.1;2;16;MB;6;2;0;;;;;;10.8196;13.5517;;;;;;;100;100;100;90;40;0;0;0;0;0;0;0;0;6.94702232;4.3
09/03/2012;Tremie;928.9;-84.1;2;20;MB;7;1;0;;;;;;11.7838;13.4836;6.7286;;;;;;100;100;100;100;70;30;5;0;0;0;0;0;0;7.3958;5.05
09/03/2012;Tremie;928.9;-84.1;3;23;MB;7;1;0;;;;;;12.0928;11.4989;7.1744;;;;;;100;100;100;95;70;10;0;0;0;0;0;0;0;7.381617021;4.75
09/03/2012;Tremie;928.9;-84.1;1;4;MB;7;1;0;;;;;;12.7902;;12.7459;;;;;;100;100;100;100;95;100;0;0;0;0;0;0;0;7.660409326;5.95
09/03/2012;Tremie;928.9;-84.1;1;5;MB;7;1;0;;;;;;10.7603;14.2779;7.3951;;;;;;100;100;100;100;95;100;65;0;0;0;0;0;0;7.591608;6.6
09/03/2012;Tremie;928.9;-84.1;1;6;MB;7;1;0;;;;;;14.8389;;;;;;;;100;100;100;100;95;20;0;0;0;0;0;0;0;;5.15
09/03/2012;Tremie;928.9;-84.1;1;7;MB;8;1;0;;;;;;11.4723;;14.1912;2.9672;;;;;100;100;100;100;100;40;0;5;0;0;0;0;0;8.166696629;5.45
09/03/2012;Tremie;928.9;-84.1;1;9;MB;7;1;0;;;;;;;14.8023;13.8044;;;;;;100;100;100;100;95;100;40;0;0;0;0;0;0;8.08696063;6.35
09/03/2012;Tremie;928.9;-84.1;1;10;MB;7;1;0;;;;;;;13.3681;9.9098;;;;;;100;100;100;100;95;50;30;0;0;0;0;0;0;7.639341935;5.75
09/03/2012;Tremie;928.9;-84.1;2;11;MB;7;1;0;;;;;;;10.2784;7.7273;;;;;;100;100;100;100;100;80;40;0;0;0;0;0;0;7.48295625;6.2
09/03/2012;Tremie;928.9;-84.1;2;17;MB;7;1;0;;;;;;12.0174;13.9802;4.660066667;;;;;;100;100;100;100;80;10;0;0;0;0;0;0;0;7.321383908;4.9
09/03/2012;Tremie;928.9;-84.1;2;18;MB;6;1;0;;;;;10.0366;11.4399;6.7477;;;;;;;100;100;100;80;40;40;0;0;0;0;0;0;0;6.552187202;4.6
09/03/2012;Tremie;928.9;-84.1;2;19;MB;6;1;0;;;;7.6508;10.0091;8.5021;4.5097;;;;;;;100;100;100;70;80;10;0;0;0;0;0;0;0;6.387063827;4.6
09/03/2012;Tremie;928.9;-84.1;3;21;MB;7;1;0;;;;;8.499;9.8546;12.8248;11.4085;;;;;;100;100;100;95;80;20;5;0;0;0;0;0;0;7.71303125;5
