Epos,axe_id,Gpo,numphy,Ll,LcIndex,SGv,Lv,LsenShrink,Lr,SGl,Esen,SEl,Ginc,TT,Gsen,L_shape,Gd,Laz,Linc,Slv,plant,El,SLsen,Lsen,Lpos,Lpo,Epo,SEsen,Lw_shape,Gv,Gl,SGsen,Ed,refplant_id,SLl,Einc,Gpos,LcType,Ev,SEv,ms_insertion
2.0,MS,1.0,1,8.20898234389,31.0,4.58265304582,8.20898234389,0.5,0.0,4.58265304582,0.0,0.0,0.0,929.0,2.92294574941,8.20898234389,0.499052632,59.6995228808,1.0,2.94633361816,1,0.0,1.76628049354,8.20898234389,2.0,1.0,1.0,0.0,0.547091333,2.92294574941,2.92294574941,4.58265304582,0.0,1.0,3.53256098707,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,2,8.0795874385,51.0,1.04301331852e-10,8.0795874385,0.5,0.0,4.22817198367,0.0,0.0,0.0,929.0,2.6968477002,8.0795874385,0.499052632,181.772105952,1.0,3.49851814147,1,0.0,2.09730639853,8.0795874385,2.0,1.0,1.0,0.0,0.660027727,6.65263399924e-11,2.6968477002,4.22817198367,0.0,1.0,4.19461279706,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,3,8.09354458841,46.0,0.572789010453,8.09354458841,0.5,0.0,4.80096099413,0.0,0.0,0.0,929.0,2.32559601711,8.09354458841,0.499052632,181.374833328,1.0,4.10422218929,1,0.0,2.46041641361,8.09354458841,2.0,1.0,1.0,0.0,0.772964121,0.365341034259,3.06218873446,3.64611613928,0.0,1.0,4.92083282721,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,4,8.56338969411,133.0,0.785646885657,8.56338969411,0.5,0.0,5.58660787978,0.0,0.0,0.0,929.0,0.0,8.56338969411,0.499052632,177.752658732,1.0,4.97695170966,1,0.0,2.98360398424,8.56338969411,2.0,1.0,1.0,0.0,0.885900515,0.501107808513,3.56329654297,0.0,0.0,1.0,5.96720796848,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,5,9.62418477912,112.0,1.20929065364,9.62418477912,0.5,0.0,6.79589853342,0.0,0.0,0.0,929.0,0.0,9.62418477912,0.499052632,177.236224003,1.0,6.70398018657,1,0.0,2.82343232539,7.3091398771,2.0,1.0,1.0,0.0,0.998836909,0.771319788014,4.33461633099,0.0,0.0,1.0,7.5613448728,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,6,11.3440266714,112.0,2.01025316932,11.3440266714,0.5,1.42833292764,8.80615170274,0.0,0.0,0.0,929.0,0.0,11.3440266714,0.499052632,176.129932839,1.0,9.92028141131,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.111773303,1.28219633861,5.6168126696,0.0,0.0,1.0,9.92028141131,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,7,13.7380622152,25.0,0.0,11.971825161,0.5,0.0,8.27637882709,0.0,0.0,0.0,929.0,0.0,13.7380622152,0.499052632,179.331156199,0.871434775401,11.5658260244,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.224709697,0.0,5.27890854299,0.0,1.80035986118e-12,1.0,13.2342443013,0.0,2.0,6.0,0.0,0.0,0.0
2.0,MS,1.0,8,10.4424769947,38.0,0.0,3.39733139749,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,16.6860100128,0.499052632,174.040659224,0.203603581376,2.52991229893,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.337646091,0.0,0.0,0.0,0.449999999998,1.0,11.3658602555,0.0,2.0,5.0,0.0,0.0,0.0
2.0,MS,1.0,9,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,19.7531886973,0.499052632,205.517070503,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.450582485,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
2.0,MS,1.0,10,0.0,16.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,21.9150517346,0.499052632,207.80856227,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.563518879,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
2.0,MS,1.0,11,0.0,10.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,21.1852287564,0.499052632,209.395606024,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.676455273,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
2.0,MS,1.0,12,0.0,42.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,14.1470734235,0.499052632,192.437157989,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.789391667,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
4.0,MS,1.0,13,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.0,MS,1.0,14,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.0,MS,1.0,15,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.0,T1,1.0,1,8.17120731099,78.0,4.99970045503,8.17120731099,0.5,0.0,4.99970045503,0.0,0.0,0.0,929.0,0.680522263357,8.17120731099,0.499052632,75.0,1.0,2.9327755613,1,0.0,1.75815265248,8.17120731099,2.0,1.0,1.0,0.0,0.547091333,3.18895038468,3.18895038468,1.06693647104,0.0,1.0,3.51630530496,3.0,2.0,6.0,0.0,0.0,1.0
2.0,T1,1.0,2,8.86756234828,74.0,0.945342979388,8.86756234828,0.5,0.0,5.94504343441,0.0,0.0,0.0,929.0,0.0,8.86756234828,0.499052632,183.978929184,1.0,4.08609497082,1,0.0,2.44954943229,8.86756234828,2.0,1.0,1.0,0.0,0.70237887475,0.602966494671,3.79191687935,0.0,0.0,1.0,4.89909886458,0.0,2.0,6.0,0.0,0.0,1.0
2.0,T1,1.0,3,10.2798215517,57.0,1.60171262831,10.2798215517,0.5,0.0,7.54675606272,0.0,0.0,0.0,929.0,0.0,10.2798215517,0.499052632,181.338703267,1.0,7.39957903958,1,0.0,0.38485042587,2.19371472911,2.0,1.0,1.0,0.0,0.8576664165,1.02161762452,4.81353450388,0.0,0.0,1.0,6.93496849767,0.0,2.0,6.0,0.0,0.0,1.0
2.0,T1,1.0,4,12.4707733367,120.0,2.62115981859,12.4707733367,0.5,0.16903727418,10.1679158813,0.0,2.88093267352e-24,0.0,929.0,0.0,12.4707733367,0.499052632,179.747698517,1.0,9.93627502135,1,5.09486162579e-13,0.0,0.0,2.0,1.0,1.0,0.0,1.01295395825,1.6718498812,6.48538438508,0.0,1.79991022085e-12,1.0,9.93627502135,0.0,2.0,6.0,0.0,0.0,1.0
2.0,T1,1.0,5,13.9460207606,26.0,0.0,7.29159910138,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,15.3975944682,0.499052632,170.678630713,0.473554431924,5.99364438008,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.1682415,0.0,0.0,0.0,0.449999999998,1.0,13.2568547322,0.0,2.0,5.0,0.0,0.0,1.0
2.0,T1,1.0,6,2.34014978515,44.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,18.7286855454,0.499052632,156.054529832,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.32352904175,0.0,0.0,0.0,0.45,1.0,2.47489106993,0.0,2.0,4.0,0.0,0.0,1.0
2.0,T1,1.0,7,0.0,32.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,21.5115505468,0.499052632,180.312459078,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.4788165835,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0
2.0,T1,1.0,8,0.0,63.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,21.6917204366,0.499052632,208.67549757,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.63410412525,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
2.0,T1,1.0,9,0.0,47.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,15.4827208315,0.499052632,165.89864749,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.789391667,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
4.0,T1,1.0,10,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
4.0,T1,1.0,11,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
4.0,T1,1.0,12,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.02,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
2.0,T2,1.0,1,10.0497074802,104.0,7.28078031157,10.0497074802,0.5,0.0,7.28078031157,0.0,0.0,0.0,929.0,0.0,10.0497074802,0.499052632,75.0,1.0,3.60699898735,1,0.0,2.16233895317,10.0497074802,2.0,1.0,1.0,0.0,0.547091333,4.64388764571,4.64388764571,0.0,0.0,1.0,4.32467790633,3.0,2.0,6.0,0.0,0.0,2.0
2.0,T2,1.0,2,11.6689399293,50.0,1.91658065626,11.6689399293,0.5,1.60829603789,9.19736096783,0.0,0.0,0.0,929.0,0.0,11.6689399293,0.499052632,179.466866665,1.0,6.72298060595,1,0.0,0.065230862356,0.882513967199,2.0,1.0,1.0,0.0,0.70237887475,1.22244935992,5.86633700563,0.0,0.0,1.0,6.44678752889,0.0,2.0,6.0,0.0,0.0,2.0
2.0,T2,1.0,3,13.7911608219,54.0,0.0,13.6854750779,0.5,0.0,11.5531835627,0.0,0.0,0.0,929.0,0.0,13.7911608219,0.499052632,175.637634981,0.992336704258,9.24352628232,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.8576664165,0.0,7.36894729952,0.0,1.34982025557e-12,1.0,9.30378658473,0.0,2.0,6.0,0.0,0.0,2.0
2.0,T2,1.0,4,12.6875825523,50.0,0.0,5.2129495088,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,16.3299115869,0.499052632,177.042703091,0.319227050377,3.17084050111,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.01295395825,0.0,0.0,0.0,0.45,1.0,10.1090210039,0.0,2.0,6.0,0.0,0.0,2.0
2.0,T2,1.0,5,0.0,19.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,19.021783345,0.499052632,153.998645148,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.1682415,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,5.0,0.0,0.0,2.0
2.0,T2,1.0,6,0.0,26.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,21.2945958417,0.499052632,203.507002476,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.32352904175,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0
2.0,T2,1.0,7,0.0,8.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,22.0949182082,0.499052632,201.541148219,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.4788165835,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0
2.0,T2,1.0,8,0.0,39.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,19.6749315498,0.499052632,188.527218369,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.63410412525,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
2.0,T2,1.0,9,0.0,52.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,12.66666667,0.499052632,178.202347057,0.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.789391667,0.0,0.0,0.0,0.45,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
4.0,T2,1.0,10,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
